username: 52051, Experiment time (minutes): 31
Operating system: Mac OS 10.6.6
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,2,159,1

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52051	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	51	2	8190
52051	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4589
52051	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	6	51	1	5315
52051	1	1	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	51	3	2459
52051	1	2	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	4	50	1	2131
52051	1	3	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	51	3	3273
52051	1	4	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	49	2	1233
52051	1	5	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	983
52051	1	6	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	2	49	1	1675
52051	1	7	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	1227
52051	1	8	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	50	3	916
52051	1	9	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	2	51	2	994
52051	1	10	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	949
52051	1	11	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	50	3	1354
52051	1	12	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	49	3	1399
52051	1	13	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	1	49	1	1499
52051	1	14	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	1968
52051	1	15	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	1203
52051	1	16	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	51	1	1318
52051	1	17	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	4	51	2	1074
