username: 52171, Experiment time (minutes): 12
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52171	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	6	51	1	3273
52171	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	6	50	2	4022
52171	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	51	2	3874
52171	1	1	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	2086
52171	1	2	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	51	2	682
52171	1	3	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	50	1	937
52171	1	4	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	51	3	831
52171	1	5	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	49	2	1274
52171	1	6	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	594
52171	1	7	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	51	1	645
52171	1	8	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	51	1	613
52171	1	9	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	49	1	631
52171	1	10	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	665
52171	1	11	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	1	51	3	1562
52171	1	12	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	3	49	2	871
52171	1	13	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	50	1	542
52171	1	14	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	51	3	581
52171	1	15	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	51	3	695
52171	1	16	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	5	50	3	663
52171	1	17	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	6	51	1	999
52171	1	18	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	569
52171	1	19	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	51	3	702
52171	1	20	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	1466
52171	1	21	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	650
52171	1	22	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	6	51	1	651
52171	1	23	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	699
52171	1	24	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	1	49	1	617
