username: 52213, Experiment time (minutes): 18
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52213	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	6048
52213	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	49	2	3987
52213	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	51	3	1791
52213	1	1	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	51	1	2444
52213	1	2	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	50	1	1850
52213	1	3	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	51	2	3777
52213	1	4	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	50	3	1317
52213	1	5	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	50	2	1451
52213	1	6	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	1	50	2	1085
52213	1	7	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	4	50	1	1478
52213	1	8	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	50	3	2392
52213	1	9	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	50	3	1797
52213	1	10	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	2384
52213	1	11	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	1373
52213	1	12	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	5	51	1	899
52213	1	13	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	776
52213	1	14	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	49	3	809
52213	1	15	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	51	2	847
52213	1	16	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	49	2	1213
52213	1	17	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	1595
52213	1	18	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	1	50	2	1537
52213	1	19	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	50	2	730
52213	1	20	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	1	50	2	685
