username: 52261, Experiment time (minutes): 22
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,2,152,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52261	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	51	2	8203
52261	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	4891
52261	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	3672
52261	1	1	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	3546
52261	1	2	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	51	3	2625
52261	1	3	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	6	51	1	3484
52261	1	4	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	5	50	3	1250
52261	1	5	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	5	49	2	1750
52261	1	6	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	50	1	1813
52261	1	7	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	5	49	2	3015
52261	1	8	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	51	2	2313
52261	1	9	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	2	49	1	2531
52261	1	10	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	51	1	1391
52261	1	11	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	2	49	1	1375
52261	1	12	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	2297
52261	1	13	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	4	51	2	3187
52261	1	14	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	3	49	2	2969
52261	1	15	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	4	49	3	2813
52261	1	16	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	6	49	3	2516
52261	1	17	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	50	1	843
52261	1	18	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	922
52261	1	19	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	50	2	1328
52261	1	20	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	51	2	2922
52261	1	21	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	49	1	2203
52261	1	22	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	49	2	781
52261	1	23	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	49	2	719
52261	1	24	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	5	49	2	1328
52261	1	25	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	49	1	1234
52261	1	26	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	3	49	2	890
52261	1	27	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	5	49	2	1985
52261	1	28	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	51	2	1047
52261	1	29	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	4	49	3	1641
52261	1	30	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	49	2	2250
52261	1	31	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	2	51	2	2094
52261	1	32	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	51	2	1719
52261	1	33	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	2	51	2	1625
52261	1	34	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	49	2	1734
52261	1	35	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	6	50	2	1844
52261	1	36	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	49	2	672
52261	1	37	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	6	51	1	3062
52261	1	38	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	49	3	1516
52261	1	39	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1547
52261	1	40	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	2	49	1	703
52261	1	41	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	49	2	1094
52261	1	42	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	2172
52261	1	43	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	50	1	2813
52261	1	44	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	50	2	1875
52261	1	45	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	51	2	2594
52261	1	46	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	1	50	2	953
52261	1	47	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	49	2	750
52261	1	48	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	51	3	1625
52261	1	49	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	49	2	1406
52261	1	50	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	49	1	1391
52261	1	51	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	51	1	1281
52261	1	52	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	1	50	2	531
52261	1	53	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	875
52261	1	54	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	49	2	1781
52261	1	55	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	1	51	3	2828
52261	1	56	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	1578
52261	1	57	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	50	1	1484
52261	1	58	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	1	50	2	2375
52261	1	59	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	6	50	2	2594
52261	1	60	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	4	50	1	812
52261	1	61	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	3	51	3	1515
52261	1	62	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	1	51	3	2000
52261	1	63	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	4	51	2	1125
52261	1	64	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	51	2	1578
52261	1	65	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	6	50	2	953
52261	1	66	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	49	2	1265
52261	1	67	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	49	1	2468
52261	1	68	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	3	49	2	1218
52261	1	69	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	49	2	875
52261	1	70	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	1	50	2	1109
52261	1	71	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	782
52261	1	72	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	50	2	765
52261	1	73	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	49	2	1094
52261	1	74	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	49	3	1234
52261	1	75	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	49	2	922
52261	1	76	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	6	49	3	1437
52261	1	77	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	50	1	1687
52261	1	78	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	4	51	2	984
52261	1	79	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	1125
52261	1	80	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	50	3	1766
52261	2	1	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	4	51	2	1766
52261	2	2	93.000	  39.355	  90.000	  35.533	  96.000	  33.750	Fill1	R	1	49	1	813
52261	2	3	77.000	  47.532	  61.000	  60.000	  86.052	  42.532	SimB1	R	4	50	1	875
52261	2	4	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	49	2	1453
52261	2	5	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	2	49	1	578
52261	2	6	91.000	  36.967	  89.000	  33.000	  94.000	  30.904	Fill1	R	5	51	1	657
52261	2	7	48.754	  69.000	  46.754	  62.840	  49.754	  57.865	Fill4	R	5	50	3	875
52261	2	8	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	2	51	2	875
52261	2	9	77.000	  47.532	  61.000	  60.000	  57.000	  64.211	SimB2	R	2	50	3	1313
52261	2	10	47.705	  78.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	3	49	2	578
52261	2	11	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	1188
52261	2	12	58.000	  58.000	  56.000	  51.339	  59.000	  48.915	Fill3	R	4	50	1	578
52261	2	13	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	593
52261	2	14	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	4	49	3	969
52261	2	15	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	4	49	3	1406
52261	2	16	60.000	  61.000	  59.000	  53.898	  63.000	  50.444	Fill3	R	5	51	1	719
52261	2	17	59.000	  61.000	  58.000	  53.776	  62.000	  50.081	Fill3	R	2	49	1	672
52261	2	18	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	984
52261	2	19	72.000	  46.722	  70.000	  41.629	  75.000	  39.400	Fill2	R	5	51	1	688
52261	2	20	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	5	49	2	688
52261	2	21	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	49	1	1328
52261	2	22	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	719
52261	2	23	76.000	  45.789	  60.000	  58.000	  81.328	  42.789	SimB1	R	6	50	2	797
52261	2	24	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	4	51	2	937
52261	2	25	62.000	  61.000	  60.000	  56.000	  65.000	  51.600	Fill3	R	4	50	1	813
52261	2	26	47.532	  77.000	  60.000	  61.000	  63.103	  58.000	SimA2	R	2	51	2	860
52261	2	27	78.000	  46.141	  61.000	  59.000	  57.000	  63.140	SimB2	R	2	50	3	703
52261	2	28	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	1	50	2	610
52261	2	29	74.000	  46.243	  58.000	  59.000	  79.134	  43.243	SimB1	R	2	51	2	1078
52261	2	30	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	51	2	843
52261	2	31	49.301	  73.000	  46.301	  67.860	  50.301	  62.941	Fill4	R	2	49	1	672
52261	2	32	76.000	  48.158	  74.000	  43.716	  78.000	  41.282	Fill2	R	6	51	1	1250
52261	2	33	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	2	49	1	1766
52261	2	34	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	4	50	1	860
52261	2	35	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	5	50	3	2156
52261	2	36	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	4	49	3	1078
52261	2	37	77.000	  47.532	  60.000	  61.000	  56.000	  65.357	SimB2	R	3	49	2	1047
52261	2	38	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	5	51	1	812
52261	2	39	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	3	49	2	922
52261	2	40	47.705	  78.000	  61.000	  61.000	  43.705	  85.139	SimA1	R	1	50	2	890
52261	2	41	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	2	50	3	1094
52261	2	42	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	6	51	1	2187
52261	2	43	76.000	  45.789	  60.000	  58.000	  57.000	  61.053	SimB2	R	5	50	3	1719
52261	2	44	46.877	  73.000	  59.000	  58.000	  43.877	  77.991	SimA1	R	6	49	3	1125
52261	2	45	48.158	  76.000	  61.000	  60.000	  65.357	  56.000	SimA2	R	3	49	2	782
52261	2	46	47.987	  75.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	49	2	1031
52261	2	47	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	2	50	3	1297
52261	2	48	48.158	  76.000	  61.000	  60.000	  45.158	  81.049	SimA1	R	1	49	1	907
52261	2	49	77.000	  45.974	  60.000	  59.000	  57.000	  62.105	SimB2	R	1	50	2	1078
52261	2	50	46.923	  78.000	  60.000	  61.000	  43.923	  83.327	SimA1	R	3	49	2	1328
52261	2	51	75.000	  48.800	  60.000	  61.000	  57.000	  64.211	SimB2	R	3	50	1	1937
52261	2	52	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	1	49	1	1203
52261	2	53	46.141	  78.000	  59.000	  61.000	  42.141	  85.404	SimA1	R	3	49	2	766
52261	2	54	46.877	  73.000	  59.000	  58.000	  64.566	  53.000	SimA2	R	1	51	3	1172
52261	2	55	76.000	  48.961	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	49	2	1454
52261	2	56	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	3	51	3	1641
52261	2	57	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	49	2	875
52261	2	58	46.400	  75.000	  60.000	  58.000	  43.400	  80.184	SimA1	R	3	49	2	750
52261	2	59	39.989	  90.000	  36.989	  82.998	  40.989	  75.264	Fill5	R	2	49	1	1438
52261	2	60	44.577	  78.000	  57.000	  61.000	  41.577	  83.628	SimA1	R	3	49	2	829
52261	2	61	39.783	  92.000	  37.783	  83.133	  41.783	  74.481	Fill5	R	3	50	1	1500
52261	2	62	47.532	  77.000	  60.000	  61.000	  44.532	  82.187	SimA1	R	5	50	3	1437
52261	2	63	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	2	50	3	875
52261	2	64	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	49	2	1140
52261	2	65	95.000	  39.811	  93.000	  36.344	  98.000	  33.765	Fill1	R	3	49	2	1765
52261	2	66	46.141	  78.000	  59.000	  61.000	  64.268	  56.000	SimA2	R	3	49	2	2594
52261	2	67	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	1	50	2	657
52261	2	68	77.000	  49.117	  74.000	  44.689	  78.000	  43.051	Fill2	R	5	51	1	1000
52261	2	69	76.000	  45.026	  59.000	  58.000	  54.000	  63.370	SimB2	R	2	49	1	1187
52261	2	70	38.667	  87.000	  36.667	  77.455	  40.667	  69.443	Fill5	R	4	50	1	985
52261	2	71	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	2	49	1	1266
52261	2	72	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	3	51	3	1422
52261	2	73	75.000	  47.987	  72.000	  43.819	  77.000	  41.545	Fill2	R	2	49	1	781
52261	2	74	41.560	  91.000	  39.560	  81.698	  42.560	  77.067	Fill5	R	4	49	3	1078
