username: 52309, Experiment time (minutes): 23
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,1,53,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52309	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	49	2	1466
52309	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	3310
52309	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	50	1	1670
52309	1	1	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	3	51	3	957
52309	1	2	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	743
52309	1	3	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	50	1	703
52309	1	4	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	50	3	496
52309	1	5	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	49	2	332
52309	1	6	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	6	49	3	441
52309	1	7	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	801
52309	1	8	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	50	2	880
52309	1	9	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	3	49	2	534
52309	1	10	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	3	50	1	397
52309	1	11	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	717
52309	1	12	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	6	49	3	467
52309	1	13	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	50	1	539
52309	1	14	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	51	3	410
52309	1	15	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	2	50	3	336
52309	1	16	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	49	2	223
52309	1	17	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	49	2	286
52309	1	18	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	2	49	1	296
52309	1	19	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	49	1	446
52309	1	20	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	51	3	329
52309	1	21	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	50	3	184
52309	1	22	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	185
52309	1	23	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	50	3	256
52309	1	24	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	3	51	3	338
52309	1	25	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	50	3	264
52309	1	26	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	49	2	254
52309	1	27	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	4	49	3	228
52309	1	28	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	49	3	245
52309	1	29	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	49	3	99
52309	1	30	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	5	49	2	161
52309	1	31	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	2	49	1	197
52309	1	32	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	49	2	139
52309	1	33	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	118
52309	1	34	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	50	2	20
52309	1	35	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	5	51	1	63
52309	1	36	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	50	1	520
