username: 52321, Experiment time (minutes): 20
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52321	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	3611
52321	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	49	3	4081
52321	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	51	1	1846
52321	1	1	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	51	1	2976
52321	1	2	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	49	3	1845
52321	1	3	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	51	2	1948
52321	1	4	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	49	2	2946
52321	1	5	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	5	51	1	1663
52321	1	6	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	49	1	1335
52321	1	7	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	1404
52321	1	8	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	4	50	1	823
52321	1	9	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	49	2	1844
52321	1	10	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	2018
52321	1	11	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	1533
52321	1	12	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	51	2	1187
52321	1	13	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	49	1	1198
52321	1	14	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	49	1	1455
52321	1	15	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	4	50	1	984
52321	1	16	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	49	3	1787
52321	1	17	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	49	3	1356
52321	1	18	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	50	2	2123
52321	1	19	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	1169
52321	1	20	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	50	3	3362
52321	1	21	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	1	49	1	2569
52321	1	22	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	6	49	3	1100
52321	1	23	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	4	50	1	1496
52321	1	24	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	1712
52321	1	25	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	3	49	2	1558
52321	1	26	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	4	49	3	700
52321	1	27	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	3	49	2	1880
52321	1	28	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	1	49	1	929
