username: 52450, Experiment time (minutes): 13
Operating system: Mac OS 10.7.2
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52450	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	99	3	3992
52450	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	98	3	1659
52450	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	98	1	1293
52450	1	1	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	98	3	1227
52450	1	2	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	97	2	1306
52450	1	3	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	2	99	2	1280
52450	1	4	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	2	99	2	3055
52450	1	5	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	2	99	2	1608
52450	1	6	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	4	97	3	716
52450	1	7	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	98	1	1161
52450	1	8	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	1	99	3	2509
52450	1	9	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	6	98	2	827
52450	1	10	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	97	1	861
52450	1	11	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	99	2	965
52450	1	12	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	99	2	787
52450	1	13	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	97	3	693
52450	1	14	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	99	2	868
52450	1	15	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	98	1	629
52450	1	16	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	97	1	440
52450	1	17	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	4	99	2	1224
52450	1	18	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	3	98	1	643
52450	1	19	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	97	1	27
52450	1	20	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	99	3	21
52450	1	21	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	2	98	3	1024
52450	1	22	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	3	99	3	619
52450	1	23	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	3	97	2	1060
52450	1	24	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	99	3	1557
52450	1	25	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	99	3	587
52450	1	26	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	3	99	3	933
52450	1	27	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	98	3	555
52450	1	28	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	97	2	376
52450	1	29	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	99	1	195
52450	1	30	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	98	1	135
52450	1	31	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	97	1	99
52450	1	32	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	2	99	2	131
52450	1	33	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	98	1	72
52450	1	34	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	6	97	3	511
52450	1	35	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	3	98	1	565
52450	1	36	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	99	3	203
52450	1	37	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	98	1	228
52450	1	38	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	97	2	104
52450	1	39	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	98	3	148
52450	1	40	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	99	2	131
52450	1	41	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	4	97	3	128
52450	1	42	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	97	3	564
52450	1	43	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	4	99	2	251
52450	1	44	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	98	1	154
52450	1	45	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	3	97	2	127
52450	1	46	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	5	97	2	405
52450	1	47	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	4	97	3	264
52450	1	48	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	6	97	3	265
52450	1	49	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	1	97	1	344
52450	1	50	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	4	97	3	261
52450	1	51	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	97	1	268
52450	1	52	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	97	1	245
52450	1	53	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	97	1	173
52450	1	54	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	97	1	160
52450	1	55	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	99	2	174
52450	1	56	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	99	3	80
52450	1	57	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	98	3	65
52450	1	58	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	99	2	503
52450	1	59	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	1	98	2	84
52450	1	60	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	99	3	29
52450	1	61	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	98	3	104
52450	1	62	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	99	3	341
52450	1	63	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	97	1	188
52450	1	64	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	5	97	2	438
52450	1	65	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	97	3	217
52450	1	66	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	97	2	296
52450	1	67	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	98	3	688
52450	1	68	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	6	99	1	632
52450	1	69	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	3	97	2	347
52450	1	70	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	98	3	328
52450	1	71	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	97	2	254
52450	1	72	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	6	99	1	277
52450	1	73	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	98	1	229
52450	1	74	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	2	97	1	304
52450	1	75	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	5	97	2	533
52450	1	76	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	6	99	1	1108
52450	1	77	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	1	97	1	616
52450	1	78	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	98	3	579
52450	1	79	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	99	1	750
52450	1	80	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	98	3	339
52450	2	1	78.000	  46.141	  61.000	  59.000	  57.000	  63.140	SimB2	R	5	97	2	592
52450	2	2	47.987	  75.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	1	98	2	59
52450	2	3	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	2	99	2	92
52450	2	4	74.000	  46.243	  58.000	  59.000	  54.000	  63.370	SimB2	R	4	97	3	210
52450	2	5	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	98	3	29
52450	2	6	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	2	99	2	319
52450	2	7	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	3	98	1	157
52450	2	8	74.000	  46.243	  58.000	  59.000	  79.134	  43.243	SimB1	R	3	97	2	203
52450	2	9	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	98	3	21688
52450	2	10	46.923	  78.000	  60.000	  61.000	  65.357	  56.000	SimA2	R	3	97	2	462
52450	2	11	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	3	98	1	557
52450	2	12	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	2	99	2	371
52450	2	13	41.560	  91.000	  39.560	  81.698	  42.560	  77.067	Fill5	R	3	99	3	525
52450	2	14	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	2	99	2	340
52450	2	15	48.754	  69.000	  46.754	  62.840	  49.754	  57.865	Fill4	R	6	99	1	447
52450	2	16	76.000	  45.789	  60.000	  58.000	  81.328	  42.789	SimB1	R	3	99	3	360
52450	2	17	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	97	1	214
52450	2	18	46.923	  78.000	  60.000	  61.000	  43.923	  83.327	SimA1	R	1	99	3	209
52450	2	19	47.532	  77.000	  60.000	  61.000	  63.103	  58.000	SimA2	R	4	98	1	387
52450	2	20	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	1	97	1	101
52450	2	21	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	5	98	3	147
52450	2	22	59.000	  61.000	  58.000	  53.776	  62.000	  50.081	Fill3	R	3	99	3	176
52450	2	23	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	1	97	1	476
52450	2	24	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	6	99	1	82
52450	2	25	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	4	98	1	171
52450	2	26	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	5	97	2	93
