username: 52486, Experiment time (minutes): 17
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52486	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	51	3	3550
52486	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	6	51	1	2411
52486	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	51	2	1989
52486	1	1	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	51	2	2278
52486	1	2	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	49	1	1121
52486	1	3	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	2	50	3	1490
52486	1	4	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	51	2	798
52486	1	5	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	50	1	975
52486	1	6	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	50	2	1270
52486	1	7	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	50	1	1821
52486	1	8	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	49	1	1889
52486	1	9	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	860
52486	1	10	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	50	2	916
52486	1	11	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	1200
52486	1	12	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	854
52486	1	13	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	50	1	758
52486	1	14	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	49	2	621
52486	1	15	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	1	49	1	997
52486	1	16	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	51	1	1166
52486	1	17	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	49	1	739
