username: 52564, Experiment time (minutes): 91
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52564	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	51	2	6941
52564	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	50	3	7327
52564	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2829
52564	1	1	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	5	49	2	5828
52564	1	2	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	51	2	14106
52564	1	3	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	50	2	5102
52564	1	4	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	6	51	1	5099
52564	1	5	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	3	49	2	2812
52564	1	6	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	6	49	3	6817
52564	1	7	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	2333
52564	1	8	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	49	2	2371
52564	1	9	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	50	2	2547
52564	1	10	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	1	49	1	4955
52564	1	11	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	51	3	7142
52564	1	12	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	2730
52564	1	13	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	4	49	3	2101
52564	1	14	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	50	3	1548
52564	1	15	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	50	3	1572
52564	1	16	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	51	2	1530
52564	1	17	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	6215
52564	1	18	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	7110
52564	1	19	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	4	50	1	14507
52564	1	20	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	14611
52564	1	21	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	862
52564	1	22	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	3	49	2	1457
52564	1	23	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	1024
52564	1	24	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	50	3	703
52564	1	25	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	49	2	831
52564	1	26	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	1	49	1	1709
52564	1	27	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	1	49	1	1928
52564	1	28	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	49	2	969
52564	1	29	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	50	2	1420
52564	1	30	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	50	3	1611
52564	1	31	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	49	2	4417
52564	1	32	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	1	50	2	1235
52564	1	33	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	51	2	899
52564	1	34	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	49	1	548
52564	1	35	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	50	1	2411
52564	1	36	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	722
52564	1	37	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	50	1	592
52564	1	38	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	6	50	2	540
52564	1	39	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	5524
52564	1	40	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	5	51	1	1257
52564	1	41	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	937
52564	1	42	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	49	2	2933
52564	1	43	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	5	49	2	568
52564	1	44	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	49	2	659
52564	1	45	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	50	2	661
52564	1	46	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	1	50	2	496
52564	1	47	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	51	2	1138
52564	1	48	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	51	2	695
52564	1	49	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	5	49	2	1130
52564	1	50	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	1269
52564	1	51	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	49	2	1523
52564	1	52	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	49	2	1578
