username: 52663, Experiment time (minutes): 40
Operating system: Mac OS 10.6.4
Manufacturer: Google Macintosh
Player type: PlugIn
Version: MAC 10,3,183,10

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52663	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	1	49	1	4957
52663	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	51	2	5655
52663	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4401
52663	1	1	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	1	49	1	1900
52663	1	2	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	6	50	2	1740
52663	1	3	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	50	3	3066
52663	1	4	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	50	1	2442
52663	1	5	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	6	49	3	1344
52663	1	6	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	1	49	1	1464
52663	1	7	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	6	49	3	3872
52663	1	8	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	1831
52663	1	9	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	51	1	1683
52663	1	10	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	1586
52663	1	11	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	4813
52663	1	12	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	50	3	2352
52663	1	13	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	51	3	2981
52663	1	14	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	3	49	2	4904
52663	1	15	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	50	1	22505
52663	1	16	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	3	49	2	2194
52663	1	17	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	1	50	2	2141
52663	1	18	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	2210
52663	1	19	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	50	3	3421
52663	1	20	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	49	2	1320
52663	1	21	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	6	51	1	2534
52663	1	22	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	1345
52663	1	23	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	49	1	1616
52663	1	24	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	2042
52663	1	25	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	49	3	1571
52663	1	26	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	797
52663	1	27	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	6	50	2	1720
52663	1	28	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	51	2	965
52663	1	29	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	50	3	1489
52663	1	30	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	2	49	1	2594
52663	1	31	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	1557
52663	1	32	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	1	50	2	2058
52663	1	33	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	4	51	2	1226
52663	1	34	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	6	49	3	877
52663	1	35	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	50	3	4293
52663	1	36	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	5	49	2	1261
52663	1	37	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	49	1	1420
52663	1	38	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	3	49	2	1111
52663	1	39	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	1556
52663	1	40	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	50	1	1179
52663	1	41	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	1	50	2	1173
52663	1	42	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	6	51	1	1472
52663	1	43	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	50	1	1192
52663	1	44	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	6	49	3	801
52663	1	45	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	3	50	1	702
52663	1	46	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	49	2	745
52663	1	47	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	50	3	969
52663	1	48	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	642
52663	1	49	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	51	1	1673
52663	1	50	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	49	2	2577
52663	1	51	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	1372
52663	1	52	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	2200
52663	1	53	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	1	49	1	2251
52663	1	54	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	49	2	1818
52663	1	55	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	1	50	2	12084
52663	1	56	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	6	51	1	5997
52663	1	57	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	49	3	1342
52663	1	58	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	49	1	2493
52663	1	59	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	49	3	1198
52663	1	60	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	51	2	1488
