username: 52735, Experiment time (minutes): 29
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,14

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52735	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	49	2	2968
52735	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	50	3	7427
52735	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2363
52735	1	1	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	5	51	1	6419
52735	1	2	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	1	50	2	2329
52735	1	3	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	3028
52735	1	4	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	50	1	4211
52735	1	5	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	2	49	1	1515
52735	1	6	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	51	3	6461
52735	1	7	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	6	51	1	5891
52735	1	8	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	3	50	1	2657
52735	1	9	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	51	3	2393
52735	1	10	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	49	2	4018
52735	1	11	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	50	1	1583
52735	1	12	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	51	3	1464
52735	1	13	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	1619
52735	1	14	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	50	1	1456
52735	1	15	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	3	49	2	1269
52735	1	16	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	49	3	2931
52735	1	17	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	51	2	2760
52735	1	18	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	51	1	1834
52735	1	19	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	50	2	1392
52735	1	20	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	1	50	2	898
52735	1	21	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	6	51	1	2457
52735	1	22	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	4	49	3	1481
52735	1	23	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	1877
52735	1	24	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	51	2	2301
52735	1	25	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	49	3	2168
52735	1	26	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	6	51	1	2255
52735	1	27	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	6	49	3	1784
52735	1	28	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	6	49	3	2636
52735	1	29	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	51	1	2059
52735	1	30	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	51	2	4150
52735	1	31	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	2	49	1	1938
52735	1	32	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	50	1	2666
52735	1	33	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	961
52735	1	34	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	49	2	1866
52735	1	35	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	4	51	2	2492
52735	1	36	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	6	51	1	2794
52735	1	37	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	51	2	2451
52735	1	38	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	1088
52735	1	39	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	49	1	1534
52735	1	40	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	5	49	2	1047
52735	1	41	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	2	50	3	1343
52735	1	42	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	49	3	1687
52735	1	43	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	50	3	2199
52735	1	44	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	49	3	977
52735	1	45	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	5	49	2	1120
52735	1	46	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	6	51	1	1351
52735	1	47	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	51	2	2001
52735	1	48	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	49	2	787
52735	1	49	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	5	51	1	1266
52735	1	50	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	50	3	1109
52735	1	51	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	51	1	1902
52735	1	52	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	6	50	2	946
52735	1	53	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	884
52735	1	54	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	872
52735	1	55	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	2	51	2	1366
52735	1	56	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	50	3	2496
52735	1	57	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1383
52735	1	58	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	51	1	1181
52735	1	59	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	1659
52735	1	60	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	50	3	1030
52735	1	61	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	1029
52735	1	62	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	1076
52735	1	63	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	51	2	1260
52735	1	64	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	3	50	1	790
52735	1	65	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	51	2	1338
52735	1	66	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	49	2	1404
52735	1	67	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	1	49	1	837
52735	1	68	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	6	50	2	941
52735	1	69	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	2	49	1	968
52735	1	70	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	51	2	1066
52735	1	71	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	50	1	2123
52735	1	72	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	50	2	1225
52735	1	73	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	1907
52735	1	74	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	2165
52735	1	75	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	51	2	2086
52735	1	76	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	4	50	1	894
52735	1	77	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	51	1	1761
52735	1	78	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	50	1	867
52735	1	79	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	51	3	1194
52735	1	80	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	50	3	3333
52735	2	1	95.000	  39.811	  93.000	  36.344	  98.000	  33.765	Fill1	R	5	49	2	2074
52735	2	2	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	3	50	1	1906
52735	2	3	93.000	  39.355	  90.000	  35.533	  96.000	  33.750	Fill1	R	3	50	1	5176
52735	2	4	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	2	50	3	1573
52735	2	5	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	1	50	2	2736
52735	2	6	62.000	  61.000	  60.000	  56.000	  65.000	  51.600	Fill3	R	2	49	1	866
52735	2	7	75.000	  48.800	  60.000	  61.000	  57.000	  64.211	SimB2	R	2	50	3	1111
52735	2	8	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	965
52735	2	9	47.532	  77.000	  60.000	  61.000	  44.532	  82.187	SimA1	R	3	49	2	1111
52735	2	10	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	4	50	1	1040
52735	2	11	53.268	  71.000	  52.268	  63.577	  54.268	  60.773	Fill4	R	4	49	3	3503
52735	2	12	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	1	50	2	605
52735	2	13	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	5	49	2	926
52735	2	14	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	50	1	4475
52735	2	15	76.000	  45.789	  60.000	  58.000	  57.000	  61.053	SimB2	R	1	51	3	2195
52735	2	16	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	49	2	2838
52735	2	17	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	2	49	1	3432
52735	2	18	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	2	49	1	1793
52735	2	19	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	1	49	1	3731
52735	2	20	77.000	  47.532	  60.000	  61.000	  86.052	  42.532	SimB1	R	2	49	1	1566
52735	2	21	76.000	  45.026	  59.000	  58.000	  54.000	  63.370	SimB2	R	2	51	2	1609
52735	2	22	77.000	  47.532	  60.000	  61.000	  56.000	  65.357	SimB2	R	4	49	3	1430
52735	2	23	75.000	  47.987	  72.000	  43.819	  77.000	  41.545	Fill2	R	1	49	1	1254
52735	2	24	46.400	  75.000	  60.000	  58.000	  43.400	  80.184	SimA1	R	5	49	2	1713
52735	2	25	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	3	49	2	914
52735	2	26	48.158	  76.000	  61.000	  60.000	  45.158	  81.049	SimA1	R	1	49	1	1978
52735	2	27	77.000	  49.117	  74.000	  44.689	  78.000	  43.051	Fill2	R	3	50	1	1140
52735	2	28	72.000	  46.722	  70.000	  41.629	  75.000	  39.400	Fill2	R	3	50	1	1080
52735	2	29	44.577	  78.000	  57.000	  61.000	  41.577	  83.628	SimA1	R	6	49	3	1946
52735	2	30	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	2	49	1	1926
52735	2	31	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	49	2	1719
52735	2	32	39.989	  90.000	  36.989	  82.998	  40.989	  75.264	Fill5	R	3	50	1	852
52735	2	33	74.000	  46.243	  58.000	  59.000	  79.134	  43.243	SimB1	R	3	50	1	1379
52735	2	34	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	2	49	1	1256
52735	2	35	76.000	  48.961	  61.000	  61.000	  56.000	  66.446	SimB2	R	1	51	3	1583
52735	2	36	39.783	  92.000	  37.783	  83.133	  41.783	  74.481	Fill5	R	2	49	1	994
52735	2	37	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	2	50	3	1691
52735	2	38	46.923	  78.000	  60.000	  61.000	  65.357	  56.000	SimA2	R	4	50	1	1294
52735	2	39	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	2488
