username: 52738, Experiment time (minutes): 13
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,183,10

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52738	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	51	2	13026
52738	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2839
52738	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	49	1	4056
52738	1	1	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	3104
52738	1	2	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	1	49	1	1857
52738	1	3	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	2	49	1	4165
52738	1	4	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	3	49	2	5679
52738	1	5	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	4	49	3	1763
52738	1	6	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1497
52738	1	7	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	50	1	2098
52738	1	8	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	51	2	843
52738	1	9	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	50	2	6875
52738	1	10	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	51	2	2793
52738	1	11	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	50	3	1420
52738	1	12	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	50	2	1155
52738	1	13	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	50	3	1887
52738	1	14	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1018
52738	1	15	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	1	50	2	640
52738	1	16	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	49	1	650
52738	1	17	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	900
52738	1	18	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	2	51	2	660
52738	1	19	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	5	50	3	710
52738	1	20	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	1	49	1	681
52738	1	21	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	780
52738	1	22	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	50	1	638
52738	1	23	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	6	51	1	630
52738	1	24	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	51	2	1090
52738	1	25	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	3	51	3	2308
52738	1	26	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	50	3	1888
52738	1	27	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	748
52738	1	28	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	590
52738	1	29	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	51	2	420
52738	1	30	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	50	1	540
52738	1	31	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	49	2	530
52738	1	32	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	50	1	470
52738	1	33	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	51	2	480
52738	1	34	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	50	3	420
52738	1	35	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	4	49	3	421
52738	1	36	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	50	3	400
52738	1	37	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	51	3	350
52738	1	38	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	50	1	326
52738	1	39	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	49	2	250
52738	1	40	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	3	50	1	281
52738	1	41	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	51	1	265
52738	1	42	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	50	1	255
52738	1	43	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	220
52738	1	44	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	50	1	310
52738	1	45	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	3	51	3	240
52738	1	46	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	50	3	250
52738	1	47	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	6	51	1	338
52738	1	48	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	51	2	380
52738	1	49	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	4	50	1	230
52738	1	50	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	190
52738	1	51	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	51	2	20
52738	1	52	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	1	49	1	300
52738	1	53	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	6	50	2	350
52738	1	54	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	51	3	240
52738	1	55	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	50	3	180
52738	1	56	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	49	2	261
52738	1	57	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	5	50	3	210
52738	1	58	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	51	2	400
52738	1	59	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	1	49	1	250
52738	1	60	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	1	51	3	280
52738	1	61	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	5	50	3	328
52738	1	62	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	4	51	2	248
52738	1	63	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	49	1	280
52738	1	64	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	3	50	1	280
52738	1	65	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	51	1	290
52738	1	66	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	49	1	320
52738	1	67	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	2	51	2	300
52738	1	68	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	280
52738	1	69	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	51	2	350
52738	1	70	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	49	2	370
52738	1	71	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	51	1	320
52738	1	72	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	50	1	280
52738	1	73	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	5	49	2	300
52738	1	74	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	2	50	3	320
52738	1	75	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	270
52738	1	76	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	2	49	1	290
52738	1	77	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	51	2	280
52738	1	78	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	4	50	1	280
52738	1	79	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	49	2	210
52738	1	80	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	3	51	3	210
52738	2	1	46.141	  78.000	  59.000	  61.000	  42.141	  85.404	SimA1	R	5	51	1	811
52738	2	2	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	3	49	2	268
52738	2	3	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	3	51	3	170
52738	2	4	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	1	50	2	50
52738	2	5	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	1	49	1	573
52738	2	6	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	1	51	3	210
52738	2	7	46.923	  78.000	  60.000	  61.000	  65.357	  56.000	SimA2	R	5	50	3	250
52738	2	8	91.000	  36.967	  89.000	  33.000	  94.000	  30.904	Fill1	R	4	51	2	140
52738	2	9	76.000	  45.789	  60.000	  58.000	  81.328	  42.789	SimB1	R	3	49	2	190
52738	2	10	39.989	  90.000	  36.989	  82.998	  40.989	  75.264	Fill5	R	1	51	3	202
52738	2	11	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	4	50	1	171
52738	2	12	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	49	2	47
52738	2	13	77.000	  47.532	  60.000	  61.000	  56.000	  65.357	SimB2	R	2	51	2	203
52738	2	14	78.000	  46.141	  61.000	  59.000	  57.000	  63.140	SimB2	R	2	49	1	210
52738	2	15	77.000	  45.974	  60.000	  59.000	  57.000	  62.105	SimB2	R	2	51	2	170
52738	2	16	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	2	50	3	410
52738	2	17	78.000	  46.141	  61.000	  59.000	  85.404	  42.141	SimB1	R	5	51	1	180
52738	2	18	39.783	  92.000	  37.783	  83.133	  41.783	  74.481	Fill5	R	4	49	3	150
52738	2	19	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	51	3	190
52738	2	20	48.158	  76.000	  61.000	  60.000	  65.357	  56.000	SimA2	R	2	50	3	120
52738	2	21	91.000	  39.549	  90.000	  35.178	  94.000	  33.032	Fill1	R	4	51	2	110
52738	2	22	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	3	49	2	490
52738	2	23	58.000	  58.000	  56.000	  51.339	  59.000	  48.915	Fill3	R	4	50	1	310
52738	2	24	47.987	  75.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	6	51	1	170
52738	2	25	44.577	  78.000	  57.000	  61.000	  41.577	  83.628	SimA1	R	6	49	3	50
52738	2	26	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	4	50	1	111
52738	2	27	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	51	1	220
52738	2	28	62.000	  61.000	  60.000	  56.000	  65.000	  51.600	Fill3	R	6	49	3	166
52738	2	29	49.301	  73.000	  46.301	  67.860	  50.301	  62.941	Fill4	R	5	50	3	193
52738	2	30	75.000	  48.800	  60.000	  61.000	  57.000	  64.211	SimB2	R	4	51	2	220
52738	2	31	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	5	49	2	210
52738	2	32	74.000	  46.243	  58.000	  59.000	  54.000	  63.370	SimB2	R	2	50	3	250
52738	2	33	38.667	  87.000	  36.667	  77.455	  40.667	  69.443	Fill5	R	5	51	1	170
52738	2	34	46.400	  75.000	  60.000	  58.000	  43.400	  80.184	SimA1	R	5	49	2	40
52738	2	35	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	6	50	2	920
52738	2	36	95.000	  39.811	  93.000	  36.344	  98.000	  33.765	Fill1	R	5	51	1	1130
52738	2	37	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	50	3	1110
52738	2	38	47.705	  78.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	4	49	3	881
52738	2	39	74.000	  46.243	  58.000	  59.000	  79.134	  43.243	SimB1	R	5	50	3	1990
52738	2	40	93.000	  39.355	  90.000	  35.533	  96.000	  33.750	Fill1	R	4	50	1	718
52738	2	41	47.532	  77.000	  60.000	  61.000	  63.103	  58.000	SimA2	R	3	51	3	749
52738	2	42	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	4	49	3	952
52738	2	43	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	2	50	3	590
52738	2	44	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	2	50	3	790
52738	2	45	48.754	  69.000	  46.754	  62.840	  49.754	  57.865	Fill4	R	3	50	1	1441
52738	2	46	46.877	  73.000	  59.000	  58.000	  43.877	  77.991	SimA1	R	6	50	2	2712
52738	2	47	48.158	  76.000	  61.000	  60.000	  45.158	  81.049	SimA1	R	1	50	2	717
52738	2	48	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	4	50	1	811
52738	2	49	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	6	51	1	978
52738	2	50	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	5	50	3	1571
