username: 53476, Experiment time (minutes): 31
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53476	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4309
53476	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	6887
53476	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	50	1	2437
53476	1	1	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	51	2	1905
53476	1	2	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	51	1	2076
53476	1	3	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	4	51	2	3281
53476	1	4	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	2367
53476	1	5	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	1503
53476	1	6	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	1	49	1	2934
53476	1	7	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	2	49	1	3141
53476	1	8	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	2	50	3	2670
53476	1	9	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	50	3	3770
53476	1	10	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	49	2	8783
53476	1	11	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	1	50	2	2936
53476	1	12	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	51	2	1252
53476	1	13	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	51	1	3250
53476	1	14	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	49	1	1448
53476	1	15	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	4634
53476	1	16	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	51	2	1503
53476	1	17	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	5	50	3	2222
53476	1	18	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	50	3	3689
53476	1	19	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	1	50	2	2561
53476	1	20	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	50	2	2012
53476	1	21	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	49	3	3046
53476	1	22	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	3402
53476	1	23	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	5	49	2	4402
53476	1	24	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	6319
