username: 53551, Experiment time (minutes): 34
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53551	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	1	49	1	2804
53551	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	6	50	2	1591
53551	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	50	2	5124
53551	1	1	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	2712
53551	1	2	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	51	3	3696
53551	1	3	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	49	1	1234
53551	1	4	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1477
53551	1	5	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	1209
53551	1	6	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	2	51	2	1134
53551	1	7	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	50	3	5635
53551	1	8	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	51	2	1715
53551	1	9	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	50	1	2023
53551	1	10	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	51	2	1961
53551	1	11	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	50	1	1224
53551	1	12	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	50	2	1701
53551	1	13	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	51	1	1184
53551	1	14	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	51	2	1797
53551	1	15	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	1	50	2	1331
53551	1	16	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	3454
53551	1	17	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	4	50	1	1485
53551	1	18	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	1	50	2	3267
53551	1	19	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	6	49	3	2617
53551	1	20	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	49	2	5009
53551	1	21	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	6	51	1	9521
53551	1	22	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	6	51	1	1659
53551	1	23	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	49	2	12757
53551	1	24	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	49	3	1444
53551	1	25	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	6	51	1	22636
53551	1	26	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	49	1	1975
53551	1	27	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	49	2	934
53551	1	28	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	1	50	2	3167
53551	1	29	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	6	50	2	1338
53551	1	30	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	6	51	1	2140
53551	1	31	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	49	2	2748
53551	1	32	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	50	3	1527
53551	1	33	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	2	49	1	1012
53551	1	34	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	1073
53551	1	35	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	4	49	3	4792
53551	1	36	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	3	49	2	5222
53551	1	37	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	5	51	1	1859
53551	1	38	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	3	50	1	1452
53551	1	39	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	50	1	2640
53551	1	40	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	51	3	1967
53551	1	41	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	51	2	3322
53551	1	42	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	51	2	1626
53551	1	43	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	49	2	3497
53551	1	44	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	51	2	3790
53551	1	45	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	50	1	5172
53551	1	46	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	1390
53551	1	47	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	1	49	1	2043
53551	1	48	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	2	50	3	7807
53551	1	49	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	50	3	1424
53551	1	50	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	50	3	898
53551	1	51	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	2	49	1	1400
53551	1	52	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	49	2	2591
53551	1	53	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	1259
53551	1	54	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	1305
53551	1	55	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	6	50	2	8361
53551	1	56	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	51	2	1161
53551	1	57	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	840
53551	1	58	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	50	1	1803
53551	1	59	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	51	3	1387
53551	1	60	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	50	1	1407
53551	1	61	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	2	49	1	938
53551	1	62	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	6	51	1	1127
53551	1	63	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	51	2	1556
53551	1	64	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	51	3	1264
53551	1	65	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	2	49	1	2142
53551	1	66	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	4	50	1	1138
53551	1	67	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	50	2	1370
53551	1	68	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	1613
53551	1	69	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	49	1	975
53551	1	70	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	5	50	3	1633
53551	1	71	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	889
53551	1	72	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	5	51	1	1306
53551	1	73	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	49	3	1181
53551	1	74	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	50	2	1209
53551	1	75	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	49	2	2425
53551	1	76	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	51	3	1600
53551	1	77	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	50	1	1055
53551	1	78	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	49	2	2853
