username: 53689, Experiment time (minutes): 11
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53689	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	50	3	2762
53689	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	3717
53689	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	943
53689	1	1	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	50	1	883
53689	1	2	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	2	49	1	675
53689	1	3	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	3	51	3	365
53689	1	4	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	6	50	2	357
53689	1	5	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	2	49	1	325
53689	1	6	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	6	51	1	333
53689	1	7	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	50	3	299
53689	1	8	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	49	1	405
53689	1	9	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	404
53689	1	10	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	50	1	329
53689	1	11	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	340
53689	1	12	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	4	50	1	335
53689	1	13	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	49	2	294
53689	1	14	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	51	1	311
53689	1	15	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	263
53689	1	16	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	352
53689	1	17	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	3	51	3	198
53689	1	18	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	1	50	2	304
53689	1	19	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	49	3	221
53689	1	20	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	4	51	2	263
53689	1	21	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	6	50	2	292
53689	1	22	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	4	49	3	311
53689	1	23	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	51	2	288
53689	1	24	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	1	51	3	303
53689	1	25	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	50	3	290
53689	1	26	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	3	49	2	213
53689	1	27	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	50	3	354
53689	1	28	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	50	1	341
53689	1	29	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	51	1	500
53689	1	30	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	49	2	183
53689	1	31	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	51	2	150
53689	1	32	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	50	3	329
53689	1	33	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	1	49	1	308
53689	1	34	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	51	2	200
53689	1	35	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	49	2	298
53689	1	36	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	51	3	110
53689	1	37	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	1	50	2	113
53689	1	38	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	49	2	125
53689	1	39	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	2	51	2	377
53689	1	40	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	1	49	1	215
53689	1	41	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	51	2	199
53689	1	42	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	1	50	2	4
53689	1	43	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	50	3	59
53689	1	44	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	6	50	2	136
53689	1	45	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	49	2	301
53689	1	46	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	4	49	3	322
53689	1	47	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	49	2	294
53689	1	48	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	6	50	2	148
53689	1	49	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	50	3	76
53689	1	50	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	5	51	1	128
53689	1	51	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	49	1	4
