username: 53752, Experiment time (minutes): 13
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,2,152,32

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53752	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	51	2	3505
53752	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	50	1	2332
53752	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	49	3	2231
53752	1	1	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	4	49	3	4730
53752	1	2	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	50	1	3751
53752	1	3	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	3	50	1	2093
53752	1	4	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	2	51	2	2197
53752	1	5	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	51	2	1731
53752	1	6	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	51	3	2481
53752	1	7	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	49	2	1011
53752	1	8	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	51	3	1042
53752	1	9	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	50	3	633
53752	1	10	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	5	51	1	1352
53752	1	11	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	51	2	1527
53752	1	12	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	3140
53752	1	13	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	5	50	3	2115
53752	1	14	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	6	49	3	1238
53752	1	15	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	1877
53752	1	16	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	2	49	1	891
53752	1	17	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	1332
53752	1	18	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	49	1	1096
53752	1	19	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	3	50	1	4517
53752	1	20	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	4	49	3	2479
53752	1	21	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	51	2	1393
53752	1	22	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	2	51	2	1044
53752	1	23	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	2	49	1	1426
53752	1	24	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	51	1	1095
53752	1	25	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	49	2	2477
53752	1	26	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	970
53752	1	27	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1021
53752	1	28	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	1387
53752	1	29	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	49	1	1251
53752	1	30	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	5	49	2	1954
53752	1	31	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	51	1	914
53752	1	32	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	49	2	494
53752	1	33	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	1	50	2	328
53752	1	34	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	521
53752	1	35	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	49	2	523
53752	1	36	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	1256
53752	1	37	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	5	51	1	537
53752	1	38	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	726
53752	1	39	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	3	50	1	509
53752	1	40	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	49	3	1222
53752	1	41	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	49	2	739
53752	1	42	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	4	50	1	1582
53752	1	43	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	2	50	3	1602
53752	1	44	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	958
53752	1	45	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	49	1	1366
53752	1	46	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	50	1	1308
53752	1	47	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	49	2	859
