username: 53830, Experiment time (minutes): 31
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,14

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53830	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	50	3	4753
53830	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	4705
53830	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	51	3	3337
53830	1	1	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	50	3	3144
53830	1	2	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	51	3	3493
53830	1	3	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	50	3	5384
53830	1	4	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	2160
53830	1	5	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	4	50	1	2152
53830	1	6	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	4	51	2	2421
53830	1	7	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	4	50	1	4066
53830	1	8	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	49	3	1604
53830	1	9	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	51	1	2613
53830	1	10	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	50	1	1977
53830	1	11	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	51	2	1746
53830	1	12	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	49	3	2423
53830	1	13	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	51	2	1103
53830	1	14	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	49	2	1902
53830	1	15	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	51	3	2019
53830	1	16	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	50	1	2303
53830	1	17	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	50	3	1600
53830	1	18	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	51	1	2037
53830	1	19	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	4	49	3	2248
53830	1	20	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	6	50	2	797
53830	1	21	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	1	49	1	1844
