username: 53836, Experiment time (minutes): 45
Operating system: Mac OS 10.7.1
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,2,152,33

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53836	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	49	2	17182
53836	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	8773
53836	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	2332
53836	1	1	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	49	3	5284
53836	1	2	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	49	2	4058
53836	1	3	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1947
53836	1	4	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	2	49	1	2082
53836	1	5	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	49	2	3284
53836	1	6	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	51	2	3029
53836	1	7	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	2	49	1	4838
53836	1	8	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	51	1	3960
53836	1	9	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	51	2	5546
53836	1	10	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	4	51	2	11952
53836	1	11	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	49	2	6056
53836	1	12	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	50	3	3179
53836	1	13	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	2	50	3	3503
53836	1	14	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	5	50	3	7057
53836	1	15	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	1897
53836	1	16	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	3	49	2	8040
53836	1	17	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	1	50	2	3985
53836	1	18	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	50	3	4696
53836	1	19	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	3827
53836	1	20	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	51	2	6838
53836	1	21	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	49	1	1207
53836	1	22	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	49	2	3968
53836	1	23	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	6	49	3	5986
53836	1	24	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	49	1	1644
53836	1	25	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	2	51	2	5968
53836	1	26	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	2	49	1	2633
53836	1	27	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	2617
53836	1	28	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	49	2	1069
53836	1	29	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	2	50	3	3508
53836	1	30	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	49	3	1361
53836	1	31	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	6	50	2	2600
53836	1	32	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	2329
53836	1	33	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	4	49	3	2287
53836	1	34	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	1	49	1	912
53836	1	35	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	2989
53836	1	36	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	5356
53836	1	37	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	1121
53836	1	38	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	1	51	3	2718
53836	1	39	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	51	2	6440
53836	1	40	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	1271
53836	1	41	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	49	1	1615
53836	1	42	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	4	51	2	6140
53836	1	43	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	51	2	4303
53836	1	44	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	4629
53836	1	45	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	49	2	3739
53836	1	46	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	51	2	2762
53836	1	47	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	50	3	5201
53836	1	48	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	49	3	3582
53836	1	49	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	49	2	3193
53836	1	50	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	6	51	1	1515
53836	1	51	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	50	3	6703
53836	1	52	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	3	50	1	1451
53836	1	53	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	50	1	6214
53836	1	54	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	2160
