username: 53965, Experiment time (minutes): 22
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
53965	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	3246
53965	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	1457
53965	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	6	49	3	1972
53965	1	1	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	51	2	910
53965	1	2	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	50	1	1274
53965	1	3	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	1236
53965	1	4	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	1138
53965	1	5	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	1233
53965	1	6	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	49	2	796
53965	1	7	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	51	1	962
53965	1	8	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	1	50	2	855
53965	1	9	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	51	3	1403
53965	1	10	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	800
53965	1	11	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	4	51	2	1287
53965	1	12	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	49	2	1120
53965	1	13	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	51	1	1215
53965	1	14	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	50	1	764
53965	1	15	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	4	51	2	1505
53965	1	16	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	6	51	1	1123
53965	1	17	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	5	50	3	737
53965	1	18	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	4	49	3	2172
53965	1	19	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	50	3	1227
53965	1	20	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	51	3	1025
53965	1	21	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	2	51	2	1585
53965	1	22	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	3	51	3	1355
53965	1	23	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	1	49	1	1063
53965	1	24	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	51	1	1062
53965	1	25	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	49	3	2317
53965	1	26	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	50	1	1262
53965	1	27	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	4	50	1	917
53965	1	28	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	5	51	1	1257
53965	1	29	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	50	1	1373
53965	1	30	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	49	2	1408
53965	1	31	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	51	2	642
53965	1	32	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	722
53965	1	33	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	3	50	1	591
53965	1	34	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	49	2	790
53965	1	35	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	50	3	1513
53965	1	36	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	3	50	1	906
53965	1	37	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	6	49	3	1467
53965	1	38	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	3	51	3	643
53965	1	39	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	766
53965	1	40	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	5	51	1	1921
53965	1	41	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	49	1	983
53965	1	42	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	1	49	1	1529
53965	1	43	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	50	1	870
53965	1	44	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	2	50	3	596
