username: 55036, Experiment time (minutes): 31
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,0,32,18

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
55036	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	7632
55036	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	49	1	3978
55036	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	5759
55036	1	1	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	1	51	3	3860
55036	1	2	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	4	50	1	2335
55036	1	3	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	49	2	5133
55036	1	4	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	1	49	1	3151
55036	1	5	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	50	3	4179
55036	1	6	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	49	3	2005
55036	1	7	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	51	1	1692
55036	1	8	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	3958
55036	1	9	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	6	51	1	1942
55036	1	10	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	6	49	3	3498
55036	1	11	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	49	1	4097
55036	1	12	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	50	2	867
55036	1	13	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	1787
55036	1	14	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	6	49	3	1500
55036	1	15	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	5	51	1	1892
55036	1	16	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	49	2	3414
55036	1	17	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	2898
55036	1	18	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	50	2	1971
55036	1	19	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	1	50	2	1276
55036	1	20	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	3027
55036	1	21	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	50	1	3966
55036	1	22	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	6	50	2	2546
55036	1	23	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	2	49	1	1827
55036	1	24	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	49	3	4830
55036	1	25	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	7019
55036	1	26	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	6	49	3	3948
55036	1	27	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	2	49	1	2359
55036	1	28	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	1	50	2	2549
55036	1	29	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	51	3	1867
55036	1	30	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	51	3	1287
55036	1	31	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	51	3	1584
55036	1	32	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	1	50	2	1289
55036	1	33	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	51	2	1458
