username: 55063, Experiment time (minutes): 28
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
55063	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	50	3	8157
55063	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	5842
55063	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4680
55063	1	1	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	51	3	6007
55063	1	2	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	1483
55063	1	3	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	6	51	1	1802
55063	1	4	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	50	2	1373
55063	1	5	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	2	49	1	1279
55063	1	6	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	49	2	1113
55063	1	7	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	1251
55063	1	8	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	3	50	1	1653
55063	1	9	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	49	2	1364
55063	1	10	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	4	51	2	1176
55063	1	11	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	3	49	2	1064
55063	1	12	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	51	2	899
55063	1	13	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	49	1	906
55063	1	14	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	1102
55063	1	15	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	6	51	1	1269
55063	1	16	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	49	2	3824
55063	1	17	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	1511
55063	1	18	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	5	51	1	1347
55063	1	19	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	51	2	1386
55063	1	20	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	2940
55063	1	21	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	2	50	3	1489
55063	1	22	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	49	1	1327
55063	1	23	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	1030
55063	1	24	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	1078
55063	1	25	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	2	50	3	3175
55063	1	26	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	49	2	1713
55063	1	27	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	6	51	1	1126
55063	1	28	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	4	50	1	3156
55063	1	29	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	4	51	2	1569
55063	1	30	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	51	2	4795
55063	1	31	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	4	49	3	1399
55063	1	32	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	6	51	1	1003
55063	1	33	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	10043
55063	1	34	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	6	49	3	996
55063	1	35	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	2088
55063	1	36	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	2	49	1	1009
55063	1	37	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	2	51	2	929
55063	1	38	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	49	2	1313
55063	1	39	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	5	50	3	635
55063	1	40	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	51	2	749
55063	1	41	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	3	49	2	1083
55063	1	42	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	5	50	3	1321
55063	1	43	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	51	1	3760
55063	1	44	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	1037
55063	1	45	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	5	51	1	1220
55063	1	46	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	1	51	3	913
55063	1	47	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	965
55063	1	48	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	2	49	1	1240
55063	1	49	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	49	2	865
55063	1	50	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	6	51	1	856
55063	1	51	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	49	1	848
55063	1	52	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	756
55063	1	53	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	49	1	1206
55063	1	54	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	50	2	1041
55063	1	55	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	6	51	1	945
55063	1	56	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	4	51	2	1142
55063	1	57	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	51	2	1972
55063	1	58	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	51	2	1054
55063	1	59	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	3	51	3	2094
55063	1	60	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	6	51	1	1412
55063	1	61	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	1785
55063	1	62	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	49	2	2747
55063	1	63	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	6	51	1	1930
55063	1	64	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	51	3	1302
55063	1	65	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	3	51	3	1004
55063	1	66	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	49	1	3455
55063	1	67	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	2	51	2	1999
55063	1	68	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	1223
55063	1	69	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	50	1	1076
55063	1	70	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	6	50	2	1094
55063	1	71	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	2	49	1	852
55063	1	72	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	51	3	1371
55063	1	73	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	50	3	2654
55063	1	74	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	3	49	2	1935
55063	1	75	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	2	51	2	1019
55063	1	76	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	51	1	958
55063	1	77	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	3	50	1	1845
55063	1	78	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	50	1	1557
55063	1	79	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	50	1	1442
55063	1	80	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	3	51	3	1235
55063	2	1	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	3	51	3	5150
55063	2	2	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	49	3	617
55063	2	3	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	3	51	3	794
55063	2	4	95.000	  39.811	  93.000	  36.344	  98.000	  33.765	Fill1	R	6	49	3	806
55063	2	5	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	2	50	3	719
55063	2	6	77.000	  49.117	  74.000	  44.689	  78.000	  43.051	Fill2	R	2	51	2	3230
55063	2	7	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	3	50	1	773
55063	2	8	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	49	3	579
55063	2	9	46.923	  78.000	  60.000	  61.000	  65.357	  56.000	SimA2	R	2	51	2	597
55063	2	10	74.000	  46.243	  58.000	  59.000	  54.000	  63.370	SimB2	R	1	50	2	791
55063	2	11	38.667	  87.000	  36.667	  77.455	  40.667	  69.443	Fill5	R	5	51	1	676
55063	2	12	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	659
