username: 55081, Experiment time (minutes): 20
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
55081	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	50	3	10756
55081	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	50	2	9230
55081	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	4368
55081	1	1	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	51	1	7257
55081	1	2	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	49	2	1528
55081	1	3	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	49	3	4780
55081	1	4	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	51	3	2015
55081	1	5	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	6	51	1	1751
55081	1	6	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	724
55081	1	7	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	5	49	2	1438
55081	1	8	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	50	1	1266
55081	1	9	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	996
55081	1	10	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	51	2	767
55081	1	11	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	49	1	2434
55081	1	12	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	3	49	2	6409
55081	1	13	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	3	50	1	2330
55081	1	14	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	1462
55081	1	15	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	49	2	2718
55081	1	16	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	51	1	4693
55081	1	17	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	49	2	4120
55081	1	18	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	3091
55081	1	19	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	6	49	3	4811
55081	1	20	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	49	1	4682
55081	1	21	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	1	51	3	7279
55081	1	22	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	5	49	2	1603
55081	1	23	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	1279
55081	1	24	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	6	49	3	10502
55081	1	25	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	2	51	2	1233
55081	1	26	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	50	2	273
55081	1	27	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	252
55081	1	28	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	51	2	476
55081	1	29	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	1	50	2	635
55081	1	30	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	829
55081	1	31	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	49	1	572
55081	1	32	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	5	51	1	620
55081	1	33	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	2	49	1	642
55081	1	34	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	49	2	1588
55081	1	35	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	608
55081	1	36	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	49	1	868
55081	1	37	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	6	51	1	673
55081	1	38	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	49	2	2012
55081	1	39	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	50	1	1543
55081	1	40	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	1	51	3	928
55081	1	41	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	49	1	1402
55081	1	42	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	1	49	1	718
55081	1	43	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	51	3	1618
55081	1	44	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	50	2	1848
55081	1	45	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	5	49	2	1819
55081	1	46	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	49	3	1816
55081	1	47	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	2	49	1	870
