username: 55132, Experiment time (minutes): 11
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,2,159,1

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
55132	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	49	2	4451
55132	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2943
55132	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	1805
55132	1	1	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	49	2	1985
55132	1	2	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	5	51	1	1515
55132	1	3	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	51	3	2370
55132	1	4	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	49	2	946
55132	1	5	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	50	2	1906
55132	1	6	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	5	49	2	2816
55132	1	7	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	65
55132	1	8	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	49	1	47
55132	1	9	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	49	2	34
55132	1	10	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	49	2	14
55132	1	11	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	51	2	191
55132	1	12	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	51	2	40
55132	1	13	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	51	2	24
55132	1	14	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	51	1	78
55132	1	15	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	51	2	60
55132	1	16	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	165
55132	1	17	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	50	3	81
55132	1	18	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	6	50	2	66
55132	1	19	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	50	1	50
55132	1	20	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	6	51	1	266
55132	1	21	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	51	2	49
55132	1	22	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	51	2	33
55132	1	23	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	6	51	1	18
55132	1	24	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	51	3	68
55132	1	25	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	49	1	134
55132	1	26	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	51
55132	1	27	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	4	49	3	34
55132	1	28	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	49	1	17
55132	1	29	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	4	50	1	357
55132	1	30	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	50	1	74
55132	1	31	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	50	3	57
55132	1	32	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	50	1	41
55132	1	33	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	6	50	2	29
55132	1	34	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	51	2	173
55132	1	35	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	51	2	24
55132	1	36	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	1	51	3	73
55132	1	37	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	3	51	3	56
55132	1	38	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	49	2	71
55132	1	39	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	1	49	1	52
55132	1	40	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	1	49	1	32
55132	1	41	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	5	50	3	170
55132	1	42	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	50	1	21
55132	1	43	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	50	3	69
