username: 55348, Experiment time (minutes): 59
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
55348	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	6	49	3	1391
55348	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	51	1	6731
55348	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2962
55348	1	1	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	1	49	1	2098
55348	1	2	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	3	49	2	3442
55348	1	3	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	2	49	1	3036
55348	1	4	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	49	3	4707
55348	1	5	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	5208
55348	1	6	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	1	50	2	3841
55348	1	7	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	1	49	1	4698
55348	1	8	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	3	49	2	4866
55348	1	9	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	49	2	2506
55348	1	10	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	2	51	2	6623
55348	1	11	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	3091
55348	1	12	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	2	49	1	5193
55348	1	13	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	5	49	2	5574
55348	1	14	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	2	49	1	3110
55348	1	15	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	2	50	3	3221
55348	1	16	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	1661
55348	1	17	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	1382
55348	1	18	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	49	1	7378
55348	1	19	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	5	50	3	7812
55348	1	20	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	4	50	1	4231
55348	1	21	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	4	50	1	7614
55348	1	22	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1803
55348	1	23	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	1868
55348	1	24	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	6	50	2	7509
55348	1	25	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	4	51	2	6681
55348	1	26	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	5249
