username: S35, Experiment time (minutes): 61
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 13,0,0,182

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
1364	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4694
1364	0	2	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	3	50	1	3137
1364	0	3	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	5	51	1	3234
1364	1	1	59.000	  61.000	  57.000	  55.509	  60.000	  52.300	Fill3	R	2	49	1	5605
1364	1	2	50.000	  81.000	  82.000	  49.390	  42.000	  81.000	AttR1	R	2	49	1	6428
1364	1	3	48.800	  75.000	  61.000	  60.000	  66.545	  55.000	SimA2	R	4	50	1	9950
1364	1	4	47.838	  74.000	  59.000	  60.000	  43.838	  80.752	SimA1	R	2	51	2	4932
1364	1	5	53.000	  80.000	  81.000	  52.346	  45.000	  80.000	AttR1	R	2	49	1	5946
1364	1	6	50.000	  80.000	  78.000	  51.282	  43.000	  80.000	AttR1	R	2	49	1	2055
1364	1	7	82.000	  47.561	  60.000	  65.000	  44.318	  88.000	ComD2	R	6	50	2	3087
1364	1	8	80.000	  47.125	  58.000	  65.000	  44.353	  85.000	ComD2	R	2	51	2	2095
1364	1	9	78.000	  46.897	  76.000	  42.000	  80.000	  39.587	Fill2	R	4	50	1	967
1364	1	10	82.000	  45.976	  58.000	  65.000	  43.837	  86.000	ComD2	R	5	49	2	10066
1364	1	11	46.000	  80.000	  81.000	  45.432	  39.000	  80.000	AttR1	R	1	49	1	5370
1364	1	12	92.000	  39.120	  91.000	  34.429	  94.000	  33.362	Fill1	R	3	50	1	2596
1364	1	13	38.886	  88.000	  35.886	  81.312	  40.886	  70.610	Fill5	R	3	50	1	5879
1364	1	14	101.000	  39.050	  85.000	  46.400	  58.000	  68.000	ComD1	R	6	50	2	2743
1364	1	15	52.000	  76.000	  74.000	  53.405	  44.000	  76.000	AttR1	R	5	51	1	5028
1364	1	16	53.000	  80.000	  81.000	  52.346	  81.000	  43.346	AttR2	R	3	50	1	5495
1364	1	17	52.000	  76.000	  74.000	  53.405	  74.000	  44.405	AttR2	R	3	50	1	4375
1364	1	18	46.579	  76.000	  59.000	  60.000	  43.579	  81.232	SimA1	R	3	49	2	6026
1364	1	19	49.000	  82.000	  84.000	  47.833	  84.000	  40.833	AttR2	R	4	50	1	1203
1364	1	20	46.000	  80.000	  81.000	  45.432	  81.000	  38.432	AttR2	R	2	49	1	7415
1364	1	21	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	R	3	50	1	1994
1364	1	22	49.000	  79.000	  81.000	  47.790	  81.000	  39.790	AttR2	R	4	51	2	4284
1364	1	23	47.685	  73.000	  59.000	  59.000	  62.161	  56.000	SimA2	R	5	50	3	2196
1364	1	24	96.000	  39.875	  81.000	  47.259	  58.000	  66.000	ComD1	R	3	51	3	2887
1364	1	25	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	6	50	2	11464
1364	1	26	49.000	  79.000	  81.000	  47.790	  42.000	  79.000	AttR1	R	5	51	1	1327
1364	1	27	92.000	  39.120	  91.000	  34.132	  95.000	  32.916	Fill1	R	2	49	1	2341
1364	1	28	50.690	  71.000	  49.690	  62.970	  52.690	  58.835	Fill4	R	5	51	1	11138
1364	1	29	39.545	  88.000	  37.545	  79.077	  40.545	  72.388	Fill5	R	2	49	1	1999
1364	1	30	98.000	  37.806	  82.000	  45.183	  57.000	  65.000	ComD1	R	5	50	3	1762
1364	1	31	41.101	  89.000	  39.101	  80.126	  42.101	  73.917	Fill5	R	2	49	1	1607
1364	1	32	45.627	  75.000	  58.000	  59.000	  42.627	  80.278	SimA1	R	6	51	1	1410
1364	1	33	97.000	  38.268	  80.000	  46.400	  58.000	  64.000	ComD1	R	4	49	3	2668
1364	1	34	47.685	  73.000	  59.000	  59.000	  43.685	  79.684	SimA1	R	3	49	2	1812
1364	1	35	48.886	  70.000	  47.886	  62.628	  49.886	  60.037	Fill4	R	1	49	1	1991
1364	1	36	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	4	51	2	2250
1364	1	37	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	2522
1364	1	38	50.000	  80.000	  80.000	  50.000	  80.000	  42.000	AttR2	R	5	51	1	1791
1364	1	39	48.800	  75.000	  61.000	  60.000	  45.800	  79.913	SimA1	R	4	51	2	3394
1364	1	40	85.000	  46.400	  58.000	  68.000	  46.400	  85.000	ComD2	R	4	51	2	2443
1364	1	41	80.000	  46.400	  58.000	  64.000	  43.671	  85.000	ComD2	R	6	51	1	1852
1364	1	42	61.000	  60.000	  59.000	  54.915	  62.000	  52.242	Fill3	R	3	50	1	2020
1364	1	43	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	2	50	3	4014
1364	1	44	51.240	  75.000	  63.000	  61.000	  66.259	  58.000	SimA2	R	1	50	2	3522
1364	1	45	59.000	  58.000	  56.000	  52.964	  60.000	  50.367	Fill3	R	3	50	1	2655
1364	1	46	49.000	  82.000	  84.000	  47.833	  40.000	  82.000	AttR1	R	2	49	1	2454
1364	1	47	95.000	  38.505	  92.000	  35.033	  97.000	  32.948	Fill1	R	5	51	1	1263
1364	1	48	95.000	  39.684	  80.000	  47.125	  58.000	  65.000	ComD1	R	5	49	2	8687
1364	1	49	49.714	  70.000	  47.714	  63.419	  50.714	  60.042	Fill4	R	2	49	1	2622
1364	1	50	48.325	  77.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	5	51	1	5801
1364	1	51	49.986	  72.000	  48.986	  65.141	  51.986	  61.497	Fill4	R	6	51	1	3507
1364	1	52	53.014	  69.000	  50.014	  65.041	  54.014	  58.632	Fill4	R	1	49	1	1331
1364	1	53	75.000	  46.400	  74.000	  40.986	  76.000	  40.487	Fill2	R	3	50	1	1454
1364	1	54	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	R	2	51	2	1902
1364	1	55	50.000	  81.000	  82.000	  49.390	  82.000	  41.390	AttR2	R	4	50	1	1667
1364	1	56	81.000	  47.259	  58.000	  66.000	  44.512	  86.000	ComD2	R	2	50	3	3300
1364	1	57	50.833	  72.000	  48.833	  64.853	  51.833	  62.045	Fill4	R	5	51	1	1761
1364	1	58	97.000	  38.866	  81.000	  46.543	  58.000	  65.000	ComD1	R	6	49	3	5150
1364	1	59	76.000	  48.158	  75.000	  42.493	  77.000	  41.351	Fill2	R	2	49	1	1508
1364	1	60	39.120	  92.000	  38.120	  80.169	  41.120	  74.539	Fill5	R	3	51	3	2185
1364	1	61	95.000	  38.400	  79.000	  46.177	  57.000	  64.000	ComD1	R	1	51	3	13964
1364	1	62	83.000	  46.120	  58.000	  66.000	  45.035	  85.000	ComD2	R	4	51	2	1456
1364	1	63	48.325	  77.000	  61.000	  61.000	  45.325	  82.097	SimA1	R	4	51	2	3351
1364	1	64	47.355	  76.000	  59.000	  61.000	  42.355	  84.972	SimA1	R	3	49	2	7964
1364	1	65	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	1	51	3	817
1364	1	66	39.989	  90.000	  38.989	  78.304	  41.989	  73.734	Fill5	R	2	49	1	2131
1364	1	67	73.000	  49.301	  70.000	  45.086	  76.000	  41.697	Fill2	R	4	50	1	1617
1364	1	68	47.355	  76.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	907
1364	1	69	49.000	  80.000	  81.000	  48.395	  81.000	  41.395	AttR2	R	4	50	1	2673
1364	1	70	75.000	  47.987	  72.000	  44.319	  77.000	  41.208	Fill2	R	2	49	1	1257
1364	1	71	47.671	  73.000	  60.000	  58.000	  64.444	  54.000	SimA2	R	5	51	1	2170
1364	1	72	82.000	  45.183	  57.000	  65.000	  43.081	  86.000	ComD2	R	4	51	2	5588
1364	1	73	98.000	  39.796	  82.000	  47.561	  60.000	  65.000	ComD1	R	5	50	3	1902
1364	1	74	52.000	  79.000	  77.000	  53.351	  43.000	  79.000	AttR1	R	5	51	1	1115
1364	1	75	49.000	  80.000	  81.000	  48.395	  42.000	  80.000	AttR1	R	1	50	2	1250
1364	1	76	47.671	  73.000	  60.000	  58.000	  43.671	  79.686	SimA1	R	5	49	2	1553
1364	1	77	51.240	  75.000	  63.000	  61.000	  47.240	  81.351	SimA1	R	4	51	2	2694
