username: S43, Experiment time (minutes): 88
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 13,0,0,182

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
1643	0	1	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	4	50	1	2430
1643	0	2	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	6	51	1	4370
1643	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	50	1	4647
1643	1	1	62.000	  59.000	  60.000	  52.850	  63.000	  50.381	Fill3	R	5	51	1	3500
1643	1	2	97.000	  38.268	  80.000	  46.400	  58.000	  64.000	ComD1	R	2	51	2	6156
1643	1	3	53.000	  80.000	  81.000	  52.346	  45.000	  80.000	AttR1	R	3	50	1	3041
1643	1	4	53.000	  80.000	  81.000	  52.346	  81.000	  43.346	AttR2	R	5	51	1	2273
1643	1	5	48.886	  70.000	  47.886	  62.628	  49.886	  60.037	Fill4	R	6	51	1	1649
1643	1	6	96.000	  39.271	  82.000	  45.976	  58.000	  65.000	ComD1	R	4	51	2	1954
1643	1	7	48.325	  77.000	  61.000	  61.000	  45.325	  82.097	SimA1	R	3	50	1	4199
1643	1	8	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	50	1	1209
1643	1	9	92.000	  37.826	  91.000	  33.055	  93.000	  32.376	Fill1	R	3	50	1	965
1643	1	10	46.000	  80.000	  81.000	  45.432	  81.000	  38.432	AttR2	R	6	51	1	4792
1643	1	11	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	R	4	50	1	2340
1643	1	12	52.000	  76.000	  74.000	  53.405	  44.000	  76.000	AttR1	R	3	50	1	1144
1643	1	13	47.355	  76.000	  59.000	  61.000	  42.355	  84.972	SimA1	R	4	50	1	2975
1643	1	14	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	6	49	3	4009
1643	1	15	97.000	  38.866	  81.000	  46.543	  58.000	  65.000	ComD1	R	5	50	3	1732
