username: S62, Experiment time (minutes): 46
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 11,7,700,202

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
4301	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	1	49	1	6040
4301	0	2	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	3	50	1	2281
4301	0	3	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	3	51	3	3203
4301	1	1	52.000	  76.000	  74.000	  53.405	  74.000	  44.405	AttR2	R	1	49	1	4149
4301	1	2	46.579	  76.000	  59.000	  60.000	  43.579	  81.232	SimA1	R	5	51	1	2057
4301	1	3	50.833	  72.000	  48.833	  64.853	  51.833	  62.045	Fill4	R	6	51	1	2041
4301	1	4	95.000	  38.400	  79.000	  46.177	  57.000	  64.000	ComD1	R	6	49	3	3888
4301	1	5	81.000	  46.543	  58.000	  65.000	  43.837	  86.000	ComD2	R	6	50	2	1496
4301	1	6	48.886	  70.000	  47.886	  62.628	  49.886	  60.037	Fill4	R	6	51	1	2537
4301	1	7	97.000	  38.268	  80.000	  46.400	  58.000	  64.000	ComD1	R	4	51	2	3622
4301	1	8	49.000	  80.000	  81.000	  48.395	  42.000	  80.000	AttR1	R	3	49	2	3273
4301	1	9	101.000	  39.050	  85.000	  46.400	  58.000	  68.000	ComD1	R	5	50	3	1569
4301	1	10	50.000	  80.000	  78.000	  51.282	  43.000	  80.000	AttR1	R	4	50	1	1572
4301	1	11	49.986	  72.000	  48.986	  65.141	  51.986	  61.497	Fill4	R	1	49	1	2822
4301	1	12	50.000	  80.000	  80.000	  50.000	  80.000	  42.000	AttR2	R	6	51	1	2209
4301	1	13	53.014	  69.000	  50.014	  65.041	  54.014	  58.632	Fill4	R	4	50	1	1316
4301	1	14	92.000	  39.120	  91.000	  34.429	  94.000	  33.362	Fill1	R	5	51	1	1226
4301	1	15	51.240	  75.000	  63.000	  61.000	  47.240	  81.351	SimA1	R	2	49	1	1748
4301	1	16	50.690	  71.000	  49.690	  62.970	  52.690	  58.835	Fill4	R	6	51	1	2089
4301	1	17	76.000	  48.158	  75.000	  42.493	  77.000	  41.351	Fill2	R	1	49	1	752
4301	1	18	83.000	  46.120	  58.000	  66.000	  45.035	  85.000	ComD2	R	3	49	2	1110
4301	1	19	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	3	51	3	1116
4301	1	20	98.000	  37.806	  82.000	  45.183	  57.000	  65.000	ComD1	R	3	51	3	1265
4301	1	21	79.000	  46.177	  57.000	  64.000	  43.429	  84.000	ComD2	R	5	49	2	1297
4301	1	22	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	4	51	2	1881
4301	1	23	78.000	  46.897	  76.000	  42.000	  80.000	  39.587	Fill2	R	5	51	1	1025
4301	1	24	75.000	  47.987	  72.000	  44.319	  77.000	  41.208	Fill2	R	3	50	1	1084
4301	1	25	49.000	  82.000	  84.000	  47.833	  84.000	  40.833	AttR2	R	1	49	1	724
4301	1	26	52.000	  79.000	  77.000	  53.351	  77.000	  45.351	AttR2	R	6	50	2	1001
4301	1	27	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	R	2	49	1	1084
4301	1	28	52.000	  76.000	  74.000	  53.405	  44.000	  76.000	AttR1	R	4	50	1	1388
4301	1	29	53.000	  80.000	  81.000	  52.346	  81.000	  43.346	AttR2	R	4	50	1	638
4301	1	30	80.000	  46.400	  58.000	  64.000	  43.671	  85.000	ComD2	R	5	49	2	1510
4301	1	31	80.000	  47.125	  58.000	  65.000	  44.353	  85.000	ComD2	R	4	51	2	1052
4301	1	32	81.000	  47.259	  58.000	  66.000	  44.512	  86.000	ComD2	R	4	51	2	1179
4301	1	33	92.000	  37.826	  91.000	  33.055	  93.000	  32.376	Fill1	R	4	50	1	877
4301	1	34	51.240	  75.000	  63.000	  61.000	  66.259	  58.000	SimA2	R	6	50	2	1165
4301	1	35	47.355	  76.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	1	49	1	729
4301	1	36	50.000	  81.000	  82.000	  49.390	  42.000	  81.000	AttR1	R	4	50	1	910
4301	1	37	95.000	  39.684	  80.000	  47.125	  58.000	  65.000	ComD1	R	6	49	3	715
4301	1	38	39.120	  92.000	  38.120	  80.169	  41.120	  74.539	Fill5	R	5	51	1	1465
4301	1	39	95.000	  38.505	  92.000	  35.033	  97.000	  32.948	Fill1	R	6	51	1	704
4301	1	40	92.000	  37.196	  89.000	  33.607	  93.000	  31.742	Fill1	R	5	49	2	854
4301	1	41	92.000	  39.783	  89.000	  36.315	  93.000	  34.753	Fill1	R	2	49	1	614
4301	1	42	50.000	  81.000	  82.000	  49.390	  82.000	  41.390	AttR2	R	3	50	1	889
4301	1	43	62.000	  59.000	  60.000	  52.850	  63.000	  50.381	Fill3	R	1	49	1	1033
4301	1	44	85.000	  46.400	  58.000	  68.000	  46.400	  85.000	ComD2	R	3	51	3	1361
4301	1	45	96.000	  39.875	  81.000	  47.259	  58.000	  66.000	ComD1	R	2	50	3	910
4301	1	46	47.355	  76.000	  59.000	  61.000	  42.355	  84.972	SimA1	R	1	50	2	1180
4301	1	47	47.838	  74.000	  59.000	  60.000	  43.838	  80.752	SimA1	R	4	50	1	1269
4301	1	48	59.000	  61.000	  57.000	  55.509	  60.000	  52.300	Fill3	R	4	50	1	1021
