username: S82, Experiment time (minutes): 27
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 13,0,0,206

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
5063	0	1	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	5	51	1	3806
5063	0	2	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	5	51	1	3026
5063	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	50	1	3815
5063	1	1	38.886	  88.000	  35.886	  81.312	  40.886	  70.610	Fill5	R	5	51	1	6781
5063	1	2	47.685	  73.000	  59.000	  59.000	  62.161	  56.000	SimA2	R	2	49	1	4130
5063	1	3	79.000	  46.177	  57.000	  64.000	  43.429	  84.000	ComD2	R	3	49	2	8664
5063	1	4	40.667	  90.000	  37.667	  83.841	  42.667	  73.852	Fill5	R	3	50	1	5247
5063	1	5	92.000	  37.196	  89.000	  33.607	  93.000	  31.742	Fill1	R	5	51	1	1407
5063	1	6	48.800	  75.000	  61.000	  60.000	  45.800	  79.913	SimA1	R	3	51	3	9778
5063	1	7	48.325	  77.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	5	49	2	5549
5063	1	8	59.000	  61.000	  57.000	  55.509	  60.000	  52.300	Fill3	R	4	50	1	2226
5063	1	9	51.240	  75.000	  63.000	  61.000	  47.240	  81.351	SimA1	R	1	49	1	2732
5063	1	10	45.627	  75.000	  58.000	  59.000	  42.627	  80.278	SimA1	R	4	49	3	4770
5063	1	11	47.838	  74.000	  59.000	  60.000	  43.838	  80.752	SimA1	R	2	51	2	3092
5063	1	12	83.000	  46.120	  58.000	  66.000	  45.035	  85.000	ComD2	R	2	51	2	6628
5063	1	13	61.000	  60.000	  59.000	  54.915	  62.000	  52.242	Fill3	R	3	50	1	1399
5063	1	14	85.000	  46.400	  58.000	  68.000	  46.400	  85.000	ComD2	R	3	49	2	2930
5063	1	15	82.000	  45.183	  57.000	  65.000	  43.081	  86.000	ComD2	R	4	51	2	7031
5063	1	16	39.989	  90.000	  38.989	  78.304	  41.989	  73.734	Fill5	R	2	49	1	2467
5063	1	17	48.800	  75.000	  61.000	  60.000	  66.545	  55.000	SimA2	R	1	49	1	10122
5063	1	18	52.000	  76.000	  74.000	  53.405	  74.000	  44.405	AttR2	R	1	49	1	6711
5063	1	19	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	2	50	3	3140
5063	1	20	60.000	  58.000	  58.000	  52.103	  63.000	  47.810	Fill3	R	6	51	1	2163
5063	1	21	46.579	  76.000	  59.000	  60.000	  43.579	  81.232	SimA1	R	6	50	2	3152
5063	1	22	95.000	  38.505	  92.000	  35.033	  97.000	  32.948	Fill1	R	4	50	1	1173
5063	1	23	92.000	  39.120	  91.000	  34.132	  95.000	  32.916	Fill1	R	4	50	1	871
5063	1	24	82.000	  45.976	  58.000	  65.000	  43.837	  86.000	ComD2	R	6	49	3	6583
5063	1	25	49.986	  72.000	  48.986	  65.141	  51.986	  61.497	Fill4	R	4	50	1	12514
5063	1	26	50.833	  72.000	  48.833	  64.853	  51.833	  62.045	Fill4	R	2	49	1	2735
5063	1	27	75.000	  46.400	  74.000	  40.986	  76.000	  40.487	Fill2	R	2	49	1	2676
5063	1	28	59.000	  58.000	  56.000	  52.964	  60.000	  50.367	Fill3	R	5	51	1	5149
5063	1	29	73.000	  49.301	  70.000	  45.086	  76.000	  41.697	Fill2	R	1	49	1	1147
5063	1	30	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	6	50	2	1799
5063	1	31	50.000	  81.000	  82.000	  49.390	  42.000	  81.000	AttR1	R	4	50	1	4882
5063	1	32	95.000	  38.400	  79.000	  46.177	  57.000	  64.000	ComD1	R	5	49	2	10882
5063	1	33	92.000	  39.783	  89.000	  36.315	  93.000	  34.753	Fill1	R	2	49	1	1035
5063	1	34	53.000	  80.000	  81.000	  52.346	  81.000	  43.346	AttR2	R	6	51	1	1923
5063	1	35	52.000	  79.000	  77.000	  53.351	  77.000	  45.351	AttR2	R	4	50	1	855
5063	1	36	53.014	  69.000	  50.014	  65.041	  54.014	  58.632	Fill4	R	2	49	1	1880
5063	1	37	46.000	  80.000	  81.000	  45.432	  39.000	  80.000	AttR1	R	1	49	1	2078
5063	1	38	81.000	  47.259	  58.000	  66.000	  44.512	  86.000	ComD2	R	1	50	2	1776
5063	1	39	49.000	  80.000	  81.000	  48.395	  42.000	  80.000	AttR1	R	4	50	1	4731
5063	1	40	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	R	4	51	2	959
5063	1	41	39.545	  88.000	  37.545	  79.077	  40.545	  72.388	Fill5	R	4	50	1	1388
5063	1	42	46.000	  80.000	  81.000	  45.432	  81.000	  38.432	AttR2	R	4	50	1	1359
5063	1	43	47.355	  76.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	50	3	4684
5063	1	44	52.000	  76.000	  74.000	  53.405	  44.000	  76.000	AttR1	R	5	51	1	2229
5063	1	45	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	5	49	2	13831
5063	1	46	49.000	  79.000	  81.000	  47.790	  42.000	  79.000	AttR1	R	2	49	1	2696
5063	1	47	49.000	  82.000	  84.000	  47.833	  40.000	  82.000	AttR1	R	5	51	1	840
5063	1	48	49.000	  80.000	  81.000	  48.395	  81.000	  41.395	AttR2	R	3	50	1	536
5063	1	49	95.000	  39.684	  80.000	  47.125	  58.000	  65.000	ComD1	R	4	49	3	1036
5063	1	50	50.690	  71.000	  49.690	  62.970	  52.690	  58.835	Fill4	R	5	51	1	932
5063	1	51	76.000	  48.158	  75.000	  42.493	  77.000	  41.351	Fill2	R	2	49	1	2010
5063	1	52	49.000	  79.000	  81.000	  47.790	  81.000	  39.790	AttR2	R	5	49	2	1332
5063	1	53	80.000	  47.125	  58.000	  65.000	  44.353	  85.000	ComD2	R	4	49	3	5811
5063	1	54	48.325	  77.000	  61.000	  61.000	  45.325	  82.097	SimA1	R	5	49	2	3334
5063	1	55	75.000	  45.627	  73.000	  41.288	  77.000	  38.325	Fill2	R	3	50	1	2314
5063	1	56	47.685	  73.000	  59.000	  59.000	  43.685	  79.684	SimA1	R	1	50	2	1328
5063	1	57	50.000	  80.000	  78.000	  51.282	  43.000	  80.000	AttR1	R	3	50	1	2413
5063	1	58	98.000	  39.796	  82.000	  47.561	  60.000	  65.000	ComD1	R	5	49	2	1624
5063	1	59	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	2283
5063	1	60	47.838	  74.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	51	2	4114
5063	1	61	47.671	  73.000	  60.000	  58.000	  64.444	  54.000	SimA2	R	1	49	1	1775
5063	1	62	47.355	  76.000	  59.000	  61.000	  42.355	  84.972	SimA1	R	5	50	3	1514
5063	1	63	98.000	  37.806	  82.000	  45.183	  57.000	  65.000	ComD1	R	3	49	2	992
5063	1	64	49.714	  70.000	  47.714	  63.419	  50.714	  60.042	Fill4	R	3	50	1	12170
5063	1	65	78.000	  46.897	  76.000	  42.000	  80.000	  39.587	Fill2	R	4	50	1	868
5063	1	66	48.886	  70.000	  47.886	  62.628	  49.886	  60.037	Fill4	R	5	51	1	4549
5063	1	67	39.120	  92.000	  38.120	  80.169	  41.120	  74.539	Fill5	R	6	51	1	2755
5063	1	68	81.000	  46.543	  58.000	  65.000	  43.837	  86.000	ComD2	R	1	50	2	1144
5063	1	69	75.000	  47.987	  72.000	  44.319	  77.000	  41.208	Fill2	R	2	49	1	1101
