username: S95, Experiment time (minutes): 26
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 13,0,0,206

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
907	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	50	1	2807
907	0	2	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	4	50	1	2736
907	0	3	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	3	50	1	2006
907	1	1	47.838	  74.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	51	2	1644
907	1	2	50.000	  80.000	  78.000	  51.282	  43.000	  80.000	AttR1	R	5	49	2	946
907	1	3	59.000	  61.000	  57.000	  55.509	  60.000	  52.300	Fill3	R	5	51	1	1549
907	1	4	47.685	  73.000	  59.000	  59.000	  43.685	  79.684	SimA1	R	1	50	2	1931
907	1	5	47.838	  74.000	  59.000	  60.000	  43.838	  80.752	SimA1	R	2	49	1	2105
907	1	6	82.000	  45.183	  57.000	  65.000	  43.081	  86.000	ComD2	R	3	50	1	1647
907	1	7	53.000	  80.000	  81.000	  52.346	  45.000	  80.000	AttR1	R	1	49	1	3439
907	1	8	47.671	  73.000	  60.000	  58.000	  43.671	  79.686	SimA1	R	5	50	3	1190
907	1	9	80.000	  47.125	  58.000	  65.000	  44.353	  85.000	ComD2	R	5	51	1	1761
907	1	10	49.000	  82.000	  84.000	  47.833	  40.000	  82.000	AttR1	R	5	49	2	1272
907	1	11	78.000	  46.897	  76.000	  42.000	  80.000	  39.587	Fill2	R	2	49	1	871
907	1	12	79.000	  46.177	  57.000	  64.000	  43.429	  84.000	ComD2	R	4	50	1	958
907	1	13	39.120	  92.000	  38.120	  80.169	  41.120	  74.539	Fill5	R	2	49	1	773
907	1	14	92.000	  37.826	  91.000	  33.055	  93.000	  32.376	Fill1	R	5	51	1	734
907	1	15	97.000	  38.866	  81.000	  46.543	  58.000	  65.000	ComD1	R	4	49	3	829
907	1	16	49.714	  70.000	  47.714	  63.419	  50.714	  60.042	Fill4	R	6	51	1	966
907	1	17	52.000	  76.000	  74.000	  53.405	  74.000	  44.405	AttR2	R	2	49	1	897
907	1	18	51.240	  75.000	  63.000	  61.000	  66.259	  58.000	SimA2	R	2	50	3	721
907	1	19	50.000	  80.000	  80.000	  50.000	  80.000	  42.000	AttR2	R	2	49	1	837
907	1	20	46.000	  80.000	  81.000	  45.432	  39.000	  80.000	AttR1	R	5	51	1	1454
907	1	21	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	1	49	1	1254
907	1	22	82.000	  47.561	  60.000	  65.000	  44.318	  88.000	ComD2	R	4	51	2	886
907	1	23	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	1	50	2	814
907	1	24	83.000	  46.120	  58.000	  66.000	  45.035	  85.000	ComD2	R	2	51	2	1577
907	1	25	52.000	  79.000	  77.000	  53.351	  43.000	  79.000	AttR1	R	5	49	2	1172
907	1	26	82.000	  45.976	  58.000	  65.000	  43.837	  86.000	ComD2	R	2	51	2	1022
907	1	27	46.000	  80.000	  81.000	  45.432	  81.000	  38.432	AttR2	R	3	50	1	737
907	1	28	75.000	  46.400	  74.000	  40.986	  76.000	  40.487	Fill2	R	1	49	1	939
907	1	29	98.000	  37.806	  82.000	  45.183	  57.000	  65.000	ComD1	R	2	50	3	717
907	1	30	61.000	  60.000	  59.000	  54.915	  62.000	  52.242	Fill3	R	4	50	1	1401
907	1	31	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	R	3	49	2	620
907	1	32	49.000	  80.000	  81.000	  48.395	  81.000	  41.395	AttR2	R	5	51	1	567
907	1	33	73.000	  49.301	  70.000	  45.086	  76.000	  41.697	Fill2	R	4	50	1	450
907	1	34	49.000	  82.000	  84.000	  47.833	  84.000	  40.833	AttR2	R	2	51	2	833
907	1	35	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	2	49	1	665
907	1	36	45.627	  75.000	  58.000	  59.000	  42.627	  80.278	SimA1	R	2	50	3	666
907	1	37	50.833	  72.000	  48.833	  64.853	  51.833	  62.045	Fill4	R	2	49	1	690
