Sub,TrType,Trial,A1,A2,B1,B2,Decoy1,Decoy2,resp,choice,RT
2,AttR1,3,3.5,6.5,6.6,3.4,2.9,6.5,2,2,70.7
2,AttF1,4,3.5,6.4,6.7,3.2,3.5,5.7,3,2,48.404
2,AttRF2,6,3.6,6.6,6.9,3.3,6.3,2.8,1,2,49.619
2,AttR1,7,3.3,6.6,6.4,3.5,2.7,6.6,3,3,42.572
2,AttF1,8,3.5,6.6,6.7,3.4,3.5,6.0,1,3,36.412
2,AttR2,10,3.2,6.8,6.5,3.5,6.5,3.0,2,3,35.813
2,AttR1,11,3.5,6.6,6.9,3.2,3.1,6.6,1,2,42.686
2,AttR1,15,3.2,6.8,6.5,3.5,2.8,6.8,3,1,22.149
2,AttRF2,16,3.4,6.8,6.9,3.3,6.2,2.8,1,2,52.012
2,AttRF2,18,3.5,6.6,6.7,3.4,6.1,2.7,3,1,37.932
2,AttRF1,20,3.2,6.6,6.3,3.5,2.6,6.2,3,1,21.221
2,AttR1,21,3.1,6.8,6.5,3.4,2.5,6.8,1,3,25.436
2,AttRF1,22,3.3,6.8,6.5,3.6,2.9,6.1,2,1,30.309
2,AttRF1,23,3.4,6.5,6.7,3.2,3.0,6.1,3,1,9.852
2,AttR2,25,3.4,6.5,6.7,3.2,6.7,2.6,1,2,19.802
2,AttR2,26,3.3,6.6,6.4,3.5,6.4,2.9,1,1,12.979
2,AttF2,28,3.4,6.6,6.7,3.3,6.1,3.3,1,3,28.011
2,AttRF1,29,3.3,6.8,6.5,3.6,2.9,6.1,2,1,28.153
2,AttRF2,30,3.3,6.6,6.4,3.5,5.8,2.9,1,1,8.155
2,AttR2,32,3.4,6.6,6.7,3.3,6.7,2.6,1,2,16.826
2,AttRF1,35,3.0,6.9,6.8,3.1,2.4,6.3,1,2,22.394
2,AttR2,40,3.5,6.6,6.9,3.2,6.9,2.7,1,2,25.466
2,AttR2,42,3.6,6.6,6.9,3.3,6.9,2.6,1,2,27.683
2,AttRF1,44,3.5,6.4,6.7,3.2,2.9,5.9,1,2,9.94
2,AttF2,48,3.3,6.6,6.4,3.5,5.8,3.5,1,2,10.473
2,AttRF2,52,3.5,6.6,6.5,3.6,6.0,3.2,3,2,12.538
2,AttR2,53,3.3,6.8,6.5,3.6,6.5,3.1,2,1,22.738
2,AttR1,54,3.5,6.6,6.7,3.4,3.0,6.6,2,1,11.378
2,AttF1,58,3.5,6.6,6.5,3.6,3.5,6.2,2,2,17.434
2,AttR2,64,3.5,6.5,6.6,3.4,6.6,3.0,3,1,0.874
2,AttRF2,66,3.2,6.8,6.5,3.5,5.8,2.9,1,2,4.219
2,AttRF1,67,3.4,6.8,6.9,3.3,2.8,6.2,2,2,4.794
2,AttRF1,68,3.5,6.6,6.9,3.2,2.8,5.9,3,2,4.793
2,AttF1,69,3.5,6.4,6.5,3.4,3.5,5.9,3,2,4.651
2,AttF2,71,3.5,6.4,6.7,3.2,6.3,3.2,1,2,3.676
2,AttF1,74,3.5,6.7,6.6,3.6,3.5,6.2,2,1,4.817
2,AttF1,77,3.1,6.8,6.5,3.4,3.1,6.1,3,1,2.898
2,AttR2,78,3.2,6.6,6.3,3.5,6.3,3.1,2,1,2.938
2,AttF1,81,3.4,6.6,6.7,3.3,3.4,6.1,3,2,3.066
2,AttR1,83,3.4,6.6,6.7,3.3,2.9,6.6,3,2,3.192
2,AttRF2,85,3.5,6.5,6.6,3.4,6.2,3.0,3,2,3.131
2,AttRF1,86,3.5,6.7,6.6,3.6,2.9,6.1,1,1,2.379
2,AttF1,90,3.2,6.8,6.5,3.5,3.2,6.2,1,1,2.258
2,AttR2,91,3.1,6.8,6.5,3.4,6.5,2.9,2,1,2.603
2,AttF2,92,3.5,6.7,6.6,3.6,6.1,3.6,2,1,3.603
2,AttR2,93,3.0,6.9,6.8,3.1,6.8,2.5,2,1,2.218
2,AttRF1,94,3.5,6.5,6.6,3.4,3.0,5.8,2,2,3.658
2,AttRF2,97,3.5,6.4,6.5,3.4,5.9,3.0,2,3,4.385
2,AttR1,98,3.5,6.7,6.6,3.6,3.1,6.7,1,1,6.259
2,AttR2,99,3.5,6.6,6.7,3.4,6.7,3.0,1,2,5.003
2,AttRF1,100,3.5,6.4,6.5,3.4,3.0,5.9,2,2,3.633
2,AttF2,102,3.3,6.8,6.5,3.6,5.9,3.6,1,1,4.529
2,AttRF1,105,3.5,6.6,6.7,3.4,3.1,6.2,3,2,4.042
2,AttF1,106,3.5,6.6,6.9,3.2,3.5,6.2,2,2,2.61
2,AttRF2,107,3.3,6.6,6.4,3.5,5.9,2.8,2,1,3.545
2,AttF2,109,3.4,6.5,6.7,3.2,6.2,3.2,2,2,3.881
2,AttR1,113,3.4,6.8,6.9,3.3,2.9,6.8,2,2,3.61
2,AttR2,115,3.5,6.4,6.7,3.2,6.7,2.6,1,2,5.73
2,AttRF1,116,3.6,6.6,6.9,3.3,3.0,6.1,3,2,3.091
2,AttR2,117,3.3,6.6,6.4,3.5,6.4,2.8,3,1,2.953
2,AttR2,119,3.3,6.8,6.5,3.6,6.5,2.9,1,1,3.583
2,AttR1,121,3.5,6.6,6.5,3.6,2.9,6.6,3,1,2.707
2,AttR1,122,3.2,6.9,6.6,3.5,2.6,6.9,3,1,6.182
2,AttF2,124,3.4,6.8,6.9,3.3,6.3,3.3,2,1,2.522
2,AttF1,125,3.4,6.5,6.7,3.2,3.4,6.1,3,2,4.139
2,AttF1,126,3.4,6.8,6.9,3.3,3.4,6.1,1,1,2.898
2,AttR1,127,3.3,6.8,6.5,3.6,2.8,6.8,2,1,6.186
2,AttRF2,128,3.4,6.5,6.7,3.2,6.2,2.8,1,2,2.513
2,AttF1,129,3.2,6.9,6.6,3.5,3.2,6.3,3,1,1.979
2,AttF2,131,3.5,6.6,6.9,3.2,6.4,3.2,1,1,2.946
2,AttF2,132,3.0,6.9,6.8,3.1,6.4,3.1,3,1,2.641
2,AttF2,133,3.6,6.6,6.9,3.3,6.3,3.3,2,2,2.272
2,AttF2,136,3.2,6.8,6.5,3.5,6.1,3.5,3,2,4.162
2,AttR2,138,3.5,6.4,6.5,3.4,6.5,2.7,1,2,7.93
2,AttF2,140,3.3,6.8,6.5,3.6,5.9,3.6,2,1,3.443
2,AttF1,141,3.3,6.8,6.5,3.6,3.3,6.4,1,1,2.185
2,AttR1,142,3.4,6.5,6.7,3.2,2.8,6.5,1,2,2.786
2,AttF2,143,3.1,6.8,6.5,3.4,5.8,3.4,2,1,3.403
2,AttF1,145,3.5,6.5,6.6,3.4,3.5,5.9,2,2,1.868
2,AttRF1,147,3.2,6.9,6.6,3.5,2.7,6.4,1,1,5.251
2,AttF2,149,3.5,6.6,6.7,3.4,6.0,3.4,2,1,3.881
2,AttF2,150,3.5,6.5,6.6,3.4,6.0,3.4,3,2,2.867
2,AttF2,152,3.5,6.6,6.5,3.6,5.9,3.6,1,1,10.306
2,AttF1,155,3.0,6.9,6.8,3.1,3.0,6.5,3,1,8.004
2,AttF2,156,3.3,6.6,6.4,3.5,5.8,3.5,2,1,3.465
2,AttRF2,158,3.0,6.9,6.8,3.1,6.2,2.5,1,2,4.699
2,AttR2,161,3.4,6.8,6.9,3.3,6.9,2.7,3,2,3.282
2,AttR1,165,3.5,6.4,6.5,3.4,3.1,6.4,3,2,4.113
2,AttF1,166,3.2,6.6,6.3,3.5,3.2,6.1,3,1,1.987
2,AttR2,167,3.5,6.6,6.5,3.6,6.5,3.0,2,1,2.089
2,AttF1,169,3.6,6.6,6.9,3.3,3.6,5.9,1,2,1.505
2,AttRF1,170,3.4,6.6,6.7,3.3,2.9,6.0,1,2,1.235
2,AttF2,173,3.2,6.9,6.6,3.5,6.1,3.5,2,1,4.322
2,AttRF1,174,3.3,6.6,6.4,3.5,2.7,6.1,1,1,3.666
2,AttR1,179,3.3,6.6,6.4,3.5,2.9,6.6,1,1,8.882
2,AttRF2,180,3.4,6.6,6.7,3.3,6.2,2.7,1,1,3.594
2,AttRF1,182,3.3,6.6,6.4,3.5,2.7,5.9,2,1,4.888
2,AttRF2,183,3.5,6.4,6.7,3.2,6.1,2.7,3,2,15.386
2,AttR2,185,3.5,6.7,6.6,3.6,6.6,2.9,1,1,2.866
2,AttR2,188,3.2,6.9,6.6,3.5,6.6,3.1,1,1,4.388
2,AttF1,191,3.3,6.6,6.4,3.5,3.3,6.1,2,1,2.715
2,AttRF1,193,3.5,6.6,6.5,3.6,3.0,5.9,1,1,2.129
2,AttF2,198,3.5,6.4,6.5,3.4,5.8,3.4,1,2,2.019
2,AttR1,199,3.5,6.4,6.7,3.2,2.8,6.4,3,2,2.708
2,AttF2,204,3.2,6.6,6.3,3.5,5.7,3.5,2,1,3.065
2,AttRF2,207,3.5,6.7,6.6,3.6,6.0,3.2,2,1,3.385
2,AttRF2,210,3.2,6.9,6.6,3.5,6.1,3.1,2,3,2.481
2,AttF1,211,3.3,6.8,6.5,3.6,3.3,6.4,2,1,2.122
2,AttRF1,212,3.2,6.8,6.5,3.5,2.5,6.4,1,1,2.62
2,AttR1,213,3.2,6.6,6.3,3.5,2.7,6.6,2,1,4.617
2,AttF1,217,3.3,6.6,6.4,3.5,3.3,6.2,2,1,2.618
2,AttRF2,221,3.1,6.8,6.5,3.4,5.9,2.8,2,1,2.948
2,AttR1,223,3.3,6.8,6.5,3.6,2.8,6.8,3,1,4.443
2,AttRF2,228,3.3,6.8,6.5,3.6,5.8,2.9,2,1,2.114
2,AttRF2,232,3.5,6.6,6.9,3.2,6.2,2.7,3,2,2.89
2,AttRF2,236,3.3,6.8,6.5,3.6,5.8,3.1,3,1,3.484
2,AttR1,237,3.6,6.6,6.9,3.3,3.2,6.6,3,2,2.465
2,AttRF2,238,3.2,6.6,6.3,3.5,5.8,2.9,1,1,3.091
2,AttR1,239,3.0,6.9,6.8,3.1,2.6,6.9,1,1,3.658
2,AttRF1,240,3.1,6.8,6.5,3.4,2.4,6.2,2,1,4.17
3,AttF1,1,3.5,6.6,6.7,3.4,3.5,6.0,2,1,18.934
3,AttR2,2,3.5,6.4,6.5,3.4,6.5,2.7,1,1,12.979
3,AttRF2,4,3.5,6.6,6.5,3.6,6.0,3.2,1,1,9.427
3,AttF2,6,3.5,6.4,6.7,3.2,6.3,3.2,2,2,11.667
3,AttR2,7,3.3,6.8,6.5,3.6,6.5,3.1,3,2,3.044
3,AttR1,9,3.6,6.6,6.9,3.3,3.2,6.6,1,2,1.746
3,AttF1,11,3.2,6.6,6.3,3.5,3.2,6.1,1,2,2.898
3,AttR2,17,3.3,6.8,6.5,3.6,6.5,2.9,2,2,2.771
3,AttR2,22,3.3,6.6,6.4,3.5,6.4,2.8,2,1,1.138
3,AttRF2,23,3.2,6.8,6.5,3.5,5.8,2.9,3,2,2.793
3,AttRF2,25,3.4,6.5,6.7,3.2,6.2,2.8,1,2,5.518
3,AttF1,26,3.6,6.6,6.9,3.3,3.6,5.9,3,1,1.263
3,AttRF1,30,3.2,6.9,6.6,3.5,2.7,6.4,2,2,1.968
3,AttRF2,31,3.3,6.8,6.5,3.6,5.8,3.1,3,2,2.273
3,AttF1,32,3.5,6.4,6.7,3.2,3.5,5.7,2,2,2.125
