Participant: 22
MachineID: BL-POLS-IELbC22
Start Time: Mon, Sep 19, 2011 14:38:28
Seed: 69295
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
22	Fill3	1	51	57	50	53	52	44	3	1	27159
22	Fill3	2	55	52	53	50	57	36	2	1	12084
22	Fill3	3	53	56	50	56	44	59	2	1	6956
22	Fill1	4	76	37	74	34	77	22	2	1	16805
22	Fill2	5	66	47	64	45	69	30	2	1	19548
22	Fill3	6	56	55	53	55	59	38	1	1	9229
22	AttRF1	7	35	66	69	32	28	59	3	1	12561
22	Fill3	8	53	54	52	51	45	55	3	1	6764
22	AttRF2	9	35	66	69	32	62	27	1	1	9684
22	Fill5	10	36	75	33	75	27	78	1	1	7556
22	AttR1	11	33	66	64	35	29	66	1	2	6676
22	AttR2	12	34	66	67	33	67	26	2	1	7046
22	AttRF2	13	35	64	65	34	59	30	1	2	9778
22	AttR1	14	35	66	69	32	31	66	3	1	6509
22	AttRF1	15	31	68	65	34	24	62	3	2	7477
22	Fill4	16	44	63	42	61	36	65	1	1	7284
22	AttRF2	17	30	69	68	31	62	25	1	2	10811
22	AttF2	18	30	69	68	31	64	31	1	2	10407
22	Fill5	19	34	75	33	72	35	62	2	1	5106
22	AttRF2	20	32	69	66	35	61	31	3	2	9269
22	AttF1	21	30	69	68	31	30	65	3	2	5356
22	Fill4	22	46	65	43	63	49	47	1	1	6045
22	Fill5	23	36	74	34	72	25	77	3	1	6469
22	AttF1	24	31	68	65	34	31	61	1	2	6093
22	AttF2	25	35	65	66	34	60	34	2	1	6473
22	AttR1	26	35	64	67	32	28	64	3	1	5627
22	Fill4	27	48	66	45	65	50	51	1	3	5154
22	Fill2	28	64	46	62	43	65	33	3	1	3930
22	Fill4	29	43	70	42	67	45	54	2	1	7067
22	Fill3	30	55	54	54	52	46	57	3	1	7290
22	Fill4	31	44	65	43	62	34	68	3	1	7994
22	Fill2	32	65	48	64	44	68	33	3	1	7801
22	Fill1	33	76	34	73	32	69	35	2	1	3779
22	AttF2	34	31	68	65	34	58	34	1	2	3945
22	AttRF2	35	31	68	65	34	59	28	2	2	4082
22	Fill5	36	35	74	34	70	27	75	1	1	4209
22	Fill3	37	55	56	53	55	57	40	2	1	9116
22	Fill4	38	45	65	42	65	35	67	3	1	7817
22	AttRF1	39	32	68	65	35	25	64	2	2	9034
22	Fill2	40	68	43	65	42	70	26	1	1	3843
22	Fill5	41	34	79	31	78	35	66	3	1	6203
22	AttF2	42	35	66	69	32	64	32	3	1	8960
22	AttR1	43	34	65	67	32	28	65	1	1	6587
22	Fill2	44	66	44	65	42	57	47	2	1	10632
22	AttR2	45	35	64	67	32	67	26	1	1	8266
22	Fill3	46	54	55	51	53	56	40	1	1	13946
22	Fill5	47	33	74	31	71	26	75	1	1	5266
22	AttRF1	48	34	68	69	33	28	62	1	1	5219
22	AttR1	49	33	68	65	36	28	68	3	2	4555
22	AttRF2	50	32	66	63	35	58	29	2	2	7385
22	AttRF2	51	35	64	67	32	61	27	3	1	5634
22	AttF1	52	33	66	64	35	33	62	2	2	8553
22	Fill2	53	63	44	60	42	53	46	2	1	6787
22	Fill3	54	55	54	53	52	45	57	2	1	7139
22	Fill1	55	76	34	75	30	79	16	3	1	4465
22	Fill2	56	65	46	64	44	66	30	1	1	6082
22	AttF2	57	35	64	65	34	58	34	1	2	10980
22	AttR2	58	35	66	65	36	65	30	2	2	5882
22	AttRF2	59	33	66	64	35	59	28	2	2	5545
22	AttF1	60	35	64	65	34	35	59	3	1	5010
22	AttR1	61	34	68	69	33	29	68	3	1	3465
22	Fill1	62	75	35	72	35	66	37	3	1	8702
22	AttRF2	63	34	68	69	33	62	28	1	1	5634
22	AttRF1	64	35	66	67	34	31	62	1	1	6186
22	Fill3	65	56	54	55	52	47	56	2	1	5425
22	AttF2	66	33	68	65	36	59	36	1	2	8152
22	Fill3	67	57	56	55	55	59	40	3	1	6674
22	Fill1	68	74	35	73	32	66	36	1	1	6419
22	Fill5	69	33	76	32	72	23	78	2	1	6859
22	Fill4	70	44	65	41	64	46	49	2	1	10593
22	Fill1	71	73	36	70	35	65	38	3	1	10257
22	AttRF1	72	35	64	65	34	30	59	1	1	7675
22	AttF1	73	35	67	66	36	35	62	3	2	9827
22	Fill1	74	74	39	72	37	75	24	3	1	7217
22	AttF2	75	33	66	64	35	58	35	3	2	8939
22	AttR2	76	34	65	67	32	67	26	3	1	4586
22	AttRF1	77	35	67	66	36	29	61	2	2	4065
22	AttRF1	78	32	66	63	35	26	62	2	2	7722
22	AttR2	79	34	68	69	33	69	27	1	1	8546
22	AttR1	80	31	68	65	34	25	68	1	2	6362
22	Fill5	81	37	74	34	73	39	60	2	1	6730
22	AttR1	82	35	66	65	36	29	66	2	2	7955
22	AttRF2	83	32	68	65	35	58	29	2	2	9419
22	Fill5	84	33	74	31	72	24	75	1	1	5041
22	AttRF1	85	32	69	66	35	27	64	3	2	5683
22	Fill2	86	64	43	62	40	66	29	1	1	6370
22	Fill2	87	65	46	63	43	56	47	1	1	5612
22	AttR2	88	30	69	68	31	68	25	2	2	4012
22	Fill5	89	35	72	32	71	27	73	1	1	4513
22	AttR2	90	36	66	69	33	69	26	2	1	7912
22	AttF2	91	34	68	69	33	63	33	3	1	6563
22	Fill5	92	36	76	33	74	28	78	3	1	5378
22	AttF2	93	36	66	69	33	63	33	2	1	6179
22	AttF2	94	32	66	63	35	57	35	1	2	5522
22	Fill2	95	61	47	58	47	64	32	2	1	7722
22	Fill3	96	57	54	56	52	60	39	3	1	9298
22	AttF1	97	35	65	66	34	35	59	1	1	8145
22	Fill3	98	54	53	53	51	45	56	3	1	7236
22	Fill3	99	56	51	53	50	47	52	2	1	20577
22	Fill1	100	72	35	71	31	62	38	2	1	5314
22	AttR1	101	32	66	63	35	27	66	3	2	12307
22	Fill3	102	55	54	54	52	57	38	2	1	3722
22	Fill1	103	76	33	73	31	79	17	1	1	4146
22	AttF1	104	32	68	65	35	32	62	3	2	3771
22	Fill3	105	55	55	53	53	48	56	3	1	4089
22	AttF1	106	35	66	67	34	35	60	2	1	31435
22	Fill5	107	34	75	31	73	25	78	1	1	14122
22	AttF2	108	34	66	67	33	61	33	1	1	6987
22	AttF1	109	33	68	65	36	33	64	3	1	10098
22	AttRF1	110	35	64	67	32	29	59	2	1	12882
22	Fill4	111	45	67	43	65	35	69	3	1	5313
22	AttF2	112	34	65	67	32	62	32	1	1	3746
