Participant: 49
MachineID: BL-POLS-IELbC15
Start Time: Tue, Sep 20, 2011 12:45:47
Seed: 68627
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
49	Fill2	1	66	43	65	39	57	45	2	3	25240
49	Fill3	2	56	55	53	55	59	38	1	1	10515
49	AttR1	3	31	68	65	34	25	68	1	2	21763
49	AttF2	4	30	69	68	31	64	31	3	2	22785
49	AttRF2	5	33	66	64	35	59	28	2	2	18658
49	Fill4	6	46	65	43	63	49	47	2	1	14933
49	AttR1	7	32	66	63	35	27	66	3	2	17457
49	AttRF2	8	30	69	68	31	62	25	3	2	27300
49	Fill5	9	33	74	31	71	26	75	3	1	22611
49	AttF2	10	33	68	65	36	59	36	2	2	9713
49	Fill5	11	33	74	31	72	24	75	3	1	9459
49	AttF1	12	35	66	65	36	35	62	2	2	10547
49	Fill2	13	63	46	60	45	66	30	1	1	12851
49	Fill5	14	36	73	34	71	37	59	3	1	12435
49	Fill3	15	55	54	54	52	57	38	2	1	20530
49	Fill3	16	57	54	56	52	60	39	3	1	9092
49	AttR1	17	33	68	65	36	28	68	1	2	11107
49	AttF1	18	33	68	65	36	33	64	1	2	12706
49	Fill1	19	74	33	71	31	77	15	1	1	7428
49	AttF2	20	33	68	65	36	59	36	3	2	9378
49	AttF1	21	35	64	65	34	35	59	2	1	12338
49	AttRF1	22	35	66	65	36	30	59	3	1	14864
49	AttF1	23	35	66	67	34	35	60	3	1	5668
49	Fill4	24	47	64	45	61	49	49	1	1	10817
49	Fill1	25	76	36	73	34	66	38	2	1	18371
49	AttR1	26	35	65	66	34	29	65	3	1	9647
49	AttRF1	27	35	67	66	36	29	61	1	2	14767
49	AttR2	28	35	64	65	34	65	27	1	1	8206
49	Fill3	29	55	54	54	52	46	57	3	1	8511
49	Fill1	30	74	37	71	36	75	24	1	1	9647
49	AttRF1	31	35	66	67	34	31	62	1	1	9250
49	Fill3	32	53	54	52	51	45	55	3	1	9648
49	AttF2	33	36	66	69	33	63	33	1	1	8243
49	AttF2	34	32	69	66	35	61	35	1	2	8350
49	Fill4	35	48	66	45	65	50	51	3	1	13440
49	AttR1	36	34	66	67	33	29	66	3	2	5183
49	AttR1	37	35	66	69	32	31	66	2	2	6830
49	Fill5	38	36	76	33	74	28	78	3	1	10910
49	Fill1	39	75	37	73	34	68	38	1	1	11728
49	Fill3	40	54	59	52	57	57	42	3	1	6817
49	Fill1	41	76	37	74	34	77	22	3	1	11585
49	AttR1	42	33	68	65	36	28	68	1	2	8097
49	AttR1	43	32	69	66	35	26	69	1	2	6689
49	Fill1	44	75	34	73	32	77	18	3	1	9169
49	AttR2	45	35	65	66	34	66	30	3	1	4909
49	Fill2	46	65	46	64	44	66	30	3	1	11474
49	Fill3	47	56	56	55	52	46	58	3	1	12286
49	AttF2	48	34	65	67	32	62	32	2	1	11407
49	AttRF2	49	35	64	65	34	59	30	1	1	8768
49	AttF2	50	35	66	65	36	59	36	2	1	5531
49	Fill4	51	43	70	42	67	45	54	2	1	9488
49	Fill5	52	35	74	34	70	27	75	2	1	7726
49	AttRF1	53	32	66	63	35	26	62	1	1	9343
49	AttF1	54	34	65	67	32	34	61	1	1	19073
49	AttRF2	55	35	66	67	34	61	27	2	1	11713
49	AttRF2	56	36	66	69	33	63	28	1	1	9232
49	AttRF1	57	33	68	65	36	29	61	3	2	17457
49	AttRF1	58	32	68	65	35	25	64	3	2	12542
49	AttRF2	59	35	65	66	34	62	30	3	1	17375
49	Fill5	60	37	75	36	73	40	58	2	1	7633
49	AttR2	61	35	67	66	36	66	29	1	2	7312
49	Fill1	62	75	36	73	33	78	19	3	1	12247
49	AttR2	63	33	68	65	36	65	31	2	2	7777
49	Fill4	64	47	63	44	62	38	64	2	1	6414
49	Fill4	65	44	65	42	64	46	49	3	1	8770
49	Fill4	66	46	61	43	59	48	45	3	1	9455
49	Fill3	67	54	53	53	51	45	56	1	1	6162
49	Fill1	68	74	33	71	33	64	35	1	1	6847
49	AttRF2	69	35	66	69	32	62	27	1	1	8512
49	Fill4	70	43	64	40	64	35	66	3	1	8511
49	AttRF2	71	34	66	67	33	62	27	2	1	9039
49	AttF1	72	33	66	64	35	33	62	3	2	7249
49	AttR1	73	35	66	65	36	29	66	1	2	6800
49	Fill1	74	76	33	73	31	79	17	3	1	9503
49	AttR1	75	35	64	67	32	28	64	3	1	5279
49	Fill4	76	44	65	41	64	46	49	2	1	9775
49	AttRF1	77	36	66	69	33	30	61	3	1	17410
49	Fill3	78	56	54	55	52	47	56	3	1	6578
49	Fill4	79	47	64	44	62	38	66	2	1	11630
49	AttR2	80	32	66	63	35	63	31	2	2	4163
49	Fill5	81	33	76	32	72	23	78	1	1	11918
