Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
2,Com2,1,6.6,4.5,5.6,5.5,4.5,6.6,2,2,16.629
2,Com2,3,6.4,4.7,5.5,5.6,4.6,6.5,2,2,17.297
2,Com3,4,5.7,5.5,4.7,6.5,3.8,7.4,3,1,9.252
2,Com3,9,5.4,5.6,4.3,6.7,3.4,7.6,1,1,6.532
2,Com1,10,7.4,3.8,6.6,4.6,5.5,5.7,2,1,7.04
2,Com3,12,5.4,5.4,4.5,6.3,3.3,7.5,2,2,4.532
2,Com1,14,7.7,3.5,6.6,4.6,5.7,5.5,1,3,4.995
2,Com3,16,5.4,5.6,4.5,6.5,3.4,7.6,3,2,6.112
2,Com1,19,7.6,3.4,6.6,4.4,5.6,5.4,1,3,5.01
2,Com2,22,6.7,4.4,5.6,5.5,4.5,6.6,3,3,6.337
2,Com3,23,5.6,5.5,4.5,6.6,3.6,7.5,1,2,6.547
2,Com2,24,6.3,4.6,5.4,5.5,4.4,6.5,2,3,9.602
2,Com2,29,6.6,4.4,5.6,5.4,4.7,6.3,1,1,8.623
2,Com1,33,7.8,3.1,6.8,4.1,5.7,5.2,1,2,9.599
2,Com2,34,6.5,4.5,5.5,5.5,4.5,6.5,2,1,6.08
2,Com3,35,5.5,5.7,4.6,6.6,3.5,7.7,2,1,7.33
2,Com2,37,6.3,4.6,5.4,5.5,4.3,6.6,3,1,8.304
2,Com1,42,7.4,3.6,6.6,4.4,5.5,5.5,2,2,9.006
2,Com3,45,5.6,5.5,4.5,6.6,3.5,7.6,3,1,6.462
2,Com2,53,6.3,4.6,5.4,5.5,4.5,6.4,1,1,9.312
2,Com3,54,5.5,5.5,4.4,6.6,3.5,7.5,3,2,6.543
2,Com1,58,7.5,3.4,6.3,4.6,5.4,5.5,3,2,6.191
2,Com2,64,6.8,4.1,5.7,5.2,4.8,6.1,3,3,11.104
2,Com2,66,6.6,4.2,5.6,5.2,4.5,6.3,2,1,6.434
2,Com3,67,5.6,5.3,4.7,6.2,3.6,7.3,3,2,9.725
2,Com1,68,7.5,3.5,6.5,4.5,5.4,5.6,1,3,10.978
2,Com1,70,7.6,3.3,6.5,4.4,5.6,5.3,3,3,8.479
2,Com2,73,6.6,4.5,5.6,5.5,4.6,6.5,1,1,4.928
2,Com1,76,7.6,3.5,6.4,4.7,5.5,5.6,3,2,4.465
2,Com3,77,5.4,5.4,4.5,6.3,3.4,7.4,3,2,3.518
2,Com2,78,6.4,4.5,5.4,5.5,4.3,6.6,3,1,7.808
2,Com1,81,7.4,3.3,6.4,4.3,5.3,5.4,2,3,8.304
2,Com3,83,5.4,5.4,4.4,6.4,3.3,7.5,3,2,4.287
2,Com1,84,7.6,3.2,6.6,4.2,5.6,5.2,2,2,6.961
2,Com1,86,7.6,3.4,6.5,4.5,5.5,5.5,3,2,2.847
2,Com2,87,6.5,4.4,5.4,5.5,4.4,6.5,3,2,3.072
2,Com2,90,6.5,4.4,5.5,5.4,4.4,6.5,3,1,8.403
2,Com1,91,7.3,3.5,6.4,4.4,5.4,5.4,1,2,6.8
2,Com1,92,7.5,3.3,6.4,4.4,5.4,5.4,1,2,3.137
2,Com3,94,5.6,5.2,4.5,6.3,3.6,7.2,1,1,4.914
2,Com1,97,7.3,3.6,6.3,4.6,5.4,5.5,2,3,4.381
2,Com1,102,7.5,3.4,6.4,4.5,5.4,5.5,3,2,4.497
2,Com2,104,6.5,4.6,5.6,5.5,4.7,6.4,2,1,6.35
2,Com3,105,5.4,5.6,4.3,6.7,3.4,7.6,3,2,7.551
2,Com1,106,7.5,3.5,6.6,4.4,5.6,5.4,1,2,3.664
2,Com1,107,7.4,3.5,6.5,4.4,5.5,5.4,1,3,3.843
2,Com2,108,6.4,4.4,5.4,5.4,4.4,6.4,2,3,4.206
2,Com2,111,6.5,4.3,5.6,5.2,4.5,6.3,2,1,3.807
2,Com1,115,7.6,3.5,6.5,4.6,5.5,5.6,1,2,7.951
2,Com1,116,7.6,3.3,6.5,4.4,5.5,5.4,2,3,2.592
2,Com3,117,5.5,5.5,4.5,6.5,3.4,7.6,3,2,3.344
2,Com3,118,5.7,5.2,4.8,6.1,3.7,7.2,1,1,3.871
2,Com2,119,6.3,4.5,5.4,5.4,4.5,6.3,2,3,3.106
2,Com2,120,6.2,4.9,5.3,5.8,4.2,6.9,1,2,4.883
