Participant: 40
MachineID: BL-POLS-IELbC17
Start Time: Mon, Sep 12, 2011 15:23:09
Seed: 27224
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
40	Fill3	1	54	55	51	53	55	41	2	1	35336
40	Com2	2	62	47	53	56	42	67	2	2	12369
40	Com1	3	76	33	65	44	55	54	2	3	11938
40	Fill2	4	65	43	62	41	67	26	1	1	9074
40	Fill4	5	44	67	41	67	46	51	3	1	11508
40	Fill3	6	53	58	52	54	54	42	3	1	12016
40	Com3	7	55	55	44	66	35	75	1	1	10963
40	Com2	8	63	45	54	54	45	63	2	2	10804
40	Fill5	9	34	75	32	72	35	62	2	1	7569
40	Fill4	10	43	66	40	66	45	50	1	1	17075
40	Fill3	11	54	54	51	54	56	38	3	1	9747
40	Com2	12	66	44	56	54	47	63	2	2	6130
40	Fill5	13	34	75	32	72	35	59	1	1	7619
40	Com1	14	74	37	62	49	53	58	2	2	11154
40	Com2	15	64	44	54	54	45	63	2	2	5219
40	Com3	16	54	55	43	66	33	76	1	1	6338
40	Fill1	17	76	32	75	30	78	15	2	1	11619
40	Fill4	18	43	67	40	66	45	51	3	1	14486
40	Com2	19	65	46	56	55	47	64	2	2	10033
40	Com3	20	55	54	44	65	34	75	1	1	24051
40	Fill2	21	62	43	59	42	65	26	1	1	10835
40	Fill4	22	43	65	41	62	44	51	2	1	10322
40	Fill2	23	63	46	62	43	65	29	3	1	5249
40	Fill5	24	35	73	34	70	38	56	3	1	6355
40	Com2	25	66	44	56	54	47	63	1	2	17808
40	Fill2	26	64	45	62	42	65	32	1	1	15488
40	Com2	27	64	46	54	56	43	67	3	1	19519
40	Com2	28	64	47	55	56	45	66	3	2	3663
40	Com1	29	76	35	65	46	56	55	2	3	4863
40	Com1	30	74	36	66	44	55	55	3	2	3649
40	Fill3	31	55	55	54	51	56	39	1	1	4449
40	Com2	32	67	44	56	55	45	66	2	2	2605
40	Com3	33	57	52	48	61	37	72	1	1	6110
40	Fill3	34	54	56	53	53	57	41	2	1	6257
40	Com3	35	56	52	45	63	35	73	2	1	6226
40	Fill5	36	36	76	35	74	38	61	2	1	5376
40	Com2	37	64	47	55	56	45	66	2	2	10992
40	Fill2	38	65	46	63	44	67	30	3	1	9985
40	Com2	39	65	43	56	52	45	63	1	2	11504
40	Fill2	40	63	46	62	42	66	30	3	1	12206
40	Fill3	41	55	56	54	54	58	39	1	1	15472
40	Fill5	42	33	76	31	74	34	62	1	1	6481
40	Fill4	43	44	67	41	65	45	51	2	1	9646
40	Com2	44	66	45	56	55	46	65	2	2	10337
40	Fill2	45	63	46	62	44	65	31	1	1	8335
40	Fill4	46	46	64	43	63	47	49	2	1	7185
40	Com1	47	78	37	66	49	57	58	3	3	5216
40	Fill1	48	74	35	72	34	76	19	1	1	6414
40	Fill1	49	76	34	75	31	78	18	3	1	4194
40	Fill1	50	76	34	74	32	77	18	1	1	4177
40	Com3	51	51	54	40	65	31	74	1	1	10013
40	Fill2	52	65	46	62	44	67	30	3	1	7364
40	Com1	53	73	35	63	45	54	54	1	3	6368
40	Com3	54	55	56	45	66	35	76	2	1	4239
40	Com2	55	66	45	56	55	45	66	3	2	3376
40	Fill2	56	64	46	62	43	66	32	1	1	7549
40	Com2	57	65	44	55	54	44	65	1	2	7185
40	Com2	58	66	46	55	57	46	66	1	2	22398
40	Com2	59	65	46	55	56	45	66	1	2	10737
40	Fill3	60	53	56	50	56	56	40	1	1	5889
40	Fill1	61	77	32	76	29	80	17	3	1	13970
40	Fill3	62	55	55	54	51	56	41	3	1	7702
40	Fill5	63	36	74	35	72	38	60	3	1	6510
