Participant: 52
MachineID: BL-POLS-IELbC11
Start Time: Wed, Sep 21, 2011 13:17:10
Seed: 91546
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
52	Fill1	1	72	39	71	37	75	21	3	1	63463
52	Fill5	2	37	71	34	70	39	57	1	1	16979
52	Fill1	3	76	32	75	30	78	15	2	1	8947
52	Com1	4	77	31	65	43	56	52	3	3	9490
52	Com2	5	64	43	53	54	44	63	1	2	3651
52	Fill3	6	54	54	51	54	56	38	1	1	3972
52	Fill1	7	72	33	70	32	73	19	3	1	7728
52	Com3	8	55	55	45	65	34	76	3	1	3270
52	Com3	9	57	52	48	61	37	72	1	1	5682
52	Com3	10	53	58	42	69	34	77	2	1	2419
52	Com2	11	62	49	53	58	42	69	1	2	2402
52	Com2	12	66	44	55	55	46	64	2	2	1730
52	Com2	13	64	47	55	56	46	65	1	2	2194
52	Com1	14	77	35	66	46	57	55	3	3	3492
52	Fill5	15	36	74	33	74	38	60	2	1	6948
52	Com3	16	53	54	44	63	34	73	2	1	2577
52	Fill3	17	57	58	55	57	59	41	3	1	2371
52	Fill2	18	66	44	63	42	69	27	2	1	6547
52	Fill1	19	75	36	72	36	76	21	3	1	4996
52	Fill2	20	63	46	62	42	66	30	2	1	4225
52	Com1	21	74	34	63	45	54	54	3	3	2530
52	Fill4	22	43	67	40	66	45	51	2	3	3650
52	Com1	23	75	35	66	44	55	55	2	3	1044
52	Com2	24	63	46	54	55	45	64	3	2	3687
52	Com1	25	76	35	65	46	56	55	1	3	3390
52	Fill3	26	54	54	52	51	56	37	3	1	2335
52	Com1	27	75	34	64	45	54	55	1	3	2766
52	Fill3	28	53	58	52	54	54	42	3	1	6142
52	Fill4	29	45	64	42	62	46	48	2	3	6128
52	Com1	30	74	36	64	46	54	56	1	3	3185
52	Fill3	31	54	55	51	53	55	41	2	1	2831
52	Com2	32	65	46	55	56	45	66	2	2	2335
52	Com2	33	65	45	54	56	45	65	2	2	2238
52	Com3	34	54	56	43	67	34	76	3	1	2833
52	Com1	35	74	38	66	46	55	57	3	3	2463
