Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,response,choice,RT
2,SimA1,1,3.4,7.5,5.4,5.5,3.2,7.7,1,2,43.047
2,SimA2,2,3.4,7.5,5.5,5.4,5.7,5.2,1,2,32.131
2,SimA1,4,3.4,7.6,5.5,5.5,3.3,7.7,3,1,23.745
2,SimA1,6,3.6,7.4,5.5,5.5,3.5,7.5,3,2,20.019
2,SimB2,8,7.6,3.5,5.5,5.6,5.3,5.8,2,1,22.177
2,SimB1,10,7.6,3.4,5.5,5.5,7.7,3.3,2,2,12.161
2,SimB1,11,7.5,3.4,5.5,5.4,7.6,3.3,3,3,9.14
2,SimA1,14,3.7,7.3,5.6,5.4,3.5,7.5,3,2,12.227
2,SimA1,19,3.5,7.5,5.4,5.6,3.3,7.7,3,2,17.859
2,SimB2,20,7.6,3.5,5.5,5.6,5.4,5.7,2,2,20.035
2,SimB1,24,7.5,3.4,5.5,5.4,7.7,3.2,3,1,15.666
2,SimB1,27,7.7,3.5,5.6,5.6,7.9,3.3,2,1,18.191
2,SimB1,28,7.6,3.6,5.6,5.6,7.7,3.5,3,1,19.632
2,SimB2,31,7.6,3.6,5.7,5.5,5.6,5.6,2,3,17.326
2,SimB1,33,7.4,3.5,5.5,5.4,7.5,3.4,2,2,10.529
2,SimB1,34,7.6,3.6,5.6,5.6,7.8,3.4,3,2,10.927
2,SimA1,36,3.4,7.5,5.5,5.4,3.2,7.7,3,2,11.939
2,SimA1,37,3.6,7.3,5.5,5.4,3.4,7.5,3,2,7.872
2,SimB1,38,7.4,3.6,5.5,5.5,7.6,3.4,2,2,6.606
2,SimB1,39,7.5,3.3,5.4,5.4,7.6,3.2,1,2,10.991
2,SimA1,42,3.5,7.5,5.5,5.5,3.3,7.7,1,2,4.144
2,SimA1,43,3.4,7.6,5.5,5.5,3.2,7.8,3,2,6.318
2,SimA1,44,3.4,7.5,5.4,5.5,3.3,7.6,1,2,4.063
2,SimA2,45,3.7,7.5,5.6,5.6,5.7,5.5,1,2,10.495
2,SimA2,48,3.5,7.5,5.5,5.5,5.6,5.4,2,2,5.696
2,SimB2,49,7.4,3.6,5.5,5.5,5.4,5.6,2,2,5.759
2,SimB1,52,7.4,3.6,5.4,5.6,7.6,3.4,3,2,8.831
2,SimA1,53,3.5,7.5,5.5,5.5,3.3,7.7,2,2,4.273
2,SimA1,54,3.6,7.3,5.5,5.4,3.4,7.5,3,2,5.487
2,SimA2,56,3.5,7.5,5.4,5.6,5.5,5.5,2,3,8.817
2,SimB1,60,7.5,3.6,5.5,5.6,7.6,3.5,2,2,11.327
2,SimB1,66,7.3,3.7,5.4,5.6,7.5,3.5,1,3,8.754
2,SimB2,67,7.6,3.4,5.5,5.5,5.4,5.6,2,2,3.315
2,SimA1,69,3.6,7.3,5.5,5.4,3.4,7.5,3,2,3.072
2,SimA2,75,3.4,7.5,5.4,5.5,5.6,5.3,1,2,4.927
2,SimB1,76,7.4,3.5,5.4,5.5,7.5,3.4,1,2,4.078
