Participant: 16
MachineID: BL-POLS-IELbC18
Start Time: Thu, Sep 29, 2011 12:15:00
Seed: 72965
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
16	SimB1	1	74	36	54	56	75	35	2	2	94342
16	Fill2	2	65	44	62	42	58	45	3	3	15682
16	Fill3	3	55	53	54	49	45	56	2	2	9090
16	SimA2	4	35	76	55	56	56	55	2	3	6948
16	Fill5	5	33	76	30	76	36	60	2	1	17857
16	Fill2	6	65	45	64	43	68	28	3	1	6451
16	SimB2	7	76	36	56	56	54	58	1	2	4676
16	SimB2	8	75	34	55	54	53	56	1	2	4898
16	Fill3	9	56	55	54	53	58	41	1	1	19650
16	Fill2	10	64	44	61	44	65	31	1	1	6145
16	SimB1	11	76	34	55	55	77	33	2	2	4914
16	SimA1	12	34	77	55	56	32	79	3	2	2915
16	Fill5	13	34	75	32	73	37	59	2	2	18338
16	SimB2	14	76	36	56	56	54	58	1	2	4098
16	SimA1	15	34	76	55	55	32	78	2	2	1907
16	SimB2	16	74	35	54	55	52	57	2	2	3876
16	SimA2	17	35	75	55	55	56	54	3	2	2514
16	SimA1	18	36	76	56	56	35	77	3	2	1955
16	Fill4	19	42	67	40	65	34	68	3	1	16436
16	Fill3	20	58	55	55	54	48	57	3	1	5281
16	SimA2	21	36	73	55	54	56	53	3	3	5412
16	Fill3	22	54	57	52	56	46	58	2	1	6513
16	Fill5	23	39	74	36	73	41	59	1	3	4995
16	SimB1	24	75	33	54	54	76	32	2	2	7364
16	Fill5	25	35	75	32	73	38	59	2	1	9038
16	Fill4	26	47	65	45	64	50	50	3	3	8319
16	Fill5	27	36	73	33	73	26	75	2	1	13472
16	Fill1	28	75	33	74	30	65	36	2	3	30638
16	SimA1	29	35	75	55	55	33	77	3	2	2543
16	SimA2	30	37	75	56	56	57	55	1	2	2848
16	Fill1	31	73	34	70	34	75	20	3	1	5966
16	SimB1	32	74	35	54	55	75	34	1	1	11697
16	SimA2	33	33	76	54	55	55	54	3	3	8142
16	SimA2	34	34	76	55	55	56	54	2	2	3411
16	SimB2	35	75	35	55	55	54	56	3	2	2910
16	SimB2	36	75	36	55	56	54	57	2	2	3024
16	SimB1	37	76	34	55	55	77	33	3	2	5423
16	SimA1	38	36	73	55	54	34	75	1	2	3650
16	Fill5	39	39	75	36	74	42	60	3	1	6894
16	Fill2	40	65	46	63	43	54	49	3	1	12865
16	Fill1	41	72	37	69	35	73	21	1	1	4480
16	Fill2	42	65	47	63	45	68	31	3	1	29969
16	SimA1	43	35	75	54	56	33	77	1	2	3362
16	SimB2	44	76	36	57	55	56	56	1	3	2223
16	Fill3	45	58	56	56	55	59	43	3	1	2253
16	Fill5	46	35	73	33	71	25	76	3	1	5104
16	Fill5	47	34	74	31	73	35	61	2	3	3968
16	Fill5	48	35	74	34	72	26	76	3	1	3293
16	SimA2	49	37	75	56	56	58	54	1	2	2336
16	Fill1	50	73	37	70	35	76	21	1	1	7744
16	SimB2	51	74	35	55	54	53	56	3	2	15025
16	Fill3	52	55	56	53	53	46	57	2	1	5311
16	SimA2	53	35	75	54	56	55	55	1	3	3199
16	Fill2	54	65	47	63	46	55	50	1	1	7552
16	Fill3	55	53	56	51	53	56	39	1	1	5037
16	SimB2	56	74	35	55	54	54	55	1	2	7951
16	Fill3	57	55	54	53	51	47	56	3	1	5407
16	SimA2	58	37	75	57	55	58	54	3	2	7725
16	Fill4	59	44	66	43	62	46	49	3	3	5745
16	Fill3	60	53	56	52	52	55	39	3	1	13072
16	SimA1	61	36	75	55	56	34	77	3	2	6591
16	SimB1	62	76	35	55	56	77	34	1	1	25430
16	SimB1	63	76	36	56	56	78	34	3	3	6179
16	Fill2	64	69	44	68	42	70	31	1	1	10765
16	Fill2	65	67	44	65	42	70	28	3	1	14579
16	Fill4	66	44	63	43	59	47	46	3	3	2990
16	SimB2	67	77	35	56	56	54	58	2	2	2639
16	Fill5	68	37	76	36	73	28	77	3	1	5232
16	Fill2	69	64	46	62	44	55	48	2	1	6290
16	SimA1	70	33	75	53	55	31	77	1	2	2989
16	SimA1	71	35	76	55	56	34	77	3	2	3312
16	Fill5	72	34	74	31	73	36	59	1	3	10609
16	Fill3	73	53	54	50	54	56	39	3	3	2366
16	Fill2	74	63	46	62	42	55	47	1	1	8227
16	SimB2	75	73	37	54	56	52	58	1	2	3951
16	SimA1	76	35	75	55	55	33	77	3	2	1902
16	SimA2	77	36	73	55	54	57	52	1	2	2323
16	Fill3	78	54	54	51	54	55	41	3	1	3280
16	Fill1	79	74	35	72	33	75	20	1	1	5183
16	SimA2	80	33	75	53	55	55	53	2	2	3375
16	SimB2	81	73	36	54	55	53	56	2	2	4767
16	Fill4	82	46	63	43	61	38	64	2	1	12318
16	Fill2	83	66	43	64	42	56	45	2	1	2639
16	SimB2	84	73	36	54	55	52	57	1	2	5666
16	SimB1	85	76	34	55	55	78	32	2	2	3185
16	SimA1	86	37	75	57	55	36	76	2	2	8112
16	Fill5	87	36	75	33	73	26	77	1	1	9023
16	Fill1	88	75	37	72	35	76	21	1	2	6159
16	Fill3	89	55	53	53	52	58	38	2	2	4447
16	Fill4	90	49	64	47	62	40	65	2	2	5951
16	SimB2	91	76	34	55	55	53	57	2	2	1536
16	Fill4	92	45	65	43	64	37	67	2	1	24963
16	SimA2	93	36	76	56	56	58	54	2	2	10191
16	Fill1	94	74	35	71	35	65	36	1	1	7488
16	SimB2	95	76	34	55	55	54	56	2	2	6447
16	Fill4	96	46	65	44	63	49	49	2	3	1839
16	Fill4	97	49	64	47	61	52	47	3	1	10720
16	Fill4	98	44	65	41	65	45	49	2	1	8078
16	SimA2	99	34	76	54	56	55	55	2	3	3952
16	Fill5	100	36	73	33	73	28	74	1	1	3648
16	Fill4	101	45	63	42	61	46	48	1	3	4926
16	SimB1	102	75	34	55	54	77	32	3	2	3983
16	Fill4	103	43	68	40	67	36	69	1	1	23088
