Participant: 18
MachineID: BL-POLS-IELbC13
Start Time: Thu, Sep 29, 2011 12:54:44
Seed: 43742
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
18	SimB2	1	75	35	55	55	54	56	2	3	50055
18	Fill5	2	32	75	30	74	35	57	1	1	24100
18	SimB1	3	77	35	56	56	79	33	1	1	63217
18	SimB1	4	76	35	55	56	78	33	2	1	17747
18	SimB1	5	76	34	55	55	77	33	1	1	8995
18	Fill2	6	64	46	62	44	55	48	2	1	10722
18	SimB1	7	74	35	55	54	75	34	2	1	15635
18	SimA1	8	35	75	55	55	33	77	1	1	11042
18	Fill2	9	65	44	62	42	58	45	3	1	10037
18	Fill5	10	35	77	34	74	38	60	3	1	9522
18	SimA1	11	36	74	55	55	35	75	3	1	7492
18	Fill2	12	66	43	64	42	56	45	3	1	15027
18	Fill4	13	45	67	43	64	46	54	2	1	6339
18	Fill4	14	42	67	40	65	34	68	3	1	5665
18	SimB2	15	75	33	54	54	53	55	1	2	20786
18	Fill2	16	63	46	61	45	65	29	1	1	8148
18	Fill5	17	34	75	32	73	24	77	3	1	7011
18	Fill1	18	76	35	74	32	69	36	1	1	6628
18	SimB1	19	74	36	55	55	76	34	2	1	32226
18	Fill5	20	35	75	32	73	38	59	1	1	24003
18	SimA1	21	37	75	56	56	35	77	3	1	8019
18	SimB1	22	75	34	55	54	76	33	2	1	16371
18	Fill1	23	76	34	74	31	67	36	1	1	6067
18	SimA1	24	35	75	55	55	34	76	1	1	7554
18	Fill4	25	48	66	47	62	51	49	3	1	16749
18	Fill2	26	65	44	63	43	56	45	3	1	4322
18	SimB2	27	75	34	55	54	53	56	3	1	35601
18	SimA2	28	37	75	57	55	58	54	1	1	7215
18	SimB1	29	75	34	55	54	77	32	2	1	8401
18	Fill4	30	46	65	44	63	49	49	1	1	14641
18	Fill4	31	43	68	40	67	36	69	2	1	11248
18	Fill4	32	47	65	45	64	50	50	1	1	9874
18	SimA2	33	34	75	55	54	57	52	1	1	18399
18	SimA2	34	36	75	55	56	56	55	2	1	2798
18	Fill4	35	44	65	42	62	34	67	2	1	6322
18	Fill2	36	65	47	63	46	55	50	2	1	5487
18	Fill1	37	73	36	70	36	62	39	2	1	4160
18	Fill5	38	36	73	33	73	26	75	3	1	11473
18	Fill5	39	39	75	36	74	42	60	2	1	5677
18	SimB1	40	74	36	54	56	76	34	3	2	5328
18	Fill3	41	55	56	53	53	46	57	2	1	6929
18	SimA2	42	37	75	56	56	58	54	1	1	6368
18	Fill5	43	39	74	36	73	41	59	2	1	10799
18	SimB2	44	77	35	56	56	54	58	1	1	4514
18	Fill4	45	46	63	43	61	38	64	1	1	7663
18	SimA1	46	34	77	55	56	32	79	2	1	11233
18	SimA1	47	35	76	55	56	34	77	3	2	8144
18	Fill1	48	77	34	76	30	78	21	3	1	11090
18	Fill2	49	63	46	62	42	55	47	3	1	6865
18	Fill5	50	35	73	33	71	25	76	1	1	10254
18	SimB2	51	74	35	55	54	53	56	1	1	2625
18	SimB1	52	73	37	54	56	75	35	1	2	3503
18	SimB1	53	75	36	55	56	76	35	3	2	2511
18	Fill4	54	45	63	42	61	46	48	1	1	5199
18	Fill3	55	53	54	50	54	56	39	3	1	5170
18	Fill2	56	65	46	62	44	57	48	2	1	10958
18	SimA1	57	34	76	55	55	33	77	1	2	2561
18	Fill3	58	58	56	56	55	59	43	2	1	4462
18	SimB1	59	76	34	55	55	78	32	2	2	11424
18	SimB1	60	76	36	57	55	78	34	2	2	8560
