Participant: 23
MachineID: BL-POLS-IELbC11
Start Time: Mon, Oct 03, 2011 13:09:57
Seed: 82417
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
23	Fill3	1	55	53	54	49	45	56	3	1	35255
23	Fill4	2	44	65	43	62	36	66	3	1	24723
23	SimB2	3	74	36	54	56	52	58	2	2	11284
23	SimA2	4	33	75	53	55	55	53	3	3	15362
23	Fill1	5	75	37	72	37	78	22	1	1	8787
23	SimA1	6	34	75	54	55	32	77	1	2	13811
23	SimA2	7	35	75	54	56	55	55	1	3	8546
23	Fill1	8	75	37	72	35	76	21	2	1	4243
23	Fill5	9	35	76	34	74	25	78	2	1	6752
23	Fill5	10	37	76	36	73	28	77	2	1	9843
23	Fill5	11	35	74	34	72	26	76	3	2	11217
23	SimA1	12	35	76	55	56	34	77	3	2	6004
23	Fill5	13	35	75	32	73	38	59	1	1	15059
23	SimA2	14	37	75	56	56	57	55	3	2	7812
23	SimB2	15	74	35	55	54	54	55	1	2	4305
23	Fill3	16	53	54	50	54	56	39	3	1	4065
23	SimA2	17	37	73	56	54	58	52	3	3	6082
23	Fill4	18	49	64	47	62	40	65	3	1	5075
23	Fill1	19	75	34	72	34	64	37	1	3	2322
23	SimA1	20	33	75	54	54	32	76	2	2	4306
23	SimA2	21	37	75	57	55	58	54	3	3	3296
23	Fill3	22	55	56	53	53	46	57	3	1	3747
23	Fill2	23	67	46	65	45	57	48	2	1	3618
23	Fill3	24	54	54	51	54	55	41	2	1	3909
23	Fill1	25	77	36	75	35	68	37	1	1	9167
23	SimA2	26	34	76	55	55	57	53	3	2	2688
23	Fill3	27	55	54	53	51	47	56	2	1	8480
23	SimB1	28	76	34	55	55	78	32	3	2	3634
23	Fill1	29	75	33	73	32	78	16	2	1	4288
23	SimB1	30	75	35	55	55	76	34	1	2	3534
23	Fill3	31	54	57	52	56	46	58	1	1	2320
23	Fill1	32	73	37	70	35	76	21	2	1	3567
