Participant: 25
MachineID: BL-POLS-IELbC08
Start Time: Mon, Oct 03, 2011 13:11:13
Seed: 91536
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
25	SimA2	1	34	75	55	54	57	52	1	2	69543
25	Fill2	2	65	44	62	42	58	45	1	1	12594
25	SimB2	3	74	35	55	54	54	55	3	1	6676
25	SimB2	4	76	34	55	55	54	56	3	3	24066
25	Fill4	5	44	65	42	62	34	67	3	1	11842
25	Fill5	6	36	76	33	76	39	60	3	1	5042
25	Fill3	7	56	56	53	55	58	41	3	3	10004
25	SimA2	8	36	74	55	55	57	53	3	2	8979
25	SimA1	9	35	75	54	56	33	77	2	2	3586
25	Fill3	10	54	57	52	56	46	58	3	1	11938
25	SimB1	11	76	36	56	56	77	35	2	2	11939
25	SimA2	12	36	76	56	56	58	54	2	3	6690
25	Fill5	13	35	77	34	74	38	60	2	1	25733
25	SimB2	14	73	35	53	55	51	57	3	3	21008
25	SimA1	15	36	74	55	55	35	75	1	2	1650
25	SimA2	16	37	75	57	55	58	54	1	3	10003
25	SimB2	17	74	35	55	54	53	56	3	2	16915
25	SimA2	18	33	75	53	55	55	53	2	1	3984
25	Fill1	19	75	37	72	37	78	22	3	1	6020
25	SimA2	20	35	75	55	55	56	54	3	1	7635
25	Fill2	21	65	47	63	45	68	31	2	2	17666
25	Fill5	22	35	76	34	74	25	78	1	3	9268
25	Fill2	23	65	44	62	42	56	47	1	3	6850
25	SimB1	24	75	35	55	55	76	34	2	2	4691
25	Fill1	25	77	35	74	35	78	22	2	3	11070
25	SimA2	26	35	77	56	56	58	54	2	3	8478
25	SimB1	27	73	35	53	55	75	33	1	3	4977
25	Fill4	28	43	66	41	65	34	67	3	3	4704
25	SimB2	29	76	36	56	56	54	58	3	1	3408
25	Fill2	30	64	46	62	44	55	48	3	1	9086
25	SimA2	31	37	75	56	56	58	54	2	3	2382
25	SimA2	32	34	76	55	55	56	54	2	2	945
25	Fill5	33	36	73	33	73	28	74	2	1	12407
25	Fill2	34	67	45	65	44	69	31	3	1	12033
25	Fill1	35	74	34	73	30	75	18	1	1	8686
25	Fill2	36	67	44	65	42	70	28	3	1	5473
25	SimA1	37	36	73	55	54	34	75	3	2	9806
25	Fill4	38	46	66	44	64	35	69	3	1	22563
25	Fill3	39	55	54	53	51	47	56	2	1	6975
25	SimA1	40	35	76	55	56	34	77	3	2	11855
25	SimA1	41	35	75	54	56	33	77	3	2	4064
25	Fill2	42	63	44	62	42	64	31	3	1	11934
25	SimA1	43	34	76	54	56	33	77	3	2	18959
25	SimA2	44	35	75	54	56	55	55	2	3	9488
25	Fill1	45	76	36	74	34	67	38	3	1	5952
25	Fill1	46	73	36	70	36	62	39	1	1	8224
25	Fill5	47	39	74	36	73	41	59	2	3	8015
25	SimA2	48	37	73	56	54	58	52	2	3	10189
25	Fill4	49	44	65	41	65	45	49	3	1	13456
25	Fill1	50	74	35	72	33	75	20	2	1	4975
25	SimA1	51	34	75	55	54	32	77	3	2	12931
25	SimB1	52	76	34	55	55	77	33	3	2	5341
25	SimB1	53	75	34	55	54	77	32	1	2	14959
25	Fill4	54	47	65	45	64	50	50	1	1	9888
25	SimA2	55	34	76	55	55	57	53	1	1	8750
25	SimA1	56	33	76	54	55	31	78	2	2	10977
25	Fill5	57	34	74	31	73	36	59	3	1	13024
25	SimB2	58	76	34	55	55	53	57	2	1	8734
25	SimB2	59	77	35	56	56	54	58	1	1	8177
25	Fill4	60	43	65	40	64	45	51	2	1	7554
25	Fill2	61	64	44	61	44	65	31	1	1	12832
25	Fill1	62	75	36	72	36	64	39	3	1	13142
25	SimA2	63	37	75	56	56	57	55	2	1	5998
25	Fill2	64	68	44	65	42	70	30	3	1	6191
25	Fill3	65	56	56	55	52	47	58	3	1	6575
25	SimA1	66	36	75	55	56	34	77	2	2	17617
25	SimA1	67	36	73	55	54	34	75	1	2	5038
25	SimB1	68	76	34	55	55	77	33	2	2	10722
25	Fill5	69	35	74	34	72	26	76	1	1	7134
25	Fill3	70	55	56	53	53	46	57	3	1	7199
25	Fill3	71	53	56	51	53	56	39	3	1	6130
25	SimB2	72	74	36	54	56	52	58	3	1	25359
25	SimB1	73	77	35	56	56	79	33	2	2	7551
25	SimB2	74	76	35	55	56	53	58	1	1	7233
25	Fill1	75	77	36	75	35	68	37	2	1	14125
25	Fill1	76	75	37	72	35	76	21	2	1	10497
25	Fill5	77	36	73	35	71	28	74	3	1	8364
25	Fill3	78	54	55	53	52	45	58	3	1	7828
25	Fill2	79	65	46	64	44	56	47	2	1	10365
25	Fill1	80	77	34	76	30	78	21	1	1	8366
25	SimA1	81	35	75	55	55	33	77	1	2	5714
25	SimA1	82	36	73	55	54	34	75	2	2	21293
25	SimA1	83	34	77	55	56	32	79	1	3	6242
25	Fill4	84	43	66	41	65	46	51	3	1	6912
25	Fill5	85	34	75	32	73	37	59	3	1	10079
25	SimA1	86	35	75	55	55	33	77	2	2	4098
25	SimB2	87	74	36	55	55	54	56	2	2	5665
25	SimB2	88	75	36	55	56	54	57	1	1	2946
25	SimA1	89	35	75	55	55	33	77	2	2	5056
25	SimA1	90	35	77	56	56	34	78	2	2	4719
25	Fill3	91	55	54	53	51	45	57	3	1	7600
25	SimB2	92	75	33	54	54	53	55	2	1	6670
25	SimB2	93	73	36	54	55	52	57	1	2	4831
25	Fill1	94	78	35	76	32	81	20	1	1	6432
25	Fill3	95	54	54	51	54	55	41	3	1	7999
25	SimB1	96	74	35	55	54	75	34	2	2	9857
25	Fill3	97	59	54	56	52	61	38	1	1	7759
25	Fill4	98	46	65	45	63	37	67	1	1	6176
25	Fill1	99	72	37	69	36	62	39	1	1	5436
25	SimA2	100	35	75	55	55	56	54	3	2	5554
25	SimA2	101	36	73	55	54	56	53	3	2	11249
25	SimB1	102	74	36	54	56	75	35	2	1	2175
25	Fill1	103	75	33	74	30	65	36	2	1	5073
25	SimB2	104	74	36	54	56	52	58	1	2	7456
25	Fill1	105	74	35	71	35	65	36	1	1	4976
25	SimB1	106	74	35	55	54	75	34	3	2	4960
25	Fill5	107	37	76	36	73	28	77	1	1	5600
25	Fill2	108	65	46	62	44	57	48	2	1	5998
25	SimB2	109	76	36	57	55	56	56	1	2	5840
25	SimA1	110	34	75	54	55	33	76	2	2	1950
25	Fill4	111	46	63	43	61	38	64	1	1	4990
25	Fill4	112	45	65	43	64	37	67	3	1	5458
25	Fill2	113	65	44	63	43	56	45	3	1	9486
25	SimA2	114	33	76	54	55	55	54	1	3	1504
25	Fill5	115	35	75	32	73	38	59	1	1	7200
25	SimB2	116	76	34	55	55	54	56	3	1	3741
25	SimB1	117	76	34	55	55	78	32	3	2	4432
25	Fill1	118	73	34	70	34	75	20	1	1	4063
25	SimB1	119	76	35	55	56	78	33	2	2	13503
25	Fill3	120	58	55	55	54	48	57	2	1	2896
25	SimA2	121	36	73	55	54	57	52	1	2	4224
25	SimB2	122	75	34	55	54	53	56	2	2	10503
25	Fill1	123	76	33	75	31	66	36	1	1	9278
25	SimA2	124	33	75	54	54	56	52	2	3	4371
25	SimB1	125	76	34	55	55	77	33	3	2	3022
25	Fill5	126	34	75	32	73	24	77	3	1	23889
25	Fill1	127	76	34	74	31	67	36	1	1	6178
25	Fill5	128	39	75	36	74	42	60	2	3	2814
25	Fill5	129	32	75	30	74	35	57	1	1	7760
25	SimB2	130	76	36	56	56	54	58	1	2	4463
25	Fill4	131	44	66	43	62	46	49	1	1	5472
25	Fill4	132	48	66	47	62	51	49	2	2	5408
25	SimA2	133	35	75	55	55	56	54	2	3	5405
25	Fill2	134	65	45	64	43	68	28	1	1	17105
25	SimA1	135	35	76	55	56	34	77	2	2	2526
25	Fill5	136	37	75	35	72	28	76	1	1	2752
25	SimA2	137	34	77	55	56	56	55	3	3	2912
25	SimA2	138	36	73	55	54	56	53	1	2	4193
25	SimB1	139	75	34	55	54	76	33	2	3	2048
25	SimB2	140	77	35	56	56	54	58	2	1	9504
25	SimB1	141	76	34	56	54	78	32	3	2	3825
25	SimB1	142	75	33	54	54	76	32	1	3	3646
25	SimB1	143	74	35	54	55	75	34	3	3	3551
25	Fill2	144	65	46	63	43	54	49	2	3	2848
25	SimA1	145	34	76	55	55	32	78	2	2	3581
