Participant: 44
MachineID: BL-POLS-IELbC01
Start Time: Tue, Oct 04, 2011 12:08:26
Seed: 18656
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
44	SimB1	1	76	36	56	56	78	34	3	1	61272
44	Fill2	2	65	46	62	44	57	48	1	1	21921
44	Fill1	3	74	35	71	35	65	36	2	1	19986
44	SimA2	4	35	77	56	56	58	54	1	1	16069
44	SimB2	5	74	36	54	56	52	58	2	1	11522
44	SimB2	6	76	34	55	55	54	56	1	1	11426
44	Fill3	7	53	56	51	53	56	39	2	1	22994
44	SimB1	8	74	36	55	55	76	34	2	3	22420
44	Fill1	9	74	35	72	33	75	20	3	1	27282
44	SimA1	10	34	75	54	55	32	77	3	2	11507
44	Fill2	11	65	44	62	42	58	45	3	1	15427
44	SimA1	12	33	75	53	55	31	77	1	2	7954
44	SimB2	13	74	35	55	54	54	55	3	1	6548
44	SimB2	14	76	36	56	56	54	58	3	2	6386
44	Fill5	15	34	76	32	74	27	77	1	1	15987
44	SimB2	16	76	35	55	56	53	58	2	3	15331
44	SimA2	17	37	75	56	56	58	54	3	3	7138
44	SimA1	18	36	76	56	56	35	77	3	2	9108
44	Fill2	19	65	46	63	43	54	49	2	1	18929
44	Fill3	20	55	55	52	54	47	57	2	1	25362
44	Fill5	21	37	75	34	75	39	60	2	1	20914
44	SimA1	22	37	75	57	55	36	76	1	3	14788
44	Fill4	23	42	67	40	65	34	68	2	1	8913
44	Fill5	24	34	75	32	73	37	59	2	3	3491
44	SimA2	25	34	76	55	55	56	54	3	3	3904
44	SimB2	26	73	37	54	56	52	58	2	1	2687
44	Fill2	27	65	46	64	44	56	47	1	1	9006
44	SimA2	28	35	75	55	55	56	54	3	3	8673
44	SimA2	29	36	76	56	56	58	54	2	3	3024
44	SimB2	30	75	33	54	54	53	55	1	3	2303
44	SimB1	31	73	37	54	56	75	35	2	3	3725
44	SimA2	32	35	75	55	55	56	54	2	2	12417
44	Fill3	33	54	57	52	56	46	58	2	1	4591
44	Fill5	34	34	75	32	73	24	77	3	1	4128
44	Fill4	35	45	65	43	64	37	67	3	3	7422
44	SimA2	36	34	75	54	55	56	53	3	3	7841
44	Fill3	37	56	55	54	53	48	57	2	1	5679
44	Fill5	38	36	73	35	71	28	74	3	1	7039
44	SimA2	39	35	76	55	56	56	55	1	1	3745
44	Fill2	40	63	46	62	42	55	47	1	1	8896
44	SimB1	41	76	35	55	56	78	33	2	3	9438
44	SimB2	42	75	35	55	55	54	56	1	1	2770
44	SimA2	43	37	75	56	56	57	55	2	1	6206
44	Fill3	44	58	54	55	52	61	36	2	3	5315
44	SimB1	45	76	34	55	55	78	32	3	3	3599
44	Fill5	46	35	73	33	71	25	76	1	1	3808
44	Fill1	47	72	37	69	36	62	39	2	1	3934
44	Fill1	48	75	36	72	36	64	39	1	1	4910
44	SimA2	49	34	76	54	56	55	55	3	1	10816
44	SimA2	50	36	74	55	55	57	53	3	1	3438
44	SimB1	51	77	35	56	56	78	34	1	3	6818
44	SimA2	52	34	75	55	54	57	52	3	1	10718
44	Fill3	53	54	54	51	54	55	41	2	3	11616
44	SimA1	54	34	75	55	54	32	77	2	3	5745
44	Fill4	55	44	63	43	59	47	46	3	2	4672
44	SimB1	56	74	36	54	56	75	35	1	3	9197
44	Fill4	57	43	68	40	67	36	69	1	1	5777
44	SimA2	58	33	76	54	55	55	54	1	1	3982
44	SimA1	59	34	75	54	55	33	76	3	1	3216
44	Fill3	60	55	54	53	51	45	57	2	3	3393
44	SimB1	61	77	35	56	56	79	33	1	3	6110
44	SimA1	62	34	77	55	56	32	79	2	3	7015
44	Fill1	63	72	37	69	35	73	21	1	3	6336
44	Fill4	64	46	66	45	63	47	53	2	1	4926
44	Fill5	65	33	76	30	76	36	60	1	1	5023
44	SimB1	66	74	35	54	55	75	34	2	3	6783
44	SimB1	67	76	33	55	54	77	32	3	3	8000
44	Fill4	68	48	66	47	62	51	49	2	1	4350
44	SimA2	69	35	75	55	55	56	54	1	1	5264
44	Fill2	70	65	43	63	41	56	44	3	2	10319
44	SimB2	71	75	34	55	54	53	56	1	1	4799
44	Fill2	72	65	44	62	42	56	47	1	1	8095
44	SimB1	73	73	35	53	55	75	33	2	3	5456
44	Fill2	74	64	46	62	44	55	48	1	1	6098
44	Fill4	75	49	64	47	61	52	47	1	1	31807
44	SimA1	76	36	73	55	54	34	75	2	3	14111
