Participant: 45
MachineID: BL-POLS-IELbC11
Start Time: Wed, Oct 05, 2011 13:15:51
Seed: 22134
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
45	SimB2	1	75	35	55	55	54	56	1	2	25334
45	SimA1	2	35	75	55	55	33	77	3	1	35107
45	Fill5	3	36	73	35	71	28	74	1	1	11556
45	Fill1	4	72	37	69	36	62	39	2	1	12850
45	SimA1	5	34	76	55	55	32	78	3	1	34402
45	Fill5	6	39	75	36	74	42	60	1	1	8067
45	Fill3	7	56	56	55	52	47	58	3	1	11554
45	SimB2	8	77	35	56	56	54	58	3	2	17842
45	SimA1	9	35	76	55	56	34	77	3	2	6675
45	SimA1	10	37	75	56	56	35	77	3	1	15235
45	SimA1	11	34	75	54	55	33	76	1	2	16612
45	SimB1	12	76	36	56	56	77	35	2	2	6417
45	SimB2	13	76	34	55	55	54	56	3	2	3234
45	SimB1	14	74	35	54	55	75	34	2	3	6004
45	SimA2	15	36	73	55	54	56	53	1	2	3778
45	Fill2	16	65	43	63	41	56	44	3	1	9812
45	Fill5	17	34	74	31	73	36	59	3	1	8884
45	SimB2	18	76	34	55	55	53	57	3	3	8802
45	SimA2	19	34	76	55	55	56	54	2	2	10547
45	SimB2	20	74	35	54	55	52	57	3	2	5458
45	SimA1	21	37	75	57	55	36	76	3	2	5459
45	SimA1	22	35	75	55	55	33	77	2	2	2625
45	SimB1	23	76	36	56	56	78	34	1	2	3717
45	Fill2	24	68	44	65	42	70	30	3	1	11234
45	SimB2	25	74	36	54	56	52	58	2	2	3984
45	Fill1	26	74	34	73	30	75	18	1	1	7041
45	Fill2	27	65	46	63	43	54	49	1	3	13888
45	SimA2	28	37	75	57	55	58	54	3	2	8831
45	SimB1	29	76	36	57	55	78	34	2	2	4224
45	Fill5	30	36	76	33	76	39	60	3	3	8193
45	Fill1	31	75	33	73	32	78	16	2	1	3695
45	Fill4	32	44	65	42	62	34	67	1	1	5536
45	SimA1	33	33	76	54	55	31	78	1	2	2880
45	Fill1	34	77	37	76	33	78	21	1	1	9886
45	Fill5	35	36	73	33	73	26	75	3	1	5376
45	SimB2	36	76	36	56	56	54	58	2	2	1902
45	SimA2	37	34	77	55	56	56	55	2	3	5486
45	SimB2	38	76	34	55	55	54	56	1	2	3519
45	SimB2	39	76	34	55	55	54	56	1	3	2222
45	Fill4	40	43	68	40	67	36	69	1	1	6881
45	Fill5	41	37	75	35	72	28	76	1	2	4961
45	Fill2	42	65	47	63	46	55	50	1	3	6639
45	Fill5	43	34	75	32	73	24	77	3	2	7744
45	SimB2	44	74	36	55	55	54	56	2	2	2484
45	SimB2	45	76	35	55	56	53	58	2	2	2287
45	SimB1	46	76	34	55	55	78	32	2	2	1246
45	Fill3	47	54	56	52	53	55	43	1	1	6391
45	Fill4	48	46	66	45	63	47	53	1	3	18914
45	SimB1	49	74	35	55	54	75	34	2	2	3377
45	Fill2	50	67	45	65	44	69	31	3	1	4144
45	Fill1	51	73	37	70	35	76	21	1	1	5389
45	Fill1	52	74	35	71	35	65	36	3	1	11440
45	Fill2	53	65	46	64	44	56	47	2	1	10721
45	Fill4	54	46	63	43	61	38	64	3	1	10863
45	SimA1	55	35	75	55	55	33	77	2	2	2177
45	Fill1	56	72	37	69	35	73	21	1	1	4687
45	SimA1	57	36	73	55	54	34	75	2	2	6288
45	Fill3	58	55	54	54	50	46	57	1	1	14273
45	SimB1	59	77	35	56	56	79	33	1	2	3135
45	Fill5	60	36	75	33	73	26	77	2	1	6191
45	SimB2	61	75	34	55	54	53	56	2	2	3360
45	Fill4	62	45	63	42	61	46	48	3	1	6886
45	SimB2	63	76	34	55	55	54	56	1	2	3008
45	SimA2	64	35	75	55	55	56	54	2	2	2032
45	Fill3	65	55	55	52	54	47	57	2	1	4992
45	SimA2	66	36	73	55	54	57	52	2	3	9022
45	SimA1	67	35	75	54	56	33	77	2	2	4098
45	SimA1	68	33	75	53	55	31	77	2	2	3631
45	SimB1	69	76	34	55	55	77	33	2	2	4110
45	Fill3	70	56	55	54	53	48	57	3	1	13375
45	Fill4	71	48	66	47	62	51	49	2	1	7711
45	SimA2	72	35	77	56	56	58	54	1	2	2480
45	Fill2	73	65	45	64	43	68	28	3	1	4961
45	SimA2	74	35	75	55	55	56	54	1	2	3022
45	SimA1	75	36	75	55	56	34	77	1	2	2513
45	SimA1	76	34	76	54	56	33	77	3	2	3373
45	Fill3	77	53	56	52	52	55	39	1	2	6542
45	SimB1	78	75	36	55	56	76	35	2	2	3616
45	SimA2	79	35	75	55	55	56	54	1	2	2593
45	Fill3	80	56	56	55	54	59	38	2	1	3199
45	SimB1	81	76	35	55	56	78	33	1	2	3518
45	Fill1	82	76	33	75	31	66	36	1	3	6544
45	Fill4	83	49	64	47	62	40	65	1	2	10941
45	SimB1	84	76	34	56	54	78	32	3	2	3295
45	SimB1	85	76	34	55	55	78	32	2	2	5072
45	Fill4	86	42	67	40	65	34	68	1	2	6607
45	SimA2	87	37	75	56	56	57	55	1	2	2238
45	Fill1	88	78	35	76	32	81	20	3	2	7521
45	Fill2	89	65	44	62	42	56	47	1	3	5282
45	Fill5	90	39	74	36	73	41	59	3	3	3901
45	Fill3	91	55	54	53	51	45	57	3	1	3842
45	Fill4	92	44	63	43	59	47	46	2	3	3693
45	SimB2	93	76	34	56	54	54	56	1	2	8511
45	SimA2	94	37	75	56	56	58	54	3	2	2511
45	Fill1	95	76	36	74	34	67	38	2	3	6319
45	Fill3	96	53	56	51	53	56	39	1	1	10673
45	Fill3	97	56	55	54	53	58	41	1	1	3599
45	SimA1	98	35	77	56	56	34	78	3	2	3631
45	Fill2	99	65	46	62	44	57	48	3	1	6977
45	Fill1	100	76	35	74	32	69	36	2	1	17296
45	SimA1	101	35	76	55	56	34	77	3	2	2849
45	Fill2	102	63	46	62	42	55	47	3	3	2399
45	SimA2	103	33	76	54	55	55	54	2	2	3597
45	Fill3	104	55	56	53	53	46	57	2	2	2944
45	Fill4	105	45	67	43	64	46	54	3	3	10862
45	SimB2	106	73	36	54	55	52	57	2	2	9868
45	SimA2	107	36	73	55	54	56	53	3	2	1872
45	SimB1	108	74	35	55	54	75	34	1	2	3473
45	SimB1	109	73	36	54	55	75	34	3	2	3682
45	SimA2	110	35	75	54	56	55	55	3	3	1519
45	Fill4	111	46	65	45	63	37	67	2	1	5825
45	SimA2	112	36	75	55	56	56	55	3	3	8527
45	SimA2	113	36	73	55	54	57	52	3	2	7715
45	SimB2	114	76	36	57	55	56	56	1	3	2321
45	Fill1	115	77	34	76	30	78	21	1	2	4477
45	SimA1	116	33	75	54	54	32	76	2	2	1570
45	SimB2	117	74	35	55	54	54	55	2	2	2830
45	Fill5	118	33	76	30	76	36	60	2	1	9729
45	SimA1	119	36	73	55	54	34	75	1	2	3473
45	Fill5	120	34	76	32	74	27	77	3	2	5617
45	SimB2	121	77	35	56	56	54	58	1	2	3008
45	Fill1	122	77	35	74	35	78	22	2	2	9079
45	Fill2	123	63	44	62	42	64	31	3	1	7135
45	Fill3	124	59	54	56	52	61	38	2	1	4462
45	Fill1	125	75	36	74	32	67	38	2	3	13520
45	SimA2	126	34	76	55	55	57	53	1	2	1951
45	SimB1	127	76	35	55	56	77	34	1	2	2303
45	Fill4	128	43	66	41	65	46	51	2	3	3425
45	Fill2	129	67	46	65	45	57	48	2	3	3247
45	SimA1	130	37	75	56	56	36	76	1	2	2416
45	SimA1	131	35	75	54	56	33	77	2	2	1854
45	Fill2	132	69	44	68	42	70	31	3	1	4591
45	SimA1	133	36	73	55	54	34	75	1	2	1872
45	Fill3	134	53	54	50	54	56	39	3	1	3533
45	Fill4	135	49	64	47	61	52	47	2	3	9279
45	Fill1	136	75	36	72	36	64	39	3	3	5330
45	Fill3	137	55	53	53	52	58	38	1	2	4320
45	SimB2	138	73	36	54	55	53	56	2	2	2670
45	SimA2	139	35	76	55	56	56	55	3	2	2573
45	Fill1	140	75	37	72	35	76	21	1	2	10992
45	Fill4	141	47	64	45	63	38	67	2	2	5601
45	SimA2	142	34	75	54	55	56	53	3	2	3774
45	SimA2	143	35	76	55	56	56	55	3	3	3695
45	SimB1	144	74	36	54	56	76	34	2	2	12258
45	SimB1	145	74	36	55	55	76	34	2	2	2813
45	SimB1	146	73	35	53	55	75	33	3	2	2161
45	SimB1	147	76	33	55	54	77	32	3	2	2960
45	Fill3	148	54	54	51	54	55	41	3	1	1839
45	SimB2	149	74	36	54	56	52	58	2	2	2464
45	SimB2	150	76	35	55	56	54	57	1	2	2448
45	SimA1	151	36	76	56	56	35	77	3	2	2593
45	Fill5	152	32	75	30	74	35	57	3	3	3182
45	Fill3	153	58	55	55	54	48	57	1	2	7646
45	SimA2	154	34	75	55	54	57	52	3	2	5378
45	Fill1	155	77	36	75	35	68	37	1	2	5728
45	Fill2	156	67	44	65	42	70	28	2	3	2415
45	Fill4	157	44	66	43	62	46	49	2	3	6544
45	Fill5	158	36	75	34	72	39	58	2	3	4271
45	Fill5	159	34	74	31	73	35	61	3	1	4400
45	SimA1	160	34	75	54	55	32	77	3	2	2143
45	SimB2	161	76	36	56	56	54	58	3	2	1487
45	Fill2	162	64	44	61	44	65	31	1	2	18919
45	Fill5	163	37	76	36	73	28	77	2	2	10879
45	Fill5	164	35	75	32	73	38	59	1	1	6161
45	SimB2	165	75	36	55	56	54	57	2	2	3360
45	Fill4	166	43	65	40	64	45	51	3	1	8769
45	Fill4	167	45	63	43	61	37	65	2	1	9231
45	Fill2	168	63	46	61	45	65	29	1	1	5567
45	Fill5	169	34	77	32	76	24	80	1	2	9231
45	SimB1	170	77	35	56	56	78	34	1	2	3009
45	SimA2	171	36	76	56	56	58	54	1	2	3151
45	Fill4	172	46	66	44	64	35	69	3	1	12110
45	SimA1	173	34	77	55	56	32	79	1	2	7632
45	Fill5	174	34	75	32	73	37	59	3	1	5615
45	Fill5	175	35	77	34	74	38	60	3	2	12098
45	Fill4	176	43	66	41	65	34	67	1	1	6575
45	Fill2	177	64	44	63	41	65	30	2	1	4431
45	Fill1	178	74	35	72	33	75	20	1	1	6257
45	Fill1	179	75	33	74	30	65	36	1	2	13375
