Participant: 51
MachineID: BL-POLS-IELbC08
Start Time: Thu, Oct 06, 2011 11:09:14
Seed: 13309
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
51	Fill2	1	65	44	62	42	56	47	2	3	195830
51	Fill1	2	72	37	69	36	62	39	2	1	48227
51	Fill2	3	64	45	63	41	67	27	1	1	30629
51	Fill4	4	46	66	45	63	47	53	2	1	39696
51	Fill3	5	58	56	56	55	59	43	1	1	18835
51	Fill4	6	48	66	47	62	51	49	1	1	46482
51	Fill4	7	49	64	47	61	52	47	2	1	46098
51	SimA2	8	36	74	55	55	57	53	2	2	39972
51	Fill4	9	43	66	41	65	34	67	2	1	19379
51	SimA1	10	35	75	54	56	33	77	2	2	27506
51	Fill3	11	55	54	53	51	47	56	2	1	21316
51	Fill5	12	37	76	36	73	28	77	3	1	29618
51	SimB1	13	76	34	55	55	78	32	1	2	25250
51	Fill2	14	69	44	68	42	70	31	1	1	42179
51	Fill3	15	54	57	52	56	46	58	1	1	37443
51	SimA1	16	35	77	56	56	34	78	3	2	34931
51	SimA1	17	34	75	54	55	32	77	2	2	76482
51	Fill2	18	67	46	65	45	57	48	1	1	31235
51	SimA2	19	37	75	56	56	58	54	1	2	57490
51	Fill1	20	75	37	72	35	76	21	3	1	18946
51	Fill1	21	73	34	70	34	75	20	2	1	21809
51	Fill1	22	77	37	76	33	78	21	3	1	42901
51	Fill5	23	35	74	34	72	26	76	2	1	13170
51	Fill5	24	33	76	30	76	36	60	3	1	18850
51	SimB2	25	76	33	55	54	53	56	2	2	43535
51	SimA1	26	35	75	55	55	33	77	1	2	15840
51	Fill4	27	47	65	45	64	50	50	2	1	32688
51	Fill3	28	53	56	51	53	56	39	2	1	49089
51	SimA1	29	36	75	55	56	34	77	3	2	22994
51	Fill2	30	64	44	63	41	65	30	3	1	18703
51	Fill1	31	75	33	74	30	65	36	1	1	31407
51	Fill3	32	54	56	52	53	55	43	1	1	46770
51	SimA2	33	35	75	55	55	56	54	3	2	110352
51	SimA2	34	33	76	54	55	55	54	1	3	68158
51	SimB1	35	76	35	55	56	77	34	1	2	23378
51	SimB1	36	76	34	56	54	78	32	3	2	11852
51	Fill4	37	43	66	41	65	46	51	3	1	11888
51	Fill1	38	74	35	71	35	65	36	3	1	7200
51	SimB2	39	76	34	55	55	53	57	3	3	19120
51	SimB2	40	76	34	55	55	54	56	2	3	12130
51	SimA1	41	33	76	54	55	31	78	2	2	7729
51	SimB1	42	77	35	56	56	78	34	3	2	24527
51	SimA1	43	35	75	55	55	33	77	3	2	7982
51	SimA1	44	35	76	55	56	34	77	2	2	7218
51	SimA1	45	37	75	57	55	36	76	2	2	11632
51	Fill3	46	55	56	53	53	46	57	3	1	9454
51	Fill2	47	63	46	61	45	65	29	3	1	16032
51	SimA1	48	35	75	55	55	34	76	3	2	6175
51	SimB1	49	73	36	54	55	75	34	3	2	8016
51	SimA1	50	37	75	56	56	36	76	2	2	16669
51	Fill3	51	53	54	50	54	56	39	2	1	13663
51	SimA1	52	36	73	55	54	34	75	2	2	6320
51	SimB1	53	73	37	54	56	75	35	3	2	8608
51	SimB1	54	73	36	54	55	75	34	2	2	8096
51	SimB2	55	76	35	55	56	54	57	1	3	27697
51	SimB2	56	75	36	55	56	54	57	1	3	8206
51	SimB1	57	74	36	55	55	76	34	1	2	6382
51	Fill5	58	34	76	32	74	27	77	2	1	10068
51	Fill5	59	36	76	33	76	39	60	2	1	12894
51	SimA1	60	34	76	55	55	33	77	2	3	38448
51	SimA2	61	35	75	54	56	55	55	3	2	23631
51	Fill1	62	73	36	70	36	62	39	3	1	31621
51	Fill5	63	39	75	36	74	42	60	3	1	31728
51	Fill5	64	37	75	35	72	28	76	1	1	11808
51	SimB2	65	77	35	56	56	54	58	1	2	12753
51	Fill2	66	68	46	66	44	71	31	3	1	19952
51	Fill1	67	75	36	74	32	67	38	3	1	13295
51	Fill3	68	56	56	55	54	59	38	2	1	10078
51	Fill2	69	63	44	62	42	64	31	1	1	14303
51	Fill2	70	63	46	62	42	55	47	3	1	13424
51	SimB2	71	73	36	54	55	53	56	1	2	12719
51	SimB2	72	74	36	54	56	52	58	3	2	10416
51	Fill3	73	55	54	54	50	46	57	1	1	16478
51	SimB2	74	74	35	55	54	54	55	1	3	14770
51	SimB2	75	73	35	53	55	51	57	2	2	9987
51	Fill4	76	44	63	43	59	47	46	3	1	19630
51	Fill2	77	67	45	65	44	69	31	3	1	34817
51	Fill2	78	64	44	61	44	65	31	1	1	44672
51	Fill5	79	35	75	32	73	38	59	3	1	44943
51	SimB1	80	73	35	53	55	75	33	1	2	10063
51	Fill1	81	74	35	72	33	75	20	1	1	11740
51	Fill3	82	54	54	51	54	55	41	3	1	6417
51	SimA1	83	35	75	54	56	33	77	3	2	19374
51	SimB2	84	76	35	55	56	53	58	3	2	10386
51	Fill1	85	77	34	76	30	78	21	2	1	8238
51	SimA2	86	36	73	55	54	56	53	3	3	46337
51	SimB2	87	76	34	56	54	54	56	3	2	16526
51	Fill3	88	54	55	53	52	45	58	2	1	12065
51	Fill5	89	34	74	31	73	35	61	1	1	10623
51	SimB1	90	76	36	57	55	78	34	2	1	8528
51	SimA2	91	35	75	55	55	56	54	3	3	5824
51	Fill4	92	44	65	42	62	34	67	3	1	12239
51	Fill1	93	75	34	72	34	64	37	1	1	15584
51	SimB1	94	76	34	55	55	78	32	3	2	10653
51	SimA1	95	33	75	54	54	32	76	3	2	3983
51	SimB2	96	77	35	56	56	54	58	3	2	11728
51	Fill1	97	77	36	75	35	68	37	3	1	7712
51	SimA2	98	35	76	55	56	56	55	2	3	13344
51	SimA2	99	36	73	55	54	57	52	1	3	10624
51	SimA2	100	35	75	54	56	55	55	2	3	3823
51	Fill3	101	58	55	55	54	48	57	3	1	5153
51	Fill3	102	56	55	54	53	58	41	1	1	7039
51	Fill4	103	46	65	45	63	37	67	2	1	11823
51	Fill1	104	76	33	75	31	66	36	1	1	19520
51	SimB1	105	74	35	55	54	75	34	1	1	22592
51	SimB2	106	75	34	55	54	53	56	3	2	38670
51	Fill5	107	36	75	33	73	26	77	2	1	12383
51	SimA2	108	36	73	55	54	57	52	3	3	11811
51	Fill4	109	46	65	44	63	49	49	2	1	9229
51	SimA1	110	36	74	55	55	35	75	1	1	11712
51	SimB2	111	73	37	54	56	52	58	2	2	8686
51	Fill1	112	76	35	74	32	69	36	2	1	8255
51	Fill3	113	58	54	55	52	61	36	2	1	5936
51	Fill4	114	44	65	41	65	45	49	1	1	4959
51	SimB2	115	76	34	55	55	54	56	1	2	15488
51	Fill2	116	65	46	62	44	57	48	1	1	8143
51	Fill1	117	75	37	72	37	78	22	3	1	7118
51	SimA2	118	35	76	55	56	56	55	3	3	7394
51	Fill2	119	65	45	64	43	68	28	3	1	15008
51	Fill4	120	46	63	43	61	38	64	1	1	9935
51	SimB2	121	76	34	55	55	54	56	2	2	9887
51	SimA2	122	35	75	55	55	56	54	2	3	14261
51	Fill5	123	32	75	30	74	35	57	2	1	10368
51	Fill4	124	45	63	43	61	37	65	3	1	8817
51	Fill5	125	34	75	32	73	37	59	2	1	7902
51	SimB1	126	77	35	56	56	79	33	1	1	9742
51	SimB2	127	74	35	54	55	52	57	2	2	7247
51	SimA1	128	35	75	55	55	33	77	1	1	9489
51	Fill5	129	34	75	32	73	24	77	2	1	19534
51	Fill2	130	65	44	63	43	56	45	1	1	13599
51	SimA1	131	37	75	56	56	35	77	2	1	6482
51	SimB2	132	74	35	55	54	53	56	1	2	7694
51	SimA2	133	34	76	55	55	57	53	3	2	6036
51	SimB1	134	76	35	55	56	78	33	2	1	8510
