Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
2,AttR2,2,2.3,4.6,4.4,2.5,4.4,1.8,3,2,24.993
2,SimB2,2,4.3,2.7,3.4,3.6,3.2,3.8,2,2,39.567
2,SimB1,3,4.4,2.6,3.5,3.5,4.5,2.5,3,2,22.32
2,SimA2,5,2.7,4.5,3.6,3.6,3.8,3.4,3,2,10.943
2,Com2,6,5.4,5.6,4.5,6.5,3.4,7.6,2,2,40.291
2,AttR2,6,2.2,4.8,4.5,2.5,4.5,1.9,2,2,37.36
2,SimB2,6,4.5,2.6,3.6,3.5,3.5,3.6,3,1,33.519
2,Com1,8,7.2,3.9,5.3,5.8,4.4,6.7,1,2,66.626
2,SimB2,8,4.6,2.6,3.6,3.6,3.5,3.7,1,2,11.774
2,AttR1,9,2.6,4.4,4.7,2.3,2.0,4.4,1,1,17.617
2,SimB2,9,4.6,2.6,3.6,3.6,3.5,3.7,1,2,5.344
2,SimA1,10,2.5,4.5,3.5,3.5,2.4,4.6,3,2,25.725
2,AttR2,11,2.5,4.5,4.7,2.3,4.7,1.6,2,2,12.382
2,Com1,12,7.4,3.6,5.4,5.6,4.5,6.5,1,2,29.827
2,AttR2,12,2.6,4.5,4.6,2.5,4.6,1.9,1,2,7.712
2,SimA1,13,2.4,4.7,3.5,3.6,2.2,4.9,1,2,12.527
2,AttR1,14,2.6,4.6,4.8,2.4,1.9,4.6,3,1,11.311
2,AttR2,15,2.5,4.5,4.4,2.6,4.4,2.0,3,2,41.761
2,SimB1,15,4.5,2.5,3.5,3.5,4.7,2.3,2,2,10.303
2,Com1,16,7.3,3.6,5.2,5.7,4.1,6.8,3,2,20.419
2,AttR1,16,2.2,4.8,4.5,2.5,1.6,4.8,3,2,23.982
2,Com2,17,5.3,5.6,4.4,6.5,3.3,7.6,1,1,8.498
2,Com2,18,5.3,5.6,4.3,6.6,3.3,7.6,1,1,9.874
2,AttR1,18,2.3,4.6,4.5,2.4,1.7,4.6,1,2,32.35
2,SimB1,18,4.6,2.6,3.6,3.6,4.8,2.4,3,2,11.665
2,Com1,19,7.4,3.6,5.3,5.7,4.4,6.6,2,2,32.178
2,AttR1,19,2.4,4.4,4.7,2.1,1.7,4.4,3,1,11.633
2,SimA2,19,2.4,4.6,3.4,3.6,3.6,3.4,2,1,6.558
2,Com2,20,5.2,5.7,4.1,6.8,3.2,7.7,1,1,33.953
2,AttR1,20,2.5,4.6,4.4,2.7,1.9,4.6,3,2,39.296
2,AttR2,21,2.6,4.6,4.8,2.4,4.8,1.8,3,1,10.607
2,SimB2,22,4.3,2.5,3.4,3.4,3.3,3.5,1,2,10.993
2,SimB2,23,4.6,2.7,3.6,3.7,3.5,3.8,3,3,7.072
2,AttR1,24,2.5,4.5,4.4,2.6,1.8,4.5,1,2,15.713
2,SimB2,24,4.4,2.6,3.5,3.5,3.4,3.6,2,2,14.832
2,AttR1,25,2.5,4.5,4.8,2.2,1.9,4.5,2,1,13.504
2,AttR2,26,2.6,4.4,4.7,2.3,4.7,1.7,1,1,16.56
2,SimA1,26,2.7,4.5,3.6,3.6,2.6,4.6,3,2,3.664
2,AttR1,27,2.4,4.7,4.6,2.5,1.6,4.7,3,2,28.176
2,AttR2,28,2.5,4.5,4.8,2.2,4.8,1.4,3,1,17.008
2,Com2,29,5.3,5.6,4.4,6.5,3.2,7.7,2,1,12.899
2,Com2,30,5.3,5.7,4.3,6.7,3.3,7.7,3,2,28.207
2,AttR1,30,2.5,4.4,4.5,2.4,1.8,4.4,2,1,14.45
2,SimA2,30,2.6,4.7,3.6,3.7,3.8,3.5,2,2,22.673
2,Com2,31,5.2,5.6,4.1,6.7,3.3,7.5,1,2,56.062
2,Com1,32,7.4,3.5,5.3,5.6,4.3,6.6,1,2,16.063
2,AttR1,32,2.5,4.5,4.7,2.3,1.8,4.5,3,1,7.089
2,Com2,33,5.4,5.8,4.5,6.7,3.3,7.9,1,2,49.827
2,AttR1,33,2.2,4.8,4.5,2.5,1.5,4.8,3,2,10.926
2,SimB1,33,4.5,2.5,3.5,3.5,4.6,2.4,1,2,10.351
2,Com1,35,7.4,3.8,5.4,5.8,4.3,6.9,1,2,12.85
2,AttR1,35,2.3,4.6,4.4,2.5,1.5,4.6,2,2,20.317
2,Com2,36,5.2,5.8,4.1,6.9,3.1,7.9,1,2,19.473
2,Com1,37,7.4,3.7,5.4,5.7,4.4,6.7,1,2,24.064
2,SimA2,37,2.5,4.3,3.4,3.4,3.6,3.2,3,2,7.505
2,AttR2,38,2.5,4.4,4.5,2.4,4.5,1.6,1,1,18.913
2,SimA2,38,2.5,4.5,3.5,3.5,3.6,3.4,1,2,3.375
2,AttR1,39,2.3,4.8,4.5,2.6,1.6,4.8,1,2,10.99
2,SimB2,39,4.5,2.5,3.5,3.5,3.4,3.6,3,2,3.105
2,Com2,40,5.3,5.8,4.3,6.8,3.4,7.7,1,2,17.967
2,AttR2,40,2.4,4.7,4.6,2.5,4.6,1.7,1,2,21.425
2,SimA1,40,2.6,4.7,3.6,3.7,2.5,4.8,1,2,10.862
2,Com2,42,5.4,5.8,4.3,6.9,3.5,7.7,1,2,20.688
2,SimB1,43,4.3,2.7,3.4,3.6,4.4,2.6,3,2,10.752
2,AttR1,44,2.6,4.5,4.6,2.5,1.9,4.5,2,1,20.688
2,Com2,46,5.4,5.7,4.4,6.7,3.5,7.6,2,2,33.359
2,SimA2,46,2.4,4.7,3.5,3.6,3.7,3.4,3,2,15.442
2,Com1,47,7.4,3.5,5.3,5.6,4.4,6.5,1,2,17.618
2,Com2,48,5.3,5.7,4.4,6.6,3.4,7.6,2,2,15.999
2,AttR2,48,2.2,4.6,4.4,2.4,4.4,1.6,1,2,11.104
2,AttR2,49,2.3,4.6,4.5,2.4,4.5,1.7,3,2,45.584
