Participant: 2
MachineID: BL-POLS-IELbC11
Start Time: Tue, Feb 28, 2012 13:05:35
Seed: 24671
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
2	Fill1	1	73	38	70	36	76	23	1	1	69735
2	Fill4	2	47	65	44	65	49	50	1	1	20002
2	Fill4	3	48	64	45	62	40	66	3	1	17171
2	Fill5	4	37	74	36	71	26	77	1	1	37268
2	Fill2	5	63	44	61	41	65	29	2	1	18178
2	Com2	6	54	56	45	65	34	76	2	2	40291
2	Fill4	7	42	65	41	62	44	51	2	1	11586
2	Com1	8	72	39	53	58	44	67	1	2	66626
2	Fill1	9	78	33	76	31	67	36	1	1	6114
2	Fill3	10	55	54	54	52	47	55	3	1	13428
2	Fill2	11	67	45	64	45	70	27	1	1	19426
2	Com1	12	74	36	54	56	45	65	1	2	29827
2	Fill3	13	54	53	52	50	56	37	3	1	13572
2	Fill3	14	57	54	55	52	50	55	3	1	4530
2	Fill3	15	55	56	53	53	45	59	2	1	19187
2	Com1	16	73	36	52	57	41	68	3	2	20419
2	Com2	17	53	56	44	65	33	76	1	1	8498
2	Com2	18	53	56	43	66	33	76	1	1	9874
2	Com1	19	74	36	53	57	44	66	2	2	32178
2	Com2	20	52	57	41	68	32	77	1	1	33953
2	Fill4	21	46	65	44	63	38	66	1	1	20371
2	Fill5	22	36	73	34	71	25	76	2	1	17986
2	Fill2	23	69	43	67	40	59	46	1	1	16981
2	Fill5	24	33	74	30	73	35	59	1	1	25153
2	Fill4	25	46	65	45	61	36	67	3	1	14174
2	Fill1	26	75	32	73	29	76	17	1	1	8337
2	Fill1	27	71	36	68	36	73	21	2	1	11087
2	Fill4	28	45	66	44	64	48	49	1	1	20829
2	Com2	29	53	56	44	65	32	77	2	1	12899
2	Com2	30	53	57	43	67	33	77	3	2	28207
2	Com2	31	52	56	41	67	33	75	1	2	56062
2	Com1	32	74	35	53	56	43	66	1	2	16063
2	Com2	33	54	58	45	67	33	79	1	2	49827
2	Fill5	34	37	75	36	72	28	77	1	1	16797
2	Com1	35	74	38	54	58	43	69	1	2	12850
2	Com2	36	52	58	41	69	31	79	1	2	19473
2	Com1	37	74	37	54	57	44	67	1	2	24064
2	Fill2	38	66	45	63	43	57	46	1	1	26224
2	Fill5	39	34	77	32	75	25	78	2	1	19904
2	Com2	40	53	58	43	68	34	77	1	2	17967
2	Fill2	41	62	45	61	42	65	27	3	1	9904
2	Com2	42	54	58	43	69	35	77	1	2	20688
2	Fill2	43	66	43	65	41	56	46	3	1	17135
2	Fill2	44	63	48	60	46	66	31	1	1	9214
2	Fill5	45	37	75	34	75	40	57	1	1	7789
2	Com2	46	54	57	44	67	35	76	2	2	33359
2	Com1	47	74	35	53	56	44	65	1	2	17618
2	Com2	48	53	57	44	66	34	76	2	2	15999
2	Fill3	49	58	54	55	54	48	57	3	1	11180
2	Com2	50	53	57	42	68	33	77	1	2	10865
2	Fill4	51	45	64	43	61	37	66	3	1	30706
2	Com2	52	53	58	43	68	32	79	2	2	11438
2	Com1	53	71	39	52	58	41	69	3	2	11055
2	Com1	54	74	36	53	57	43	67	2	2	18272
2	Com1	55	73	37	53	57	42	68	3	2	24257
2	Com1	56	74	37	53	58	42	69	3	2	11553
2	Com2	57	54	56	44	66	35	75	2	1	19568
2	Com2	58	53	58	44	67	32	79	2	2	19730
2	Com1	59	73	39	54	58	45	67	1	2	13741
2	Fill1	60	78	34	77	30	68	37	1	1	21073
2	Fill3	61	52	55	49	53	54	40	2	1	10191
2	Fill3	62	56	56	54	55	59	39	2	1	9633
2	Com1	63	73	36	53	56	44	65	1	2	24591
2	Com1	64	74	37	53	58	43	68	2	2	5489
2	Com1	65	73	36	53	56	42	67	1	2	15007
2	Com2	66	53	58	42	69	33	78	2	1	9455
2	Fill1	67	74	35	73	33	66	36	2	1	16733
2	Fill5	68	33	74	30	72	35	60	3	1	10784
2	Com2	69	53	56	42	67	34	75	1	2	21009
2	Com1	70	73	38	53	58	43	68	3	2	6605
2	Fill4	71	44	63	41	63	46	46	2	1	6255
2	Fill1	72	74	37	73	33	65	38	1	1	8608
2	Com1	73	74	36	54	56	44	66	3	2	8753
2	Fill5	74	34	77	31	76	37	59	1	1	9022
2	Fill3	75	54	57	52	54	55	44	1	1	7905
2	Fill2	76	65	46	62	45	56	48	3	1	7455
2	Fill1	77	75	37	74	35	78	20	2	1	10113
2	Com2	78	52	56	43	65	31	77	3	2	9646
2	Com1	79	73	35	52	56	43	65	2	2	5232
2	Com1	80	73	35	52	56	41	67	2	2	6991
2	Fill4	1	46	62	43	61	35	65	2	1	30886
2	AttR2	2	23	46	44	25	44	18	3	2	24993
2	Fill4	3	46	66	43	65	36	69	3	1	8928
2	Fill5	4	35	76	33	74	38	58	3	1	6064
2	Fill5	5	34	74	33	70	24	77	2	1	12783
2	AttR2	6	22	48	45	25	45	19	2	2	37360
