Participant: 21
MachineID: BL-POLS-IELbC13
Start Time: Mon, Mar 05, 2012 12:47:15
Seed: 21725
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
21	AttR1	1	25	45	46	24	19	45	1	1	51672
21	Fill2	2	67	43	66	41	58	44	3	1	28305
21	Fill2	3	66	42	63	41	69	27	2	1	17921
21	Fill3	4	56	54	54	52	46	56	2	1	12402
21	Fill5	5	38	74	37	72	40	59	2	3	25234
21	Fill4	6	46	64	43	62	37	66	2	1	10003
21	AttR2	7	25	46	44	27	44	21	2	2	12242
21	AttR1	8	25	46	44	27	19	46	2	2	17313
21	AttR2	9	25	45	48	22	48	14	2	1	21058
21	AttR2	10	22	46	44	24	44	16	2	2	11683
21	Fill4	11	46	62	43	61	35	65	1	1	9714
21	AttR2	12	26	44	47	23	47	17	3	1	7028
21	AttR1	13	23	46	44	25	15	46	2	2	8786
21	AttR2	14	19	49	48	20	48	14	2	2	7202
21	Fill1	15	76	32	75	28	66	34	2	1	16386
21	AttR1	16	25	45	44	26	18	45	3	2	6659
21	AttR1	17	20	46	43	23	14	46	1	2	7172
21	AttR1	18	26	44	47	23	20	44	1	1	8163
21	Fill2	19	66	46	65	44	68	29	1	1	6370
21	Fill4	20	46	66	43	65	36	69	2	1	7284
21	AttR1	21	26	46	48	24	19	46	2	1	30913
21	Fill5	22	36	76	33	76	37	63	2	1	8067
21	Fill1	23	76	36	73	35	66	39	1	1	25969
21	AttR1	24	24	44	47	21	17	44	2	1	8132
21	Fill4	25	47	65	45	62	48	49	2	1	11137
21	Fill1	26	74	37	71	36	76	21	2	1	7087
21	Fill5	27	37	75	34	73	29	76	3	1	5934
21	Fill1	28	78	34	76	33	80	19	2	1	6705
21	Fill2	29	67	45	64	43	59	46	1	1	9359
21	Fill4	30	47	65	46	62	48	50	1	1	12673
21	Fill4	31	45	63	43	60	35	65	1	1	7105
21	AttR2	32	20	46	43	23	43	16	1	2	8976
21	Fill2	33	63	45	61	42	52	48	1	1	9985
21	Fill1	34	75	33	73	31	77	16	1	1	4158
21	AttR1	35	19	49	48	20	12	49	2	2	10287
