Participant: 40
MachineID: BL-POLS-IELbC20
Start Time: Wed, Mar 07, 2012 12:41:01
Seed: 40545
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
40	Com1	1	72	39	53	58	44	67	1	1	63031
40	Fill4	2	42	65	41	62	44	51	1	1	17409
40	Com1	3	73	35	52	56	43	65	1	1	8673
40	Fill3	4	56	56	54	55	59	39	1	3	10772
40	Com2	5	53	56	44	65	32	77	2	1	22913
40	Com2	6	53	56	43	66	33	76	1	1	11236
40	Com1	7	74	37	53	58	43	68	3	2	6897
40	Fill1	8	78	33	76	31	67	36	2	3	7924
40	Fill1	9	73	38	70	36	76	23	1	2	29618
40	Com1	10	74	35	53	56	44	65	1	2	7972
40	Com1	11	73	36	53	56	44	65	2	2	14370
40	Com2	12	53	56	42	67	34	75	2	1	9633
40	Fill4	13	46	65	45	61	36	67	3	2	13682
40	Fill1	14	74	35	73	33	66	36	2	3	13618
40	Fill1	15	78	34	77	30	68	37	2	1	21908
40	Com1	16	73	37	53	57	42	68	1	3	29329
40	Com1	17	74	37	54	57	44	67	2	3	6341
40	Fill3	18	52	55	49	53	54	40	2	1	13891
40	Com2	19	53	58	42	69	33	78	3	2	7092
40	Fill2	20	67	45	64	45	70	27	2	1	8834
40	Com1	21	74	35	53	56	43	66	2	3	13025
40	Com2	22	52	58	41	69	31	79	3	2	7026
40	Com2	23	54	58	45	67	33	79	2	1	11075
40	Fill5	24	36	73	34	71	25	76	2	1	12164
40	Fill1	25	71	36	68	36	73	21	1	1	19680
40	Com2	26	53	57	42	68	33	77	1	1	19791
40	Com1	27	74	38	54	58	43	69	1	1	11778
40	Fill4	28	45	66	44	64	48	49	3	1	9650
40	Com2	29	53	57	43	67	33	77	3	2	4512
40	Com2	30	54	57	44	67	35	76	3	3	28434
40	Com2	31	53	58	43	68	34	77	1	2	4769
40	Fill5	32	33	74	30	72	35	60	3	1	11169
40	Fill1	33	75	32	73	29	76	17	3	1	8400
40	Fill5	34	37	74	36	71	26	77	1	1	8444
40	Com2	35	54	56	45	65	34	76	1	2	7025
40	Com2	36	54	56	44	66	35	75	3	2	8224
40	Fill2	37	66	43	65	41	56	46	2	1	4719
40	Com1	38	73	36	52	57	41	68	2	3	9937
40	Fill3	39	55	54	54	52	47	55	2	1	13039
40	Com1	40	73	36	53	56	42	67	3	3	5377
40	Fill3	41	55	56	53	53	45	59	1	1	10720
40	Fill2	42	62	45	61	42	65	27	3	1	3631
40	Fill4	43	47	65	44	65	49	50	3	1	7267
40	Fill1	44	75	37	74	35	78	20	3	1	6175
40	Com1	45	74	36	54	56	44	66	2	3	4734
40	Fill5	46	37	75	34	75	40	57	2	1	7583
40	Com1	47	74	37	53	58	42	69	3	3	6559
40	Fill5	48	37	75	36	72	28	77	2	1	5313
40	Fill3	49	54	53	52	50	56	37	1	1	11246
40	Fill4	50	45	64	43	61	37	66	2	1	4319
40	Fill5	51	34	77	31	76	37	59	1	1	9280
40	Fill1	52	74	37	73	33	65	38	3	1	9486
40	Fill3	53	54	57	52	54	55	44	2	1	13710
40	Fill5	54	33	74	30	73	35	59	2	1	9487
40	Com2	55	53	57	44	66	34	76	3	2	3326
40	Com1	56	71	39	52	58	41	69	2	3	4895
40	Com2	57	52	57	41	68	32	77	3	2	5807
40	Fill4	58	46	65	44	63	38	66	3	1	7392
40	Com1	59	74	36	53	57	43	67	3	3	6353
40	Fill5	60	34	77	32	75	25	78	2	1	4673
40	Com2	61	52	56	43	65	31	77	2	2	5857
40	Fill2	62	66	45	63	43	57	46	1	1	9070
40	Fill2	63	63	48	60	46	66	31	1	1	6655
40	Com1	64	73	38	53	58	43	68	3	2	8495
40	Fill4	65	44	63	41	63	46	46	2	1	4192
40	Com1	66	74	36	53	57	44	66	1	3	6549
40	Fill4	67	48	64	45	62	40	66	2	1	3805
40	Fill2	68	65	46	62	45	56	48	3	1	5697
40	Fill2	69	63	44	61	41	65	29	3	1	4207
40	Com2	70	53	56	44	65	33	76	1	1	5487
40	Com2	71	53	58	44	67	32	79	2	2	8414
40	Com2	72	53	58	43	68	32	79	3	2	5490
40	Com2	73	54	58	43	69	35	77	1	2	8097
40	Com2	74	52	56	41	67	33	75	2	2	7216
40	Fill2	75	69	43	67	40	59	46	1	1	4847
40	Com1	76	74	36	54	56	45	65	3	2	4399
40	Com1	77	73	39	54	58	45	67	1	3	2847
40	Fill3	78	58	54	55	54	48	57	2	1	7551
40	Com1	79	73	35	52	56	41	67	1	2	6065
40	Fill3	80	57	54	55	52	50	55	3	1	3778
40	AttR2	1	25	45	44	26	44	20	2	2	13303
40	Fill1	2	75	33	73	31	77	16	1	1	4322
40	Fill4	3	46	62	43	61	35	65	2	1	5904
40	Fill3	4	55	56	52	56	56	43	2	1	6608
40	AttR1	5	26	46	48	24	19	46	1	2	5218
40	Fill5	6	36	72	35	69	29	73	3	2	4527
40	Fill2	7	65	46	62	45	68	29	3	1	7344
40	AttR2	8	23	46	45	24	45	17	1	2	2911
40	AttR2	9	25	46	44	27	44	21	3	2	5170
40	AttR1	10	25	44	45	24	18	44	1	1	13120
40	Fill5	11	35	76	33	74	38	58	2	1	7169
40	AttR2	12	25	44	45	24	45	16	2	1	12079
40	AttR2	13	26	45	46	25	46	19	1	1	5379
40	AttR1	14	24	44	47	21	17	44	2	1	6253
40	AttR1	15	20	46	43	23	14	46	2	2	11984
40	Fill2	16	68	44	65	44	69	30	3	1	7420
40	Fill4	17	45	66	43	64	48	49	1	1	9376
40	Fill5	18	34	74	33	70	24	77	3	1	7086
40	Fill4	19	47	65	45	62	48	49	1	1	7714
40	Fill2	20	66	42	65	38	55	45	2	2	5118
40	AttR1	21	26	46	48	24	19	46	3	2	2896
40	AttR1	22	22	48	45	25	16	48	1	2	2543
40	Fill1	23	76	36	73	35	66	39	1	1	3795
40	AttR2	24	22	48	45	25	45	19	1	2	5310
40	AttR1	25	23	46	45	24	17	46	3	1	6702
40	AttR1	26	19	49	48	20	12	49	2	1	6033
40	Fill1	27	76	34	74	31	65	37	2	1	6194
40	Fill3	28	55	53	52	53	56	38	1	1	7886
40	AttR2	29	26	46	48	24	48	18	3	2	8224
40	AttR2	30	26	46	48	24	48	17	2	2	2544
40	AttR2	31	19	49	48	20	48	14	3	2	3823
40	AttR1	32	25	45	48	22	19	45	3	2	7870
40	AttR2	33	24	47	46	25	46	17	2	2	6095
40	AttR2	34	22	48	45	25	45	19	3	3	5872
40	AttR1	35	22	46	44	24	14	46	1	2	11245
40	AttR1	36	25	45	47	23	18	45	2	2	4239
40	AttR1	37	25	45	44	26	18	45	3	2	7200
40	AttR2	38	25	45	48	22	48	14	1	2	3422
40	Fill4	39	47	65	46	62	48	50	1	1	6416
40	Fill3	40	57	55	55	53	59	39	2	1	4718
40	Fill5	41	37	75	34	73	29	76	1	1	10142
40	Fill4	42	46	66	43	65	36	69	3	1	2895
40	AttR2	43	25	45	46	24	46	18	3	2	2930
40	Fill4	44	46	62	43	62	48	45	2	1	10223
40	Fill1	45	74	37	71	36	76	21	1	1	4960
40	Fill5	46	37	73	36	70	28	76	2	1	5792
40	Fill3	47	54	54	51	53	43	57	3	1	3730
40	Fill5	48	34	74	33	70	36	58	3	1	9026
40	AttR2	49	24	44	47	21	47	13	1	2	5553
40	Fill3	50	57	55	55	54	50	56	2	1	2257
40	AttR1	51	23	46	44	25	15	46	3	1	6672
40	AttR2	52	25	45	47	23	47	16	3	2	6240
40	Fill3	53	56	54	54	52	46	56	2	1	4127
40	Fill3	54	57	55	54	55	58	41	2	1	5727
40	AttR2	55	23	46	44	25	44	18	2	2	4222
40	Fill1	56	78	34	76	33	80	19	3	1	6801
40	Fill1	57	76	36	74	34	79	19	3	1	3551
40	AttR2	58	26	44	47	23	47	17	3	2	3935
40	AttR1	59	26	44	47	23	20	44	1	1	4559
40	AttR1	60	25	46	44	27	19	46	1	1	4129
40	Fill1	61	75	33	74	30	67	34	3	1	4866
40	Fill4	62	45	63	43	60	35	65	2	1	2607
40	AttR2	63	22	46	44	24	44	16	2	2	3967
40	AttR1	64	22	48	45	25	15	48	1	1	4608
40	Fill5	65	38	74	37	72	40	59	2	3	6256
40	Fill2	66	66	42	63	41	69	27	2	1	9154
40	Fill2	67	67	45	64	43	59	46	2	1	5552
40	AttR1	68	25	45	46	24	19	45	1	1	16770
40	Fill2	69	63	45	61	42	52	48	3	1	2109
40	Fill4	70	46	64	43	62	37	66	3	1	1855
40	Fill2	71	66	46	65	44	68	29	2	3	2016
40	AttR1	72	23	48	45	26	16	48	2	1	3538
40	Fill5	73	36	76	33	76	37	63	3	1	6431
40	Fill1	74	76	32	75	28	66	34	2	1	8320
40	Fill3	75	55	53	52	52	47	54	1	1	3314
40	AttR2	76	23	48	45	26	45	19	2	2	2239
40	AttR1	77	26	45	46	25	19	45	1	1	3840
40	Fill2	78	67	43	66	41	58	44	2	1	2801
40	AttR2	79	20	46	43	23	43	16	3	2	3424
40	AttR1	80	24	47	46	25	16	47	1	2	2766
40	Fill3	1	55	55	54	52	56	39	3	2	11544
40	Fill2	2	66	44	64	43	56	46	2	1	2141
40	SimA2	3	24	46	35	35	37	33	3	1	4994
40	Fill2	4	64	44	63	41	57	45	3	1	2736
40	SimB1	5	45	25	35	35	46	24	2	3	8270
