Participant: 41
MachineID: BL-POLS-IELbC11
Start Time: Thu, Mar 08, 2012 13:04:04
Seed: 17096
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
41	Fill3	1	55	55	54	52	56	39	2	1	34663
41	Fill3	2	57	54	54	52	58	39	3	1	11027
41	SimB1	3	43	25	34	34	44	24	2	3	16371
41	Fill1	4	74	35	71	33	75	22	1	1	7684
41	SimA1	5	27	45	36	36	25	47	2	2	17042
41	Fill1	6	75	35	73	34	68	36	2	1	7012
41	Fill5	7	34	76	33	73	37	61	2	1	4482
41	SimA2	8	27	44	36	35	38	33	2	2	7331
41	SimB2	9	46	26	36	36	35	37	2	1	2003
41	Fill2	10	64	47	63	43	67	32	2	1	2771
41	SimB1	11	45	25	35	35	46	24	2	2	6368
41	SimA2	12	27	45	36	36	38	34	1	1	5477
41	SimB2	13	44	26	35	35	34	36	2	1	2832
41	SimA2	14	27	45	36	36	38	34	1	1	5874
41	SimB1	15	44	26	35	35	45	25	1	2	2261
41	Fill2	16	64	46	63	42	65	33	3	1	3714
41	SimA1	17	26	47	36	37	25	48	3	2	2467
41	SimB1	18	46	27	36	37	47	26	3	2	2834
41	SimB1	19	46	26	36	36	48	24	3	2	9779
41	SimA1	20	27	44	36	35	25	46	3	2	1651
41	Fill3	21	53	56	52	54	44	58	3	3	2034
41	Fill2	22	64	45	62	44	65	31	3	1	3331
41	SimA2	23	25	43	34	34	36	32	2	1	3781
41	Fill5	24	36	77	35	73	29	78	2	3	3636
41	SimA2	25	25	45	35	35	36	34	2	1	4400
41	Fill4	26	46	64	45	62	48	50	2	3	2765
41	SimA1	27	25	43	34	34	24	44	2	2	3618
41	Fill4	28	43	66	40	66	45	50	2	2	4848
41	Fill3	29	55	55	52	53	46	57	1	1	4096
41	Fill1	30	76	37	73	35	68	39	3	1	4031
41	Fill1	31	72	36	71	34	63	39	3	1	4687
41	SimB1	32	43	27	34	36	44	26	3	2	4463
41	Fill4	33	44	67	41	67	46	51	3	1	7569
41	SimA1	34	26	44	35	35	25	45	1	2	2435
41	SimA1	35	24	46	34	36	22	48	2	2	6064
41	SimB2	36	43	27	34	36	32	38	1	1	4606
41	SimB1	37	45	25	35	35	47	23	3	2	7006
41	Fill1	38	74	35	72	33	66	36	3	3	4096
41	SimB2	39	45	25	35	35	34	36	3	1	4465
41	Fill5	40	34	75	33	73	27	76	3	3	4368
41	SimA2	41	24	47	35	36	37	34	1	3	5150
41	Fill1	42	76	35	75	32	78	18	1	1	4110
41	Fill1	43	76	35	74	34	79	19	3	1	5055
41	SimB2	44	46	27	36	37	35	38	2	2	4750
41	SimA2	45	24	46	34	36	36	34	3	1	5618
41	SimB2	46	45	26	36	35	35	36	3	1	2608
41	Fill1	47	76	34	75	32	78	20	3	3	2847
41	SimA1	48	25	45	35	35	24	46	3	2	3965
41	SimB2	49	44	27	35	36	34	37	3	1	2019
41	SimB2	50	43	25	34	34	33	35	2	1	3886
41	SimA1	51	27	45	36	36	26	46	1	2	4175
41	Fill4	52	45	68	44	65	36	70	1	3	5681
41	Fill2	53	62	47	59	45	55	48	2	1	5135
41	Fill3	54	55	58	54	56	46	59	2	3	7295
41	Fill4	55	46	64	45	60	37	67	3	3	3823
41	SimA1	56	24	47	35	36	22	49	1	2	1458
41	Fill2	57	65	48	63	45	55	50	1	3	6807
41	Fill5	58	36	75	34	72	39	58	3	3	8193
41	SimB1	59	46	26	36	36	48	24	2	2	5486
41	Fill2	60	68	43	67	39	69	30	2	1	5213
41	Fill5	61	35	75	33	72	28	76	2	3	5650
41	Fill2	62	66	44	64	43	56	46	2	3	9454
41	SimB1	63	44	27	35	36	45	26	1	2	7843
41	Fill4	64	42	67	41	64	34	68	1	3	4591
41	SimB2	65	45	25	35	35	33	37	1	1	4464
41	SimA2	66	26	47	36	37	38	35	3	1	4338
41	SimA2	67	24	46	35	35	37	33	3	1	4879
41	Fill5	68	37	74	35	71	38	59	3	1	4704
41	Fill5	69	33	75	30	75	23	78	2	3	5075
41	Fill3	70	55	56	53	54	58	39	2	1	5280
41	Fill4	71	44	64	41	63	37	65	2	3	3903
41	Fill2	72	64	44	63	41	57	45	1	3	6545
41	Fill5	73	35	74	34	71	36	61	3	1	4272
41	SimB2	74	46	26	36	36	35	37	1	1	3731
41	Fill3	75	54	55	51	55	56	39	2	3	5407
41	Fill3	76	53	55	50	53	45	56	2	1	7695
41	SimA2	77	26	44	35	35	37	33	3	3	4223
41	SimA1	78	24	46	35	35	22	48	2	2	2815
41	SimB1	79	45	26	36	35	46	25	2	2	3858
41	Fill4	80	46	65	45	63	47	50	3	1	4352
41	Com1	1	71	39	52	58	41	69	3	1	4551
41	Fill3	2	56	56	54	55	59	39	2	3	4784
41	Fill1	3	71	36	68	36	73	21	1	2	6736
41	Com2	4	52	56	41	67	33	75	2	1	5538
41	Fill1	5	78	34	77	30	68	37	2	1	6047
41	Fill2	6	69	43	67	40	59	46	1	3	8705
41	Com1	7	74	35	53	56	44	65	1	1	3215
41	Com1	8	74	36	54	56	44	66	3	2	5313
41	Com2	9	53	57	44	66	34	76	2	1	4829
41	Fill4	10	45	66	44	64	48	49	2	3	4866
41	Com2	11	53	57	43	67	33	77	2	1	6223
41	Com1	12	72	39	53	58	44	67	1	1	5903
41	Com1	13	73	38	53	58	43	68	2	2	4993
41	Fill1	14	74	37	73	33	65	38	2	3	5167
41	Com2	15	54	56	45	65	34	76	2	1	5072
41	Fill5	16	33	74	30	73	35	59	1	1	4959
41	Fill2	17	65	46	62	45	56	48	2	1	5234
41	Fill1	18	75	32	73	29	76	17	1	1	4592
41	Com1	19	74	37	53	58	42	69	2	2	6145
41	Fill2	20	63	44	61	41	65	29	2	1	6446
41	Fill5	21	33	74	30	72	35	60	3	1	4658
41	Fill3	22	55	54	54	52	47	55	1	1	5072
