Participant: 6
MachineID: BL-POLS-IELbC14
Start Time: Wed, Feb 29, 2012 12:08:10
Seed: 85476
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
6	AttR1	1	26	46	48	24	19	46	2	2	63798
6	AttR1	2	25	44	45	24	18	44	3	2	43797
6	AttR2	3	22	48	45	25	45	19	3	1	52400
6	Fill3	4	54	54	51	53	43	57	2	1	25235
6	AttR1	5	22	48	45	25	16	48	3	2	19651
6	Fill1	6	76	34	74	31	65	37	2	3	12003
6	Fill3	7	56	54	54	52	46	56	1	1	16323
6	AttR2	8	23	46	44	25	44	18	3	2	24068
6	AttR1	9	22	48	45	25	15	48	1	2	15265
6	AttR2	10	26	46	48	24	48	18	1	1	24611
6	Fill2	11	66	42	65	38	55	45	1	1	26881
6	AttR1	12	26	46	48	24	19	46	1	1	10755
6	AttR2	13	25	44	45	24	45	16	1	1	15763
6	AttR1	14	20	46	43	23	14	46	1	1	26178
6	AttR2	15	25	45	47	23	47	16	3	1	22661
6	Fill4	16	46	64	43	62	37	66	1	1	30322
6	Fill5	17	34	74	33	70	24	77	2	1	7426
6	AttR1	18	23	46	45	24	17	46	3	2	8739
6	AttR1	19	19	49	48	20	12	49	2	2	43953
6	AttR1	20	25	45	47	23	18	45	3	1	11027
6	Fill4	21	46	62	43	62	48	45	2	1	9761
6	AttR1	22	24	44	47	21	17	44	3	1	13842
6	AttR2	23	22	48	45	25	45	19	3	2	25557
6	Fill3	24	55	56	52	56	56	43	3	1	11761
6	Fill1	25	76	36	73	35	66	39	3	1	21952
6	AttR2	26	19	49	48	20	48	14	2	2	27246
6	Fill5	27	36	76	33	76	37	63	2	1	46899
6	AttR2	28	25	45	44	26	44	20	2	1	17120
6	AttR1	29	25	45	44	26	18	45	2	1	15890
6	AttR1	30	23	48	45	26	16	48	3	1	21487
6	Fill4	31	47	65	46	62	48	50	2	1	18527
6	AttR2	32	24	47	46	25	46	17	1	2	14734
6	AttR2	33	22	46	44	24	44	16	1	2	9538
6	AttR2	34	26	45	46	25	46	19	1	2	24591
6	Fill4	35	45	63	43	60	35	65	3	1	14306
6	Fill2	36	67	43	66	41	58	44	1	1	12800
6	Fill5	37	35	76	33	74	38	58	3	1	10272
6	AttR1	38	22	46	44	24	14	46	3	2	16161
6	Fill1	39	75	33	73	31	77	16	3	1	12001
6	Fill1	40	75	33	74	30	67	34	3	1	14690
6	AttR1	41	24	47	46	25	16	47	1	2	22288
6	Fill4	42	47	65	45	62	48	49	2	1	9842
6	Fill2	43	63	45	61	42	52	48	1	1	16335
6	Fill3	44	57	55	55	54	50	56	3	1	6528
6	Fill1	45	74	37	71	36	76	21	3	1	9374
6	Fill5	46	37	75	34	73	29	76	2	1	10735
6	AttR1	47	25	46	44	27	19	46	1	1	32591
6	Fill3	48	57	55	54	55	58	41	3	1	11810
6	Fill5	49	34	74	33	70	36	58	2	1	13601
6	Fill2	50	68	44	65	44	69	30	1	1	11055
6	Fill4	51	45	66	43	64	48	49	2	1	12672
6	AttR2	52	25	45	46	24	46	18	1	1	24368
6	Fill1	53	76	36	74	34	79	19	3	1	9855
6	AttR2	54	26	44	47	23	47	17	1	2	22576
6	Fill4	55	46	66	43	65	36	69	2	1	4272
6	AttR2	56	26	46	48	24	48	17	3	2	5762
6	Fill3	57	57	55	55	53	59	39	3	1	13487
6	Fill2	58	65	46	62	45	68	29	3	1	25165
6	AttR2	59	25	45	48	22	48	14	3	2	18243
6	Fill2	60	66	42	63	41	69	27	1	1	76543
6	AttR2	61	24	44	47	21	47	13	1	2	25407
6	AttR1	62	23	46	44	25	15	46	3	2	9535
6	AttR1	63	26	44	47	23	20	44	3	2	13470
6	AttR1	64	26	45	46	25	19	45	2	2	17281
6	AttR2	65	20	46	43	23	43	16	1	2	22545
6	Fill3	66	55	53	52	53	56	38	2	1	3342
6	Fill5	67	36	72	35	69	29	73	1	1	19505
6	Fill3	68	55	53	52	52	47	54	3	1	11394
6	Fill1	69	76	32	75	28	66	34	1	1	13646
6	Fill2	70	66	46	65	44	68	29	1	1	23039
6	AttR1	71	25	45	46	24	19	45	2	2	9073
6	AttR2	72	23	48	45	26	45	19	2	2	4465
6	Fill1	73	78	34	76	33	80	19	1	1	7519
6	Fill2	74	67	45	64	43	59	46	1	1	21472
6	Fill5	75	38	74	37	72	40	59	2	1	6269
6	Fill4	76	46	62	43	61	35	65	2	1	35601
6	AttR2	77	25	46	44	27	44	21	2	1	5007
6	AttR2	78	23	46	45	24	45	17	2	2	4447
6	AttR1	79	25	45	48	22	19	45	2	2	3183
6	Fill5	80	37	73	36	70	28	76	3	1	7184
6	Fill3	1	57	54	55	52	50	55	3	1	22213
6	Com1	2	74	38	54	58	43	69	2	2	14641
6	Fill5	3	37	74	36	71	26	77	1	1	8769
6	Com2	4	53	58	44	67	32	79	1	1	8094
6	Fill4	5	46	65	44	63	38	66	1	1	8129
