Participant: 81
MachineID: BL-POLS-IELbC13
Start Time: Tue, Mar 27, 2012 13:02:37
Seed: 85239
Sub	TrType	Trial	A1	A2	B1	B2	Decoy1	Decoy2	resp	choice	RT
81	Fill5	1	37	75	34	73	29	76	2	1	51462
81	Fill2	2	68	44	65	44	69	30	3	1	15762
81	Fill2	3	63	45	61	42	52	48	1	1	12259
81	AttR2	4	25	45	48	22	48	14	3	1	29057
81	AttR2	5	25	45	44	26	44	20	3	1	14354
81	Fill3	6	57	55	55	53	59	39	3	1	9107
81	AttR2	7	22	48	45	25	45	19	2	1	9153
81	Fill1	8	75	33	74	30	67	34	1	1	5171
81	Fill5	9	37	73	36	70	28	76	1	1	7219
81	AttR2	10	19	49	48	20	48	14	1	3	16594
81	Fill1	11	75	33	73	31	77	16	2	1	9553
81	Fill5	12	38	74	37	72	40	59	3	1	10979
81	AttR2	13	25	44	45	24	45	16	3	2	10529
81	Fill4	14	46	64	43	62	37	66	2	1	7253
81	AttR1	15	20	46	43	23	14	46	3	1	11394
81	AttR2	16	26	45	46	25	46	19	2	2	6402
81	Fill4	17	46	62	43	61	35	65	1	1	8962
81	Fill5	18	35	76	33	74	38	58	3	1	8308
81	Fill1	19	74	37	71	36	76	21	2	1	4370
81	Fill3	20	55	53	52	52	47	54	1	1	5298
81	AttR1	21	26	46	48	24	19	46	3	2	7045
81	AttR2	22	22	48	45	25	45	19	3	2	5313
81	Fill1	23	76	36	74	34	79	19	1	1	6001
81	AttR2	24	25	45	46	24	46	18	2	2	5731
81	AttR1	25	25	45	47	23	18	45	2	1	6447
81	Fill1	26	78	34	76	33	80	19	2	1	4895
81	AttR1	27	19	49	48	20	12	49	3	1	5310
81	AttR1	28	23	46	45	24	17	46	2	1	6416
81	AttR2	29	25	45	47	23	47	16	1	2	4480
81	Fill2	30	67	43	66	41	58	44	1	1	4333
81	AttR1	31	26	44	47	23	20	44	1	2	9248
81	AttR2	32	22	46	44	24	44	16	2	1	4063
81	Fill3	33	57	55	55	54	50	56	2	1	7055
81	AttR1	34	22	48	45	25	15	48	3	1	6014
81	Fill3	35	56	54	54	52	46	56	2	1	6592
81	Fill4	36	45	66	43	64	48	49	1	1	8750
81	Fill2	37	67	45	64	43	59	46	2	1	6209
81	AttR1	38	25	45	44	26	18	45	1	1	8159
81	Fill4	39	45	63	43	60	35	65	1	1	5153
81	AttR1	40	22	48	45	25	16	48	3	1	5278
81	Fill2	41	65	46	62	45	68	29	1	1	6769
81	AttR2	42	20	46	43	23	43	16	3	1	4800
81	AttR2	43	26	46	48	24	48	17	3	2	5326
81	Fill3	44	54	54	51	53	43	57	2	1	5312
81	Fill3	45	57	55	54	55	58	41	3	1	3790
81	Fill1	46	76	32	75	28	66	34	2	1	6768
81	AttR1	47	22	46	44	24	14	46	3	1	4718
81	AttR2	48	24	44	47	21	47	13	1	2	5921
81	AttR1	49	23	46	44	25	15	46	1	1	6878
81	Fill1	50	76	34	74	31	65	37	2	1	5421
81	Fill2	51	66	46	65	44	68	29	2	1	3377
81	AttR1	52	23	48	45	26	16	48	2	1	5389
81	Fill2	53	66	42	65	38	55	45	1	1	6013
81	AttR1	54	24	44	47	21	17	44	3	2	4114
81	Fill4	55	46	66	43	65	36	69	1	1	7055
81	Fill4	56	47	65	46	62	48	50	3	1	3118
81	Fill4	57	46	62	43	62	48	45	3	1	3519
81	Fill5	58	36	76	33	76	37	63	3	1	3694
81	AttR2	59	26	46	48	24	48	18	3	2	4319
81	Fill3	60	55	56	52	56	56	43	3	1	6496
81	AttR2	61	26	44	47	23	47	17	3	2	3712
81	AttR1	62	25	45	46	24	19	45	1	2	5408
81	AttR1	63	25	44	45	24	18	44	2	2	12191
81	Fill4	64	47	65	45	62	48	49	3	1	8847
81	AttR2	65	23	46	45	24	45	17	1	1	7025
81	AttR2	66	23	46	44	25	44	18	2	1	10431
81	AttR2	67	25	46	44	27	44	21	1	1	3407
81	Fill1	68	76	36	73	35	66	39	2	1	3040
81	Fill2	69	66	42	63	41	69	27	2	1	2767
81	AttR2	70	24	47	46	25	46	17	3	1	4222
81	AttR1	71	25	46	44	27	19	46	1	1	6992
81	AttR1	72	24	47	46	25	16	47	3	1	4847
81	Fill5	73	34	74	33	70	24	77	2	1	6302
81	AttR2	74	23	48	45	26	45	19	2	1	3694
81	AttR1	75	25	45	48	22	19	45	3	2	9807
81	Fill5	76	36	72	35	69	29	73	1	2	8034
81	AttR1	77	26	46	48	24	19	46	2	2	5085
81	Fill3	78	55	53	52	53	56	38	2	1	4256
81	AttR1	79	26	45	46	25	19	45	2	2	4815
81	Fill5	80	34	74	33	70	36	58	1	1	3743
81	Fill5	1	34	77	32	75	25	78	1	1	14312
81	Com1	2	74	35	53	56	44	65	3	2	12638
81	Fill3	3	57	54	55	52	50	55	1	1	7310
81	Fill5	4	36	73	34	71	25	76	2	1	3744
81	Fill5	5	33	74	30	73	35	59	1	1	2654
81	Com2	6	52	56	43	65	31	77	1	1	6189
81	Com2	7	52	58	41	69	31	79	2	1	6784
81	Fill2	8	63	44	61	41	65	29	3	1	8127
81	Com2	9	53	58	43	68	34	77	1	1	10785
81	Com2	10	53	56	42	67	34	75	3	1	11453
